"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CT","USGS Connecticut Water Science Center","USGS-01118255","GREEN FALL R AT LAUREL GLEN,CT.","Stream",NA,"01090005",7.42,"sq mi",NA,NA,41.4723214,-71.8161811,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-CT","USGS Connecticut Water Science Center","USGS-01118280","WYASSUP BK NR N STONINGTON CT","Stream",NA,"01090005",0.81,"sq mi",NA,NA,41.4867655,-71.8686829,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-CT","USGS Connecticut Water Science Center","USGS-01118300","PENDLETON HILL BROOK NEAR CLARKS FALLS, CT","Stream",NA,"01090005",4.02,"sq mi",NA,NA,41.4748222,-71.8342361,24000,".01","seconds","Interpolated from Digital MAP.","NAD83","152.90","feet",".1","feet","Unknown.","NGVD29","US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-CT","USGS Connecticut Water Science Center","USGS-01118350","GREEN FALL R AT CLARKS FALLS,CT.","Stream",NA,"01090005",19.8,"sq mi",NA,NA,41.4548215,-71.8139585,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-CT","USGS Connecticut Water Science Center","USGS-01118370","YAWBUCS BK NR N STONINGTON, CT.","Stream",NA,"01090005",2.49,"sq mi",NA,NA,41.459821,-71.9028502,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-CT","USGS Connecticut Water Science Center","USGS-01118373","SHUNOCK R AT N STONINGTON, CT.","Stream",NA,"01090005",7.79,"sq mi",NA,NA,41.4409323,-71.8822938,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-CT","USGS Connecticut Water Science Center","USGS-01118375","ASSEKONK BK NR N STONINGTON CT","Stream",NA,"01090005",1.63,"sq mi",NA,NA,41.4387099,-71.9103502,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-CT","USGS Connecticut Water Science Center","USGS-01118380","ASSEKONK BK AT N STONINGTON CT","Stream",NA,"01090005",4.54,"sq mi",NA,NA,41.4387101,-71.8842383,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-CT","USGS Connecticut Water Science Center","USGS-01118520","PAWCATUCK R NR PAWCATUCK,CT.","Estuary",NA,"01090005",303,"sq mi",NA,NA,41.3358333,-71.8394444,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","0","feet","1","feet","Interpolated from Digital Elevation Model","NAVD88","US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-CT","USGS Connecticut Water Science Center","USGS-01118525","PAWCATUCK R NR PAWCATUCK, CT.","Estuary",NA,"01090005",303,"sq mi",NA,NA,41.3270442,-71.8492355,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","09","011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
