"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MD","USGS Maryland Water Science Center","USGS-01477400","SOUTH BRANCH NAAMAN CREEK NEAR CLAYMONT, DE","Stream",NA,"02040202",3.83,"sq mi",NA,NA,39.8167792,-75.4940872,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MD","USGS Maryland Water Science Center","USGS-01477850","CHRISTINA RIVER NEAR NEWARK, DE","Stream",NA,"02040205",3.76,"sq mi",NA,NA,39.7006669,-75.7879924,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MD","USGS Maryland Water Science Center","USGS-01477860","WEST BRANCH CHRISTINA RIVER NEAR NEWARK, DE","Stream",NA,"02040205",4.1,"sq mi",NA,NA,39.6556671,-75.7829918,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MD","USGS Maryland Water Science Center","USGS-01477875","CHRISTINA RIVER AT HUNTING HILLS NEWARK, DE","Stream",NA,"02040205",NA,NA,NA,NA,39.6901114,-75.777714,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MD","USGS Maryland Water Science Center","USGS-01477960","CHRISTINA RIVER AT ROLLING GREEN NEWARK, DE","Stream",NA,"02040205",NA,NA,NA,NA,39.6537226,-75.7546572,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MD","USGS Maryland Water Science Center","USGS-01478000","CHRISTINA RIVER AT COOCHS BRIDGE, DE","Stream",NA,"02040205",20.5,"sq mi",NA,NA,39.6373889,-75.7278889,24000,"1","seconds","Interpolated from MAP.","NAD83",24.52,"feet",".1","feet","Interpolated from Digital Elevation Model","NAVD88","US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MD","USGS Maryland Water Science Center","USGS-01478500","WHITE CLAY CREEK ABOVE NEWARK, DE","Stream",NA,"02040205",66.7,"sq mi",NA,NA,39.7140003,-75.7593801,NA,"1","seconds","Interpolated from MAP.","NAD83",78.6,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MD","USGS Maryland Water Science Center","USGS-01478650","WHITE CLAY CREEK AT NEWARK, DE","Stream",NA,"02040205",69,"sq mi",NA,NA,39.6892222,-75.74875,24000,"1","seconds","Interpolated from MAP.","NAD83",55.31,"feet",".1","feet","Interpolated from Digital Elevation Model","NAVD88","US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-MD","USGS Maryland Water Science Center","USGS-01478700","WHITE CLAY CREEK BELOW NEWARK, DE","Stream",NA,"02040205",NA,NA,NA,NA,39.6926117,-75.7227112,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-MD","USGS Maryland Water Science Center","USGS-01478880","WHITE CLAY CREEK TRIBUTARY NEAR NEWARK, DE","Stream",NA,"02040205",NA,NA,NA,NA,39.6837229,-75.7099326,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",10,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
