"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CO","USGS Colorado Water Science Center","USGS-404337093580900","WEST ELK CR NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7269417,-93.9693933,24000,"1","seconds","Interpolated from MAP.","NAD83",960,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-CO","USGS Colorado Water Science Center","USGS-404343093573900","LANDFILL CR NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7286085,-93.9610598,24000,"1","seconds","Interpolated from MAP.","NAD83",1000,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-CO","USGS Colorado Water Science Center","USGS-404348093564000","ELK CR AT HWY 2 NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7299977,-93.9446705,24000,"1","seconds","Interpolated from MAP.","NAD83",940,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-CO","USGS Colorado Water Science Center","USGS-404501094002800","SOUTH FORK ELK CR NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7502739,-94.008005,24000,"1","seconds","Interpolated from MAP.","NAD83",1010,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-CO","USGS Colorado Water Science Center","USGS-404504094002600","NORTH FORK WEST ELK CR NR DECATUR CITY","Stream",NA,"10280102",NA,NA,NA,NA,40.7511073,-94.0074495,24000,"1","seconds","Interpolated from MAP.","NAD83",1010,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-CO","USGS Colorado Water Science Center","USGS-404611093590600","ELK CR IN SECT 17 NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7697186,-93.9852267,24000,"1","seconds","Interpolated from MAP.","NAD83",1010,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-CO","USGS Colorado Water Science Center","USGS-404723093585800","ELK CR IN SECT 8 NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.7897184,-93.9830043,24000,"1","seconds","Interpolated from MAP.","NAD83",1000,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-CO","USGS Colorado Water Science Center","USGS-404932094005800","UPPER ELK CR NR DECATUR CITY IA","Stream",NA,"10280102",NA,NA,NA,NA,40.8255506,-94.0163382,24000,"1","seconds","Interpolated from MAP.","NAD83",1050,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",19,"159",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-IA","USGS Iowa Water Science Center","USGS-05387313","Unknown Trib to Beaver Creek near Lime Springs, IA","Stream",NA,"07060002",NA,NA,NA,NA,43.4413889,-92.3261111,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"089",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-IA","USGS Iowa Water Science Center","USGS-05387440","Upper Iowa River at Bluffton, IA","Stream",NA,"07060002",367,"sq mi",NA,NA,43.4069132,-91.8990464,24000,"5","seconds","Interpolated from MAP.","NAD83",945.5,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",19,"191",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-IA","USGS Iowa Water Science Center","USGS-05387500","Upper Iowa River at Decorah, IA","Stream",NA,"07060002",511,"sq mi",NA,NA,43.3048888,-91.7955429,24000,"1","seconds","Interpolated from MAP.","NAD83",850,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",19,"191",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-IA","USGS Iowa Water Science Center","USGS-05388325","Silver Creek near Hanover, IA","Stream",NA,"07060002",NA,NA,NA,NA,43.3888889,-91.4602778,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-IA","USGS Iowa Water Science Center","USGS-05388810","Williams Creek on Minert Road site 010","Stream",NA,"07060001",NA,NA,NA,NA,43.1136905,-91.5480389,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-IA","USGS Iowa Water Science Center","USGS-05388820","Williams Creek at Bethal Road site 020","Stream",NA,"07060001",NA,NA,NA,NA,43.1198963,-91.5233958,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-IA","USGS Iowa Water Science Center","USGS-05388830","Williams Creek on Williams Creek Road site 030","Stream",NA,"07060001",NA,NA,NA,NA,43.1267266,-91.5300822,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-IA","USGS Iowa Water Science Center","USGS-05388850","Williams Creek at David Smith Field site 050","Stream",NA,"07060001",NA,NA,NA,NA,43.1379101,-91.4908662,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-IA","USGS Iowa Water Science Center","USGS-05388860","John White Spring No 1 site 060","Spring",NA,"07060001",NA,NA,NA,NA,43.1352798,-91.4677541,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-IA","USGS Iowa Water Science Center","USGS-05388871","Leighton Smith Spring site 071","Spring",NA,"07060001",NA,NA,NA,NA,43.1002749,-91.4999726,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-IA","USGS Iowa Water Science Center","USGS-05388872","Hall Swenson Spring site 072","Spring",NA,"07060001",NA,NA,NA,NA,43.1094914,-91.4976224,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-IA","USGS Iowa Water Science Center","USGS-05388890","Lee-Ruth White Spring site 090","Spring",NA,"07060001",NA,NA,NA,NA,43.1354604,-91.4695098,24000,".01","seconds","Differentially corrected Global Positioning System.","NAD83",NA,NA,NA,NA,NA,NA,"US",19,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
