OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IA,USGS Iowa Water Science Center,USGS-411630091021101,015N06W23DDDD       1992USGS Muscatine IL 1,Well,,07080101,,,,,41.2750306,-91.0365355,24000,5,seconds,Interpolated from MAP.,NAD83,532.38,feet,5,feet,Level or other surveyed method.,NGVD29,US,17,131,Sand and gravel aquifers (glaciated regions),Holocene Alluvium,Unconfined single aquifer,19920804,26.5,ft,30.5,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-412436091011001,016N06W01DBDD       1992USGS Muscatine IL 5,Well,,07080101,,,,,41.4100291,-91.019593,24000,5,seconds,Interpolated from MAP.,NAD83,539.85,feet,5,feet,Level or other surveyed method.,NGVD29,US,17,161,Sand and gravel aquifers (glaciated regions),Holocene Alluvium,Unconfined single aquifer,19920807,34,ft,35,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-412529091003501,017N05W31CBDD           Corps of Engineers L&D 16,Well,,07080101,,,,,41.4247512,-91.0098708,24000,5,seconds,Interpolated from MAP.,NAD83,550,feet,10,feet,Interpolated from topographic map.,NGVD29,US,17,161,Sand and gravel aquifers (glaciated regions),Holocene Alluvium,,,380,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336300,"MIDDLE FORK VERMILION RIVER AT ARMSTRONG, IL",Stream,,05120109,280,sq mi,,,40.2983689,-87.8775309,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336614,"MIDDLE FORK VERMILION RIVER NEAR COLLISON, IL",Stream,,05120109,422,sq mi,,,40.2025362,-87.7341907,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336633,"MIDDLE FORK VERMILION RIVER NEAR GLENBURN, IL",Stream,,05120109,430,sq mi,,,40.1600362,-87.7400242,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336645,"MIDDLE FORK VERMILION RIVER ABOVE OAKWOOD, IL",Stream,,05120109,432,sq mi,,,40.1369806,-87.7458578,,1,seconds,Interpolated from MAP.,NAD83,544.42,feet,.01,feet,Unknown.,NGVD29,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336670,"MIDDLE FORK VERMILION RIVER ABOVE CATLIN, IL",Stream,,05120109,449,sq mi,,,40.1075362,-87.7241905,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336790,"UPPER SALT FORK TRIBUTARY NEAR RANTOUL, IL",Stream,,05120109,,,,,40.2697222,-88.1025,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336890,"SPOON RIVER NEAR ST. JOSEPH, IL",Stream,,05120109,40.7,sq mi,,,40.1641667,-88.0275,2400,1,seconds,Interpolated from Digital MAP.,NAD83,650.00,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03336900,"SALT FORK NEAR ST. JOSEPH, IL",Stream,,05120109,134,sq mi,,,40.1494444,-88.0341667,,1,seconds,Interpolated from MAP.,NAD83,650.16,feet,.01,feet,Unknown.,NGVD29,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03337570,"SALINE BRANCH ABOVE 1700E NEAR URBANA, IL",Stream,,05120109,75.1,sq mi,,,40.1288889,-88.1513889,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,17,019,,,,20090401,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03337700,"SALINE BRANCH NEAR MAYVIEW, IL",Stream,,05120109,82.1,sq mi,,,40.1330889,-88.1042084,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03337848,"SALT FORK BELOW 2125E ROAD NEAR SIDNEY, IL",Stream,,05120109,254.84,sq mi,,,40.0680556,-88.0669444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,643.35,feet,.01,feet,Global Positioning System.,NAVD88,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338000,"SALT FORK NEAR HOMER, IL",Stream,,05120109,340,sq mi,,,40.0555903,-87.958367,,Unknown,Unknown,Interpolated from MAP.,NAD83,621.00,feet,.01,feet,Unknown.,NGVD29,US,17,019,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338022,"SALT FORK NEAR FAIRMOUNT, IL",Stream,,05120109,380,sq mi,,,40.0644797,-87.8805859,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338090,"JORDAN CREEK AT FAIRMOUNT, IL",Stream,,05120109,17.8,sq mi,,,40.0572577,-87.8364173,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338097,"SALT FORK NEAR OAKWOOD, IL",Stream,,05120109,489,sq mi,,,40.0822581,-87.7814149,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338114,"SALT FORK NEAR CATLIN, IL",Stream,,05120109,509,sq mi,,,40.1072585,-87.7264128,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-03338510,"VERMILION RIVER NEAR VERMILION HEIGHTS, IL",Stream,,05120109,976,sq mi,,,40.1180921,-87.6422433,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,183,,,,,,,,,NWIS
