"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CO","USGS Colorado Water Science Center","USGS-390241085031600","WHITAKER CR ABOVE DILLSBORO","Stream",NA,"05090203",NA,NA,NA,NA,39.0447788,-85.0543992,24000,"1","seconds","Interpolated from MAP.","NAD83",650,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"029",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-CO","USGS Colorado Water Science Center","USGS-390246085034400","S HOGAN CR AB CHANCE BRANCH NR DILLSBORO","Stream",NA,"05090203",NA,NA,NA,NA,39.0461676,-85.0621772,24000,"1","seconds","Interpolated from MAP.","NAD83",610,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"029",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-CO","USGS Colorado Water Science Center","USGS-390456085074700","S HOGAN CR AT HWY 101 NR MILAN","Stream",NA,"05090203",NA,NA,NA,NA,39.0822775,-85.129679,24000,"1","seconds","Interpolated from MAP.","NAD83",850,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-CO","USGS Colorado Water Science Center","USGS-390500085095100","S HOGAN CR AT 525 EAST RD NR STRINGTOWN","Stream",NA,"05090203",NA,NA,NA,NA,39.0833883,-85.1641242,24000,"1","seconds","Interpolated from MAP.","NAD83",940,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-CO","USGS Colorado Water Science Center","USGS-390502085092800","NORTHEAST TRIB OF S HOGAN CR NR STRINGTOWN","Stream",NA,"05090203",NA,NA,NA,NA,39.0839439,-85.1577352,24000,"1","seconds","Interpolated from MAP.","NAD83",940,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-CO","USGS Colorado Water Science Center","USGS-390550085100300","S HOGAN CR AB HOG FARM NR STRINGTOWN","Stream",NA,"05090203",NA,NA,NA,NA,39.0972769,-85.1674578,24000,"1","seconds","Interpolated from MAP.","NAD83",945,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-CO","USGS Colorado Water Science Center","USGS-390620085053700","WHITAKER CR BLW MOORES HILL","Stream",NA,"05090203",NA,NA,NA,NA,39.1056107,-85.0935677,24000,"1","seconds","Interpolated from MAP.","NAD83",900,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"029",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-CO","USGS Colorado Water Science Center","USGS-390706085073700","MILAN CR BELOW WWTP AT MILAN","Stream",NA,"05090203",NA,NA,NA,NA,39.118388,-85.1269018,24000,"1","seconds","Interpolated from MAP.","NAD83",955,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-CO","USGS Colorado Water Science Center","USGS-390715085073500","MILAN CR AB WWTP AT MILAN","Stream",NA,"05090203",NA,NA,NA,NA,39.1208879,-85.1263463,24000,"1","seconds","Interpolated from MAP.","NAD83",960,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"137",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-GA","USGS Georgia Water Science Center","USGS-382253087221801","PATOKA OXBOW (PATOKA R NWR) NR GLEZEN, IN","Lake, Reservoir, Impoundment",NA,"05120209",NA,NA,NA,NA,38.3813889,-87.3716667,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",405,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"125",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-IL","USGS Illinois Water Science Center","USGS-03341414","BROUILLETTS CREEK NEAR ST. BERNICE, IN","Stream",NA,"05120111",260,"sq mi",260,"sq mi",39.6814248,-87.5211319,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",18,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-IL","USGS Illinois Water Science Center","USGS-405145087044701","28N6W-23.8f","Well",NA,"07120002",NA,NA,NA,NA,40.8625556,-87.0798889,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",675,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19990401,12.52,"ft",12.52,"ft","NWIS"
"13","USGS-IL","USGS Illinois Water Science Center","USGS-405145087044702","28N6W-23.8f2","Well",NA,"07120002",NA,NA,NA,NA,40.8626776,-87.0801865,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",669,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19930421,42,"ft",43,"ft","NWIS"
"14","USGS-IL","USGS Illinois Water Science Center","USGS-405343087091501","28N6W-6.8a","Well",NA,"07120002",NA,NA,NA,NA,40.8954444,-87.1544167,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",653,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990401,18.72,"ft",18.72,"ft","NWIS"
"15","USGS-IL","USGS Illinois Water Science Center","USGS-405345087100601","28N7W-1.6B","Well",NA,"07120002",NA,NA,NA,NA,40.8965381,-87.1684112,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",651,"feet",5,"feet","Global Positioning System.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19971126,69,"ft",69,"ft","NWIS"
"16","USGS-IL","USGS Illinois Water Science Center","USGS-405524087152701","29N7W-31.1f","Well",NA,"07120002",NA,NA,NA,NA,40.9233889,-87.2575278,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990504,13.19,"ft",14.19,"ft","NWIS"
"17","USGS-IL","USGS Illinois Water Science Center","USGS-405627087142101","29N7W-20.1A","Well",NA,"07120002",NA,NA,NA,NA,40.9397037,-87.2471638,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19901208,70,"ft",70,"ft","NWIS"
"18","USGS-IL","USGS Illinois Water Science Center","USGS-405732087282301","29N9W-17.3c","Well",NA,"07120002",NA,NA,NA,NA,40.9591111,-87.4731111,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",660,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990427,12.5,"ft",14.5,"ft","NWIS"
"19","USGS-IL","USGS Illinois Water Science Center","USGS-405823087313101","29N10W-12.7B","Well",NA,"07120002",NA,NA,NA,NA,40.9712004,-87.5171228,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",677,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19850619,25,"ft",25,"ft","NWIS"
"20","USGS-IL","USGS Illinois Water Science Center","USGS-410025087280701","30N9W-33.8D","Well",NA,"07120002",NA,NA,NA,NA,41.0045614,-87.4688086,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",685,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19920901,61,"ft",62,"ft","NWIS"
"21","USGS-IL","USGS Illinois Water Science Center","USGS-410030087263101","30N9W-34.6e","Well",NA,"07120002",NA,NA,NA,NA,41.0085556,-87.4420833,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19981202,15.97,"ft",16.47,"ft","NWIS"
"22","USGS-IL","USGS Illinois Water Science Center","USGS-410030087263102","30N9W-34.6e2","Well",NA,"07120002",NA,NA,NA,NA,41.0092284,-87.4420582,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",1983,27,"ft",27,"ft","NWIS"
"23","USGS-IL","USGS Illinois Water Science Center","USGS-410253087280701","30N9W-20.1c","Well",NA,"07120001",NA,NA,NA,NA,41.0481111,-87.4686944,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990406,13.93,"ft",14.93,"ft","NWIS"
"24","USGS-IL","USGS Illinois Water Science Center","USGS-410407087200201","30N8W-9.1F","Well",NA,"07120001",NA,NA,NA,NA,41.0673964,-87.3336961,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",677,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19940906,43,"ft",43,"ft","NWIS"
"25","USGS-IL","USGS Illinois Water Science Center","USGS-410505087201201","30N8W-4.4f","Well",NA,"07120001",NA,NA,NA,NA,41.0847222,-87.33675,NA,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",675,"feet",41,"feet","Global Positioning System.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19981202,15.82,"ft",16.32,"ft","NWIS"
"26","USGS-IL","USGS Illinois Water Science Center","USGS-410510087224201","31N8W-6.4h","Well",NA,"07120001",NA,NA,NA,NA,41.0861667,-87.3783889,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990406,18.32,"ft",20.32,"ft","NWIS"
"27","USGS-IL","USGS Illinois Water Science Center","USGS-410511087295201","30N9W-6.6h","Well",NA,"07120001",NA,NA,NA,NA,41.0865,-87.4978889,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",690,"feet",50,"feet","Global Positioning System.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990407,11.88,"ft",12.38,"ft","NWIS"
"28","USGS-IL","USGS Illinois Water Science Center","USGS-410511087295202","30N9W-6.6h2","Well",NA,"07120001",NA,NA,NA,NA,41.0865833,-87.4978889,24000,".1","seconds","Differentially corrected Global Positioning System.","NAD83",673,"feet",2.5,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",20110810,13,"ft",13,"ft","NWIS"
"29","USGS-IL","USGS Illinois Water Science Center","USGS-410533087232601","31N8W-31.8d1","Well",NA,"07120001",NA,NA,NA,NA,41.0928127,-87.3904198,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",680,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19961023,50,"ft",50,"ft","NWIS"
"30","USGS-IL","USGS Illinois Water Science Center","USGS-410541087313701","31N10W-36.8E","Well",NA,"07120001",NA,NA,NA,NA,41.094756,-87.5262833,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19970117,45,"ft",45,"ft","NWIS"
"31","USGS-IL","USGS Illinois Water Science Center","USGS-410600087113501","31N7W-35.6h","Well",NA,"07120001",NA,NA,NA,NA,41.1000833,-87.1931667,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",695,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19990427,13.62,"ft",14.12,"ft","NWIS"
"32","USGS-IL","USGS Illinois Water Science Center","USGS-410656087092901","31N6W-19.7A","Well",NA,"07120002",NA,NA,NA,NA,41.1158428,-87.157971,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",690,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19970916,30,"ft",30,"ft","NWIS"
"33","USGS-IL","USGS Illinois Water Science Center","USGS-410700087305802","31N10W-24.5b1","Well",NA,"07120001",NA,NA,NA,NA,41.1184229,-87.5161445,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",660,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19960826,50,"ft",50,"ft","NWIS"
"34","USGS-IL","USGS Illinois Water Science Center","USGS-410702087310201","31N10W-24.5b","Well",NA,"07120001",NA,NA,NA,NA,41.1173333,-87.5172778,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",667,"feet",50,"feet","Global Positioning System.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990407,12.93,"ft",13.93,"ft","NWIS"
"35","USGS-IL","USGS Illinois Water Science Center","USGS-410715087072001","31N6W-21.8D","Well",NA,"07120002",NA,NA,NA,NA,41.1213709,-87.1215257,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",697,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19941119,55,"ft",55,"ft","NWIS"
"36","USGS-IL","USGS Illinois Water Science Center","USGS-410715087072301","31N6W-20.3c","Well",NA,"07120002",NA,NA,NA,NA,41.1208889,-87.1231389,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",695,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19990331,23.64,"ft",24.5,"ft","NWIS"
"37","USGS-IL","USGS Illinois Water Science Center","USGS-410748087060901","31N6W-15.8a","Well",NA,"07120002",NA,NA,NA,NA,41.1301111,-87.1025278,24000,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",700,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19990401,17.97,"ft",18.97,"ft","NWIS"
"38","USGS-IL","USGS Illinois Water Science Center","USGS-410841087040801","31N6W-11.2A","Well",NA,"07120001",NA,NA,NA,NA,41.1445382,-87.0683579,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",685,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19940720,45,"ft",45,"ft","NWIS"
"39","USGS-IL","USGS Illinois Water Science Center","USGS-410940087101001","31N7W-1.5b","Well",NA,"07120001",NA,NA,NA,NA,41.1591482,-87.1755279,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",693,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19901002,25,"ft",45,"ft","NWIS"
"40","USGS-IL","USGS Illinois Water Science Center","USGS-410947087050501","31N6W-3.1c","Well",NA,"07120001",NA,NA,NA,NA,41.1630833,-87.0847778,24000,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",680,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990406,13.54,"ft",14.54,"ft","NWIS"
"41","USGS-IL","USGS Illinois Water Science Center","USGS-410958087050601","31N6W-3.1e","Well",NA,"07120001",NA,NA,NA,NA,41.1665658,-87.0852754,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",690,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19940902,35,"ft",35,"ft","NWIS"
"42","USGS-IL","USGS Illinois Water Science Center","USGS-411023087061001","32N6W-34.a8","Well",NA,"07120001",NA,NA,NA,NA,41.1730278,-87.1026667,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",684,"feet",2.5,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",20110810,28.5,"ft",29,"ft","NWIS"
"43","USGS-IL","USGS Illinois Water Science Center","USGS-411029087172401","32N8W-36.6b","Well",NA,"07120001",NA,NA,NA,NA,41.1747778,-87.2901111,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",660,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990428,15.44,"ft",15.94,"ft","NWIS"
"44","USGS-IL","USGS Illinois Water Science Center","USGS-411029087172402","32N8W-36.6b2","Well",NA,"07120001",NA,NA,NA,NA,41.1746749,-87.292642,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",660,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"111","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19940204,50,"ft",50,"ft","NWIS"
"45","USGS-IL","USGS Illinois Water Science Center","USGS-411041087281101","32N9W-32.2C","Well",NA,"07120001",NA,NA,NA,NA,41.1780625,-87.4721169,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",630,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19940913,31,"ft",31,"ft","NWIS"
"46","USGS-IL","USGS Illinois Water Science Center","USGS-411116087141401","32N7W-33.8H","Well",NA,"07120001",NA,NA,NA,NA,41.1877031,-87.2363635,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",655,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",1985,35,"ft",35,"ft","NWIS"
"47","USGS-IL","USGS Illinois Water Science Center","USGS-411119087143601","32N7W-29.4a","Well",NA,"07120001",NA,NA,NA,NA,41.1887222,-87.2433889,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",655,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990331,11.11,"ft",12.11,"ft","NWIS"
"48","USGS-IL","USGS Illinois Water Science Center","USGS-411248087304901","32N10W-24.4g","Well",NA,"07120001",NA,NA,NA,NA,41.2134167,-87.5138056,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",630,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19981201,11.19,"ft",11.69,"ft","NWIS"
"49","USGS-IL","USGS Illinois Water Science Center","USGS-411329087121201","32N7W-15.4e","Well",NA,"07120001",NA,NA,NA,NA,41.22475,-87.2033611,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",650,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19990330,23.7,"ft",25.2,"ft","NWIS"
"50","USGS-IL","USGS Illinois Water Science Center","USGS-411409087104701","32N7W-11.1C","Well",NA,"07120001",NA,NA,NA,NA,41.2348427,-87.181585,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",650,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"073","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19960126,45,"ft",45,"ft","NWIS"
"51","USGS-IL","USGS Illinois Water Science Center","USGS-411511087214501","32N8W-5.4b","Well",NA,"07120001",NA,NA,NA,NA,41.2533056,-87.3625278,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",655,"feet",1,"feet","Interpolated from topographic map.","NAVD88","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19990408,18.3,"ft",19.3,"ft","NWIS"
"52","USGS-IL","USGS Illinois Water Science Center","USGS-411511087214502","32N8W-5.4b2","Well",NA,"07120001",NA,NA,NA,NA,41.251008,-87.3621723,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",662,"feet",5,"feet","Interpolated from topographic map.","NAVD88","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19950502,36,"ft",36,"ft","NWIS"
"53","USGS-IL","USGS Illinois Water Science Center","USGS-411719087171301","33N8W-25.4g","Well",NA,"07120001",NA,NA,NA,NA,41.2888056,-87.2870833,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",670,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Confined single aquifer",19981203,13.71,"ft",14.21,"ft","NWIS"
"54","USGS-IL","USGS Illinois Water Science Center","USGS-411719087171302","33N8W-25.4g2","Well",NA,"07120001",NA,NA,NA,NA,41.2887585,-87.2869774,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",663,"feet",5,"feet","Global Positioning System.","NAVD88","US",18,"089","Sand and gravel aquifers (glaciated regions)","Quaternary System","Unconfined single aquifer",19960817,50,"ft",50,"ft","NWIS"
"55","USGS-IN","USGS Indiana Water Science Center","IN002-412629086293201","35/1W-35H1","Well",NA,"07120001",NA,NA,NA,NA,41.4414332,-86.4922346,24000,"10","seconds","Interpolated from MAP.","NAD83",710,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,19570621,76,"ft",NA,NA,"NWIS"
"56","USGS-IN","USGS Indiana Water Science Center","IN002-412742086293101","35/1W-23R1","Well",NA,"07120001",NA,NA,NA,NA,41.4617112,-86.4919571,24000,"10","seconds","Interpolated from MAP.","NAD83",718,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,19360807,124,"ft",NA,NA,"NWIS"
"57","USGS-IN","USGS Indiana Water Science Center","IN002-412756086290401","35/1W-24M2","Well",NA,"07120001",NA,NA,NA,NA,41.4656002,-86.484457,24000,"10","seconds","Interpolated from MAP.","NAD83",710,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,19421015,141,"ft",NA,NA,"NWIS"
"58","USGS-IN","USGS Indiana Water Science Center","IN002-412827086325501","35/1W-17R1","Well",NA,"07120001",NA,NA,NA,NA,41.4742109,-86.5486258,24000,"10","seconds","Interpolated from MAP.","NAD83",690,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"091",NA,NA,NA,19560517,40,"ft",NA,NA,"NWIS"
"59","USGS-IN","USGS Indiana Water Science Center","IN002-412829086180701","35/2E-21C1","Well",NA,"07120001",NA,NA,NA,NA,41.4747689,-86.3019514,24000,"10","seconds","Interpolated from MAP.","NAD83",887,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,NA,50,"ft",NA,NA,"NWIS"
"60","USGS-IN","USGS Indiana Water Science Center","IN002-412833086201801","35/2E-18Q1","Well",NA,"07120001",NA,NA,NA,NA,41.4758796,-86.3383414,24000,"10","seconds","Interpolated from MAP.","NAD83",842,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,19490223,69,"ft",NA,NA,"NWIS"
"61","USGS-IN","USGS Indiana Water Science Center","IN002-412848086282801","35/1W-13K1","Well",NA,"07120001",NA,NA,NA,NA,41.4800449,-86.4744569,24000,"10","seconds","Interpolated from MAP.","NAD83",726,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",18,"141",NA,NA,NA,19550806,159,"ft",NA,NA,"NWIS"
"62","USGS-IN","USGS Indiana Water Science Center","IN002-412850086071301","35/3E-13R1","Well",NA,"07120001",NA,NA,NA,NA,41.4806034,-86.1202798,24000,"10","seconds","Interpolated from MAP.","NAD83",822,"feet",5,"feet","Unknown.","NGVD29","US",18,"141","Sand and gravel aquifers (glaciated regions)","Pleistocene Series",NA,19570614,101,"ft",NA,NA,"NWIS"
