"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CT","USGS Connecticut Water Science Center","USGS-01123360","QUINEBAUG R BL E BRIMFIELD DAM AT FISKDALE, MA","Stream",NA,"01100001",62.6,"sq mi",62.6,"sq mi",42.108375,-72.1261306,24000,".01","seconds","Interpolated from Digital MAP.","NAD83","613.51","feet",".1","feet","Level or other surveyed method.","NGVD29","US",25,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-CT","USGS Connecticut Water Science Center","USGS-01123600","QUINEBAUG R BL WESTVILLE DAM NR SOUTHBRIDGE, MA","Stream",NA,"01100001",94.4,"sq mi",94.4,"sq mi",42.0826194,-72.0583806,24000,".01","seconds","Interpolated from Digital MAP.","NAD83","511.33","feet",".1","feet","Level or other surveyed method.","NGVD29","US",25,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-CT","USGS Connecticut Water Science Center","USGS-01161280","CONNECTICUT RIVER NEAR NORTHFIELD, MA","Stream",NA,"01080201",7025,"sq mi",NA,NA,42.6834176,-72.4714767,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83","170.00","feet",".01","feet","Level or other surveyed method.","NAVD88","US",25,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-CT","USGS Connecticut Water Science Center","USGS-01172010","CONNECTICUT R AT I-391 BRIDGE AT HOLYOKE, MA","Stream",NA,"01080201",8332,"sq mi",NA,NA,42.1914694,-72.6093111,24000,".01","seconds","Interpolated from Digital MAP.","NAD83","32.42","feet",".01","feet","Level or other surveyed method.","NAVD88","US",25,"013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-CT","USGS Connecticut Water Science Center","USGS-01197500","HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA","Stream",NA,"01100005",282,"sq mi",282,"sq mi",42.2319167,-73.3546667,25000,".1","seconds","Interpolated from Digital MAP.","NAD83","683.04","feet",".01","feet","Level or other surveyed method.","NGVD29","US",25,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-CT","USGS Connecticut Water Science Center","USGS-01198000","GREEN RIVER NEAR GREAT BARRINGTON, MA","Stream",NA,"01100005",51,"sq mi",51,"sq mi",42.1929083,-73.3912306,24000,".01","seconds","Interpolated from Digital MAP.","NAD83","690","feet","5","feet","Interpolated from topographic map.","NGVD29","US",25,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-CT","USGS Connecticut Water Science Center","USGS-01198125","HOUSATONIC RIVER NEAR ASHLEY FALLS, MA","Stream",NA,"01100005",465,"sq mi",465,"sq mi",42.0748138,-73.3334486,24000,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",25,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-CT","USGS Connecticut Water Science Center","USGS-415523071560501","CT-WK  212","Stream",NA,"01100001",NA,NA,NA,NA,41.9231199,-71.934173,NA,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",25,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-CT","USGS Connecticut Water Science Center","USGS-415536072035001","CT-WK  213","Stream",NA,"01100002",NA,NA,NA,NA,41.9266472,-72.0632837,NA,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",25,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-CT","USGS Connecticut Water Science Center","USGS-420309073183601","MA-SJW   82","Well",NA,"01100005",NA,NA,NA,NA,42.05255,-73.3093139,24000,".01","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","685","feet","10","feet","Interpolated from topographic map.","NGVD29","US",25,"003","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated","Unconfined single aquifer",19940517,83,"ft",83,"ft","NWIS"
