"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MD","USGS Maryland Water Science Center","USGS-01484714","TAYLORVILLE CREEK NEAR BERLIN, MD","Stream",NA,"02040303",0.94,"sq mi",NA,NA,38.352615,-75.1940768,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MD","USGS Maryland Water Science Center","USGS-01484716","BOTTLE BRANCH AT BERLIN, MD","Stream",NA,"02040303",0.35,"sq mi",NA,NA,38.31706,-75.2160225,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MD","USGS Maryland Water Science Center","USGS-01484717","NEWPORT CREEK NEAR BERLIN, MD","Stream",NA,"02040303",0.51,"sq mi",NA,NA,38.3023379,-75.2110224,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MD","USGS Maryland Water Science Center","USGS-01484718","BEAVERDAM CREEK AT IRONSHIRE, MD","Stream",NA,"02040303",1.33,"sq mi",NA,NA,38.2826159,-75.2226897,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MD","USGS Maryland Water Science Center","USGS-01484719","BASSETT CREEK NEAR IRONSHIRE, MD","Stream",NA,"02040303",1.22,"sq mi",NA,NA,38.2680884,-75.2441629,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",3.33,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MD","USGS Maryland Water Science Center","USGS-01484720","PORTER CREEK NEAR NEWARK, MD","Stream",NA,"02040303",0.76,"sq mi",NA,NA,38.2590053,-75.2585246,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MD","USGS Maryland Water Science Center","USGS-01484721","MARSHALL CREEK AT NEWARK, MD","Stream",NA,"02040303",1.3,"sq mi",NA,NA,38.2387281,-75.282692,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MD","USGS Maryland Water Science Center","USGS-01484722","MASSEY BRANCH NEAR NEWARK, MD","Stream",NA,"02040303",0.54,"sq mi",NA,NA,38.2615054,-75.272136,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-MD","USGS Maryland Water Science Center","USGS-01484723","WATERWORKS CREEK TRIBUTARY NEAR CEDARTOWN, MD","Stream",NA,"02040303",0.09,"sq mi",NA,NA,38.2184508,-75.2940813,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-MD","USGS Maryland Water Science Center","USGS-01484725","SCARBORO CREEK AT SPENCE, MD","Stream",NA,"02040303",0.27,"sq mi",NA,NA,38.1656742,-75.3060263,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-MD","USGS Maryland Water Science Center","USGS-01484726","PAWPAW CREEK AT SPENCE, MD","Stream",NA,"02040303",1.48,"sq mi",NA,NA,38.1520634,-75.31686,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-MD","USGS Maryland Water Science Center","USGS-01484727","TANHOUSE CREEK NEAR BOXIRON, MD","Stream",NA,"02040303",0.45,"sq mi",NA,NA,38.133175,-75.3265827,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-MD","USGS Maryland Water Science Center","USGS-01484728","BOXIRON CREEK AT BOXIRON, MD","Stream",NA,"02040303",0.41,"sq mi",NA,NA,38.1284529,-75.3476946,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-MD","USGS Maryland Water Science Center","USGS-01484729","BROCKATONORTON BAY TRIBUTARY AT BOXIRON, MD","Stream",NA,"02040303",0.26,"sq mi",NA,NA,38.1037312,-75.3563062,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-MD","USGS Maryland Water Science Center","USGS-01484730","PIKES CREEK NEAR STOCKTON, MD","Stream",NA,"02040303",0.86,"sq mi",NA,NA,38.0734541,-75.4029749,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-MD","USGS Maryland Water Science Center","USGS-01484731","RILEY CREEK AT STOCKTON, MD","Stream",NA,"02040303",0.12,"sq mi",NA,NA,38.0531767,-75.4099198,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-MD","USGS Maryland Water Science Center","USGS-01484732","LITTLE MILL CREEK NEAR STOCKTON, MD","Stream",NA,"02040303",0.81,"sq mi",NA,NA,38.0442881,-75.4465881,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-MD","USGS Maryland Water Science Center","USGS-01484733","MARSHALL DITCH NEAR STOCKTON, MD","Stream",NA,"02040303",0.28,"sq mi",NA,NA,38.0340105,-75.4835343,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"047",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-MD","USGS Maryland Water Science Center","USGS-01484980","POCOMOKE RIVER AT CAREYTOWN, MD","Stream",NA,"02080111",35.13,"sq mi",NA,NA,38.4359484,-75.3374152,24000,1,"seconds","Interpolated from MAP.","NAD83",35,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",24,"045",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-MD","USGS Maryland Water Science Center","USGS-01484981","NORTH FORK GREEN RUN NEAR WHITESVILLE, DE","Stream",NA,"02080111",3.66,"sq mi",NA,NA,38.4520278,-75.3778889,24000,1,"seconds","Interpolated from MAP.","NAD83",36,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",24,"045",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
