"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"1","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_35_20110418_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-18,"12:30:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_35","General Comments: Sampled from north shore, on ledges west of boat landing. Site Observations: entered into Cybertracker 6/1/11, by WGG.",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",155,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-18,NA,NA,NA,NA,NA,"STORET",2011-04-18 16:30:00,NA
"2","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-230_GS14-6-2011_8124833","Sample-Routine","Water","Surface Water",2011-06-14,"11:00:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94593","BIOMONITORING - WETLAND","MEDEP_WQX-95138",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",3,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-18,NA,NA,NA,NA,NA,"STORET",2011-06-14 16:00:00,NA
"3","11113300","New Hampshire Department Of Environmental Services","11113300-2011-2262","Sample-Routine","Water",NA,2011-07-21,"12:00:00","EDT",2011-07-21,NA,NA,0,"m","SURFACE",NA,NA,NA,NA,"ARMP",NA,"11113300-01-SAC","ALL FIELD MEASUREMENTS TAKEN BY HANDHELD METERS.   STATE LAB ID = A106360002;",NA,NA,NA,"RIVERTRIP","NEW HAMPSHIRE DEPARTMENT OF ENVIRONMENTAL SERVICES","AMBIENT AND VRAP SAMPLING PROCEDURES","Water Sampler (Other)",NA,"Chloride","Total",11,"mg/l",NA,"Validated",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D512(C)","ASTM","Chloride in Water by ISE-Cl",NA,"LIMNOLOGY LAB - WATERSHED MANAGEMENT BUREAU - NHDES",NA,NA,"Lower Reporting Limit",3,"mg/l",NA,"STORET",2011-07-21 16:00:00,NA
"4","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_50_20110425_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-25,"11:00:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_50","No Comments",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",105,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-25,NA,NA,NA,NA,NA,"STORET",2011-04-25 15:00:00,NA
"5","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-234_GS27-6-2011_8124858","Sample-Routine","Water","Surface Water",2011-06-27,"11:15:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94579","BIOMONITORING - WETLAND","MEDEP_WQX-95146",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",4,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-27,NA,NA,NA,NA,NA,"STORET",2011-06-27 16:15:00,NA
"6","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_15_20111017_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-10-17,"11:00:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_15","No Comments",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",181,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-17,NA,NA,NA,NA,NA,"STORET",2011-10-17 15:00:00,NA
"7","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-105_GS29-6-2011_8118178","Sample-Routine","Water","Surface Water",2011-06-29,"10:00:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61003","BIOMONITORING - WETLAND","MEDEP_WQX-61471",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",19,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-29,NA,NA,NA,NA,NA,"STORET",2011-06-29 15:00:00,NA
"8","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_44_20110421_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-21,"11:15:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_44","General Comments: Sampled near outlet of pond @Rt. 102 boat launch. Tried to sample in channel, where sediment was not stirred up. Site Observations: sample collected near outlet of pond at Rt. 102 boat launch. tried to sample in channel, where sediment",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",214,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-21,NA,NA,NA,NA,NA,"STORET",2011-04-21 15:15:00,NA
"9","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_40_20110418_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-18,"15:05:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_40","General Comments: Sampled from ledges at ""Ranger Camp"". Site Observations: sample taken at the ledges on 4/18/11",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",203,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-18,NA,NA,NA,NA,NA,"STORET",2011-04-18 19:05:00,NA
"10","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-143_GS6-7-2011_8118239","Sample-Routine","Water","Surface Water",2011-07-06,"13:15:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61041","BIOMONITORING - WETLAND","MEDEP_WQX-61611",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",1,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-07-07,NA,NA,NA,NA,NA,"STORET",2011-07-06 18:15:00,NA
