"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-GA","USGS Georgia Water Science Center","USGS-431914070342701","SALT POOL (RACHEL CARSON NWR) NR WELLS, ME","Estuary",NA,"01060003",NA,NA,NA,NA,43.3208056,-70.5742778,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","5","feet","10","feet","Interpolated from topographic map.","NGVD29","US",23,"031",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-ME","USGS Maine Water Science Center","USEPA-440432070255401","ME-ANW 1157","Well",NA,"01040002",NA,NA,NA,NA,44.0758333,-70.4305556,NA,".1","seconds","Interpolated from Digital MAP.","NAD83","330","feet","10","feet","Interpolated from Digital Elevation Model","NAVD88","US",23,"001","Sand and gravel aquifers (glaciated regions)","Ice-Contact Deposits, Pleistocene","Unconfined single aquifer",19871210,75,"ft",80,"ft","NWIS"
"3","USGS-ME","USGS Maine Water Science Center","USEPA-450959069222101","ME-PIW 33","Well",NA,"01020004",NA,NA,NA,NA,45.166075,-69.3739,NA,".1","seconds","Interpolated from Digital MAP.","NAD83","396","feet","10","feet","Interpolated from Digital Elevation Model","NGVD29","US",23,"021","Sand and gravel aquifers (glaciated regions)","Ice-Contact Deposits, Pleistocene","Unconfined single aquifer",19840614,70,"ft",NA,NA,"NWIS"
"4","USGS-ME","USGS Maine Water Science Center","USEPA-451926068350001","ME-PEW 692","Well",NA,"01020005",NA,NA,NA,NA,45.3238889,-68.5833333,NA,"Unknown","Unknown","Differentially corrected Global Positioning System.","NAD83","220","feet","20","feet","Interpolated from Digital Elevation Model","NAVD88","US",23,"019","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated",NA,19900101,88,"ft",NA,NA,"NWIS"
"5","USGS-ME","USGS Maine Water Science Center","USEPA-453849067521001","ME-WW 1021","Well",NA,"01020003",NA,NA,NA,NA,45.6469194,-67.8690583,NA,".1","seconds","Interpolated from Digital MAP.","NAD83","400","feet","10","feet","Interpolated from Digital Elevation Model","NAVD88","US",23,"029","Sand and gravel aquifers (glaciated regions)","Ice-Contact Deposits, Pleistocene","Unconfined single aquifer",NA,45,"ft",NA,NA,"NWIS"
"6","USGS-ME","USGS Maine Water Science Center","USGS-01010000","St. John River at Ninemile Bridge, Maine","Stream",NA,"01010007",1341,"sq mi",1341,"sq mi",46.7005556,-69.7155556,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","31.26","feet",".01","feet","Level or other surveyed method.","NGVD29","US",23,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-ME","USGS Maine Water Science Center","USGS-01010500","St. John River at Dickey, Maine","Stream",NA,"01010008",2680,"sq mi",2680,"sq mi",47.1130556,-69.0880556,NA,"1","seconds","Interpolated from Digital MAP.","NAD83","590.38","feet",".01","feet","Level or other surveyed method.","NGVD29","US",23,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-ME","USGS Maine Water Science Center","USGS-01011000","Allagash River near Allagash, Maine","Stream",NA,"01010002",1478,"sq mi",1229,"sq mi",47.0697222,-69.0794444,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","604.60","feet",".01","feet","Level or other surveyed method.","NGVD29","US",23,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-ME","USGS Maine Water Science Center","USGS-01013500","Fish River near Fort Kent, Maine","Stream",NA,"01010003",873,"sq mi",873,"sq mi",47.2375,-68.5827778,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","511.38","feet",".01","feet","Level or other surveyed method.","NGVD29","US",23,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-ME","USGS Maine Water Science Center","USGS-01014000","St. John River below Fish R, nr Fort Kent, Maine","Stream",NA,"01010008",5929,"sq mi",5680,"sq mi",47.2833333,-68.5852778,24000,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","505","feet","3","feet","Light Detection And Ranging, airplane","NAVD88","US",23,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
