"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-GA","USGS Georgia Water Science Center","USGS-432321084003101","BULLHEAD CR (SHIAWASSEE NWR) NR SAGINAW, MI","Lake, Reservoir, Impoundment",NA,"04080203",NA,NA,NA,NA,43.3893611,-84.0088333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",580,"feet",2.5,"feet","Interpolated from topographic map.","NGVD29","US",26,"145",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MI","USGS Michigan Water Science Center","USGS-04001000","WASHINGTON CREEK AT WINDIGO, MI","Stream",NA,"04020300",13.2,"sq mi",NA,NA,47.9212792,-89.1459197,24000,1,"minutes","Interpolated from MAP.","NAD83",605,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",26,"083",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MI","USGS Michigan Water Science Center","USGS-04028100","MONTREAL RIVER NEAR IRONWOOD, MI","Stream",NA,"04010302",80.6,"sq mi",NA,NA,46.5071696,-90.2298989,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MI","USGS Michigan Water Science Center","USGS-04031000","BLACK RIVER NEAR BESSEMER, MI","Stream",NA,"04020101",200,"sq mi",NA,NA,46.5113361,-90.0746179,24000,1,"minutes","Interpolated from MAP.","NAD83",1154.3,"feet",0.1,"feet","Reported method of determination.","NGVD29","US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MI","USGS Michigan Water Science Center","USGS-040325155","MINERAL RIVER D/S OF NATIVE CK NR SILVER CITY, MI","Stream",NA,"04020101",NA,NA,NA,NA,46.8322778,-89.546,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"131",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MI","USGS Michigan Water Science Center","USGS-04032700","MIDDLE BR ONTONAGON R 6 MI W OF WATERSMEET, MI","Stream",NA,"04020102",NA,NA,NA,NA,46.2771703,-89.3093097,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MI","USGS Michigan Water Science Center","USGS-04032900","MIDDLE BR ONTONAGON R AT US-45 NR WATERSMEET, MI","Stream",NA,"04020102",48,"sq mi",NA,NA,46.2749485,-89.1776402,NA,1,"minutes","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MI","USGS Michigan Water Science Center","USGS-04032915","BONIFAS CREEK AT BASS LAKE OUTLET NR WATERSMEET,MI","Stream",NA,"04020102",NA,NA,NA,NA,46.2980036,-89.1726403,25000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-MI","USGS Michigan Water Science Center","USGS-04032919","BONIFAS CREEK AT WATERSMEET, MI","Stream",NA,"04020102",NA,NA,NA,NA,46.291615,-89.1543067,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"053",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-MI","USGS Michigan Water Science Center","USGS-04033100","DEADMAN C AT USFS RD 169 NR TROUT CREEK, MI","Stream",NA,"04020102",NA,NA,NA,NA,46.3630028,-89.0162499,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",26,"131",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
