"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-AR","USGS Arkansas Water Science Center","USGS-07050080","TABLE ROCK LAKE NEAR EAGLE ROCK, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.5228468,-93.7240824,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-AR","USGS Arkansas Water Science Center","USGS-07050110","WHITE RIVER NEAR GOLDEN, MO.","Stream",NA,"11010001",NA,NA,NA,NA,36.5322908,-93.7146377,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-AR","USGS Arkansas Water Science Center","USGS-07050510","TABLE ROCK LAKE (KINGS R) NR CARR LANE, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.5022898,-93.6001897,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-AR","USGS Arkansas Water Science Center","USGS-07050525","TABLE ROCK LAKE BELOW SHELL KNOB, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.6211755,-93.5638013,24000,"1","seconds","Interpolated from MAP.","NAD83",840,"feet","10.","feet","Interpolated from topographic map.","NGVD29","US",29,"209",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-AR","USGS Arkansas Water Science Center","USGS-07050530","TABLE ROCK LAKE NEAR LAMPE, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.5722871,-93.5237996,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"209",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-AR","USGS Arkansas Water Science Center","USGS-07050535","TABLE ROCK LAKE BELOW LAMPE, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.5917304,-93.4079635,24000,"1","seconds","Interpolated from MAP.","NAD83",740,"feet","10.","feet","Interpolated from topographic map.","NGVD29","US",29,"209",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-AR","USGS Arkansas Water Science Center","USGS-07052910","TABLE ROCK LAKE (JAMES R. ARM) AT CAPE FAIR, MO.","Lake, Reservoir, Impoundment",NA,"11010002",NA,NA,NA,NA,36.7233948,-93.4932453,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"209",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-AR","USGS Arkansas Water Science Center","USGS-07052920","TABLE ROCK LAKE (JAMES R) NR KIMBERLING CITY, MO","Lake, Reservoir, Impoundment",NA,"11010002",NA,NA,NA,NA,36.6397854,-93.4910219,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"209",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-AR","USGS Arkansas Water Science Center","USGS-07053320","TABLE ROCK LAKE (LONG CK ARM) NR RIDGEDALE, MO.","Lake, Reservoir, Impoundment",NA,"11010001",NA,NA,NA,NA,36.5275644,-93.3029605,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,"213",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-AR","USGS Arkansas Water Science Center","USGS-07054298","BULL SHOALS LAKE NEAR KIRBYVILLE, MO.","Lake, Reservoir, Impoundment",NA,"11010003",NA,NA,NA,NA,36.6031188,-93.0710108,24000,"1","seconds","Interpolated from MAP.","NAD83",654,"feet","10.","feet","Interpolated from topographic map.","NGVD29","US",29,"213",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
