"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MA","USGS Massachusetts Water Science Center","USGS-444940071315501","NH-CUW   61","Well",NA,"01080101",NA,NA,NA,NA,44.8277287,-71.531522,NA,"1","seconds","Interpolated from MAP.","NAD83","1600","feet","5","feet","Interpolated from Digital Elevation Model","NAVD88","US",33,"007","Sand and gravel aquifers (glaciated regions)","Outwash","Unconfined single aquifer",20110812,16,"ft",NA,NA,"NWIS"
"2","USGS-ME","USGS Maine Water Science Center","USGS-01052500","Diamond River near Wentworth Location, NH","Stream",NA,"01040001",152,"sq mi",152,"sq mi",44.8775,-71.0575,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","1259.48","feet",".01","feet","Level or other surveyed method.","NGVD29","US",33,"007",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-ME","USGS Maine Water Science Center","USGS-01053500","Androscoggin River at Errol, NH","Stream",NA,"01040001",1046,"sq mi",1046,"sq mi",44.7825,-71.1286111,24000,"1","seconds","Interpolated from Digital MAP.","NAD83","1227.30","feet",".01","feet","Level or other surveyed method.","NGVD29","US",33,"007",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-ME","USGS Maine Water Science Center","USGS-01064500","Saco River near Conway, NH","Stream",NA,"01060002",385,"sq mi",385,"sq mi",43.9908333,-71.0905556,24000,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","418.19","feet",".01","feet","Level or other surveyed method.","NGVD29","US",33,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-NH","USGS New Hampshire Water Science Center","USGS-01064350","SACO R AB EAST BRANCH SACO R, @ LOWER BARTLETT, NH","Stream",NA,"01060002",NA,NA,NA,NA,44.0961799,-71.1675716,24000,"1","seconds","Interpolated from MAP.","NAD83","510","feet","20","feet","Interpolated from topographic map.","NGVD29","US",33,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-NH","USGS New Hampshire Water Science Center","USGS-01064490","SWIFT RIVER AT MOUTH, AT CONWAY, NH","Stream",NA,"01060002",NA,NA,NA,NA,43.984793,-71.1192365,24000,"1","seconds","Interpolated from MAP.","NAD83","435","feet","20","feet","Interpolated from topographic map.","NGVD29","US",33,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-NH","USGS New Hampshire Water Science Center","USGS-01065000","OSSIPEE RIVER AT EFFINGHAM FALLS, NH","Stream",NA,"01060002",330,"sq mi",NA,NA,43.7950753,-71.059234,24000,"1","seconds","Interpolated from MAP.","NAD83","390.00","feet","20","feet","Interpolated from topographic map.","NGVD29","US",33,"003",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-NH","USGS New Hampshire Water Science Center","USGS-01073319","LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH","Stream",NA,"01060003",55.7,"sq mi",NA,NA,43.0413889,-71.2016667,24000,"1","seconds","Interpolated from MAP.","NAD83","182.49","feet",".2","feet","Level or other surveyed method.","NAVD88","US",33,"015",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-NH","USGS New Hampshire Water Science Center","USGS-01073500","LAMPREY RIVER NEAR NEWMARKET, NH","Stream",NA,"01060003",185,"sq mi",NA,NA,43.1025856,-70.952559,24000,"1","seconds","Interpolated from MAP.","NAD83","38.28","feet",".01","feet","Level or other surveyed method.","NGVD29","US",33,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-NH","USGS New Hampshire Water Science Center","USGS-01074500","EAST BRANCH PEMIGEWASSET RIVER NEAR LINCOLN, NH","Stream",NA,"01070001",104,"sq mi",NA,NA,44.0614558,-71.616191,24000,"1","seconds","Interpolated from MAP.","NAD83","1020","feet","40","feet","Interpolated from topographic map.","NGVD29","US",33,"009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
