"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-GA","USGS Georgia Water Science Center","USGS-391214074570201","FIRST POND SITE 1 (CORSON WMA) NR DELMONT, NJ","Lake, Reservoir, Impoundment",NA,"02040206",NA,NA,NA,NA,39.2040889,-74.9507111,24000,0.01,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5,"feet","2.5","feet","Interpolated from topographic map.","NGVD29","US",34,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MD","USGS Maryland Water Science Center","USGS-01405150","MILFORD BROOK AT HERBERTS CORNER, NJ","Stream",NA,"02030105",0.27,"sq mi",NA,NA,40.3313872,-74.2723682,24000,1,"seconds","Interpolated from MAP.","NAD83",160,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"025",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MD","USGS Maryland Water Science Center","USGS-0140811980","NORTH BRANCH METEDECONK RIV TRIB AT LANES MILLS,NJ","Stream",NA,"02040301",0.76,"sq mi",NA,NA,40.0940083,-74.1458361,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",34,"029",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MD","USGS Maryland Water Science Center","USGS-01409434","SKIT BRANCH NEAR WHITESBOG, NJ","Stream",NA,"02040301",1.1,"sq mi",NA,NA,39.795,-74.6227778,24000,10,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",75,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",34,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MD","USGS Maryland Water Science Center","USGS-01412119","MUSKEE CREEK TRIBUTARY NEAR MANUMUSKIN, NJ","Stream",NA,"02040206",1.22,"sq mi",NA,NA,39.3101149,-74.9435061,24000,10,"seconds","Interpolated from MAP.","NAD83",20,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MD","USGS Maryland Water Science Center","USGS-01412410","COHANSEY RIVER TRIB NEAR DEERFIELD, NJ","Stream",NA,"02040206",1.09,"sq mi",NA,NA,39.5186111,-75.2630556,24000,10,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",70,"feet","10","feet","Interpolated from topographic map.","NAVD88","US",34,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MD","USGS Maryland Water Science Center","USGS-01413036","COHANSEY RIVER TRIBUTARY NO 2 NEAR GREENWICH, NJ","Stream",NA,"02040206",0.39,"sq mi",NA,NA,39.3958333,-75.3138889,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",20,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"011",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MD","USGS Maryland Water Science Center","USGS-0146700220","NORTH BRANCH RANCOCAS CREEK TRIB NR JULIUSTOWN, NJ","Stream",NA,"02040202",2.13,"sq mi",NA,NA,39.9965278,-74.6733333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",70,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-MD","USGS Maryland Water Science Center","USGS-01467012","RANCOCAS CREEK TRIBUTARY NEAR CENTERTON, NJ","Stream",NA,"02040202",0.79,"sq mi",NA,NA,40,-74.8977778,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",30,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-MD","USGS Maryland Water Science Center","USGS-01467314","PETER CREEK AT OAKLYN, NJ","Stream",NA,"02040202",0.59,"sq mi",NA,NA,39.8951389,-75.0764722,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",10,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"007",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-MD","USGS Maryland Water Science Center","USGS-01482555","GAME CREEK NEAR AUBURN, NJ","Stream",NA,"02040206",0.81,"sq mi",NA,NA,39.7068611,-75.3920556,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",34,"033",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367612","Lake Mohawk 2.9 mi upstream of dam near Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0046389,-74.6835,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367613","Lake Mohawk 2.2 mi upstream of dam near Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0093056,-74.6750833,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367614","Lake Mohawk 1.3 mi upstream of dam near Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0176111,-74.6578056,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367615","Lake Mohawk 1.2 mi upstream of dam near Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0221111,-74.66075,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367616","Lake Mohawk 3800 ft upstream of dam at Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0250833,-74.6518889,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367617","Lake Mohawk 2200 ft upstream of dam at Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.031,-74.6534722,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367618","Lake Mohawk 2000 ft upstream of dam at Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0276389,-74.6446944,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367619","Lake Mohawk 600 ft upstream of dam at Sparta NJ","Lake, Reservoir, Impoundment",NA,"02020007",NA,NA,NA,NA,41.0320833,-74.6453611,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",730,"feet","5","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367620","Wallkill R at outflow of Lk Mohawk at Sparta NJ","Stream",NA,"02020007",4.38,"sq mi",NA,NA,41.0330556,-74.6430556,24000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367625","Wallkill River at Sparta NJ","Stream",NA,"02020007",5.88,"sq mi",NA,NA,41.0402778,-74.6297222,24000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"22","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367638","Sparta Glen Brook in Sparta Glen at Sparta NJ","Stream",NA,"02020007",4.23,"sq mi",NA,NA,41.0397222,-74.6211389,24000,1,"seconds","Interpolated from MAP.","NAD83",760,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"23","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367640","Wallkill River at South Ogdensburg NJ","Stream",NA,"02020007",16.3,"sq mi",NA,NA,41.0723611,-74.6049722,24000,1,"seconds","Interpolated from MAP.","NAD83",570,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"24","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367648","Wallkill River below Passaic Ave at Ogdensburg NJ","Stream",NA,"02020007",19.2,"sq mi",NA,NA,41.0855556,-74.6019444,24000,1,"seconds","Interpolated from MAP.","NAD83",590,"feet","10","feet","Interpolated from topographic map.","NAVD88","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"25","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367650","Wallkill River at Ogdensburg NJ","Stream",NA,"02020007",19.4,"sq mi",NA,NA,41.0868333,-74.5946944,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",570,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"26","USGS-NJ","USGS New Jersey Water Science Center","USGS-01367690","Franklin Pond Creek at Beaver Lake NJ","Stream",NA,"02020007",5.74,"sq mi",NA,NA,41.1052778,-74.5596111,24000,0.1,"seconds","Interpolated from MAP.","NAD83",900,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",34,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
