OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-383911083130000,UPPER TWIN CR BLW STABLE GUT NR MCGAW,Stream,,05090201,,,,,38.6531318,-83.2165699,24000,1,seconds,Interpolated from MAP.,NAD83,600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,39,145,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383935083133200,EAST FORK NR MCGAW,Stream,,05090201,,,,,38.6597983,-83.2254592,24000,1,seconds,Interpolated from MAP.,NAD83,640,feet,5,feet,Interpolated from topographic map.,NGVD29,US,39,145,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-383941083135600,UPPER TWIN CR AB EAST FORK NR MCGAW,Stream,,05090201,,,,,38.6614649,-83.232126,24000,1,seconds,Interpolated from MAP.,NAD83,700,feet,5,feet,Interpolated from topographic map.,NGVD29,US,39,145,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-384137083154100,BRUSHY FORK NR MCGAW,Stream,,05090201,,,,,38.6936865,-83.261294,24000,1,seconds,Interpolated from MAP.,NAD83,890,feet,5,feet,Interpolated from topographic map.,NGVD29,US,39,145,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-03238680,"OHIO RIVER AT MELDAHL DAM NEAR CHILO, OH",Stream,,05090201,70800,sq mi,,,38.7972914,-84.1665999,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,025,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04176080,"BEAR CREEK AT COUNTY RD 7 NEAR OGDEN CENTER, OH",Stream,,04100002,,,,,41.7136624,-83.9988337,24000,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,39,051,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04177266,"WEST BRANCH ST. JOSEPH RIVER NR NETTLE LAKE, OH",Stream,,04100003,,,,,41.6833834,-84.6699534,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,171,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-383638082103300,G-2 OH,Well,,05090101,,,,,38.6107111,-82.1760056,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,552.06,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,053,Alluvial aquifers,Terrace Deposits,Unconfined single aquifer,19720101,65,ft,65,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-390359083015100,PI-2,Well,,05060002,,,,,39.0664585,-83.0307338,24000,1,seconds,Interpolated from MAP.,NAD83,550.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,39,131,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19670101,63,ft,63,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-391039084291500,H-11,Well,,05090203,,,,,39.1775588,-84.4874428,24000,5,seconds,Interpolated from MAP.,NAD83,535,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,061,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,151,ft,,,NWIS
