"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MD","USGS Maryland Water Science Center","USGS-01613060","CUMMINGS RUN NEAR NEEDMORE, PA","Stream",NA,"02070004",5,"sq mi",NA,NA,39.8803659,-78.1447294,24000,"1","seconds","Interpolated from MAP.","NAD83",660,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MD","USGS Maryland Water Science Center","USGS-01613082","COVE RUN AT WARFORDSBURG, PA","Stream",NA,"02070004",3.6,"sq mi",NA,NA,39.7625904,-78.185008,24000,"1","seconds","Interpolated from MAP.","NAD83",510,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MD","USGS Maryland Water Science Center","USGS-01613510","L COVE C NR SYLVAN, PA","Stream",NA,"02070004",22.9,"sq mi",NA,NA,39.7400932,-78.0302795,24000,"1","seconds","Interpolated from MAP.","NAD83",470,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MD","USGS Maryland Water Science Center","USGS-01638740","MUMMASBURG RUN NEAR GETTYSBURG, PA","Stream",NA,"02070009",5.5,"sq mi",NA,NA,39.8637058,-77.2894295,24000,"1","seconds","Interpolated from MAP.","NAD83",535,"feet","5","feet","Interpolated from topographic map.","NGVD29","US",42,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MD","USGS Maryland Water Science Center","USGS-01638895","WHITES RUN NEAR TWO TAVERNS, PA","Stream",NA,"02070009",7.8,"sq mi",NA,NA,39.8020418,-77.1785949,24000,"1","seconds","Interpolated from MAP.","NAD83",450,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",42,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MD","USGS Maryland Water Science Center","USGS-01638920","LITTLES RUN NEAR GETTYSBURG, PA","Stream",NA,"02070009",6.8,"sq mi",NA,NA,39.7814864,-77.195262,24000,"1","seconds","Interpolated from MAP.","NAD83",430,"feet","10","feet","Interpolated from topographic map.","NGVD29","US",42,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MD","USGS Maryland Water Science Center","USGS-394805077504601","Replace NAWQA Site FR-811R","Well",NA,"02070004",NA,NA,NA,NA,39.8013889,-77.8463889,24000,"1","seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",42,"055",NA,"Greenbrier Limestone",NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353203","E5-45","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",726.9,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,46.77,"ft",46.77,"ft","NWIS"
"9","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353204","E5-60","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",726.79,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,53.92,"ft",53.92,"ft","NWIS"
"10","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353205","E4-10","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",723.62,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,18.11,"ft",18.11,"ft","NWIS"
"11","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353206","E4-20","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",723.2,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,24.4,"ft",24.4,"ft","NWIS"
"12","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353208","E4-45","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",723.67,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,45.21,"ft",45.21,"ft","NWIS"
"13","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353209","E4-60","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",723.79,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,65.11,"ft",65.11,"ft","NWIS"
"14","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353210","E3-10","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",727.05,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,13.95,"ft",13.95,"ft","NWIS"
"15","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353211","E3-20","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",727,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,22.92,"ft",22.92,"ft","NWIS"
"16","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353212","E3-30","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",726.78,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,32.69,"ft",32.69,"ft","NWIS"
"17","USGS-MD","USGS Maryland Water Science Center","USGS-404233076353213","E3-45","Well",NA,"02050301",NA,NA,NA,NA,40.7092523,-76.5919059,24000,"1","seconds","Interpolated from MAP.","NAD83",726.73,"feet",".01","feet","Level or other surveyed method.","NGVD29","US",42,"107",NA,NA,NA,NA,40,"ft",40,"ft","NWIS"
