"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"1","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001405","Sample-Routine","Water","Surface Water",1980-03-19,"13:00:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",8.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-03-19 18:00:00,NA
"2","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001408","Sample-Routine","Water","Surface Water",1980-05-14,"10:45:00","EDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",9.9,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-05-14 14:45:00,NA
"3","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.95800103","Sample-Routine","Water","Surface Water",1958-03-11,"10:50:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01112500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",13,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1958-03-11 15:50:00,NA
"4","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001413","Sample-Routine","Water","Surface Water",1980-07-10,"12:45:00","EDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",18,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-07-10 16:45:00,NA
"5","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001418","Sample-Routine","Water","Surface Water",1980-09-03,"09:15:00","EDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",15,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-09-03 13:15:00,NA
"6","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001363","Sample-Routine","Water","Surface Water",1980-03-06,"12:15:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01116500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",71,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-03-06 17:15:00,NA
"7","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001395","Sample-Routine","Water","Surface Water",1979-11-15,"09:50:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",9.4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1979-11-15 14:50:00,NA
"8","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001401","Sample-Routine","Water","Surface Water",1980-01-16,"10:15:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",10,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-01-16 15:15:00,NA
"9","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001317","Sample-Routine","Water","Surface Water",1979-12-11,"14:30:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01112900",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",30,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1979-12-11 19:30:00,NA
"10","USGS-MA","USGS Massachusetts Water Science Center","nwisma.01.98001416","Sample-Routine","Water","Surface Water",1980-08-14,"12:30:00","EDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-01118500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",12,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1980-08-14 16:30:00,NA
