"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CT","USGS Connecticut Water Science Center","USGS-430350072274501","VT- WS   01","Well",NA,"01080107",NA,NA,NA,NA,43.0639722,-72.4626389,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",280,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",50,"025","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated","Unconfined single aquifer",19890420,74,"ft",74,"ft","NWIS"
"2","USGS-CT","USGS Connecticut Water Science Center","USGS-431640072415801","VT- AN   01","Well",NA,"01080106",NA,NA,NA,NA,43.2778333,-72.6995556,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",1170,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"027","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated","Unconfined single aquifer",19711223,124,"ft",124,"ft","NWIS"
"3","USGS-CT","USGS Connecticut Water Science Center","USGS-435633072332001","VT- RA    1","Well",NA,"01080105",NA,NA,NA,NA,43.9424167,-72.5555,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",595,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",50,"017","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated","Unconfined single aquifer",19861111,86,"ft",86,"ft","NWIS"
"4","USGS-CT","USGS Connecticut Water Science Center","USGS-443359071592501","VT- LY    1","Well",NA,"01080102",NA,NA,NA,NA,44.5666111,-71.9903333,24000,".5","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",790,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",50,"005","Sand and gravel aquifers (glaciated regions)","Stratified Deposits, Undifferentiated","Unconfined single aquifer",19710922,116,"ft",116,"ft","NWIS"
"5","USGS-GA","USGS Georgia Water Science Center","USGS-442838073131601","PUBLIC BOAT RMP (LAKE CHAMPLAIN) AT BURLINGTON, VT","Lake, Reservoir, Impoundment",NA,"04150408",NA,NA,NA,NA,44.47725,-73.2213833,24000,".1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",95,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",50,"007",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-NH","USGS New Hampshire Water Science Center","USGS-01133000","EAST BRANCH PASSUMPSIC RIVER NEAR EAST HAVEN, VT","Stream",NA,"01080102",53.8,"sq mi",NA,NA,44.633942,-71.8975942,24000,"1","seconds","Interpolated from MAP.","NAD83",943.88,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-NH","USGS New Hampshire Water Science Center","USGS-01134500","MOOSE RIVER AT VICTORY, VT","Stream",NA,"01080102",75.2,"sq mi",NA,NA,44.5117231,-71.8373143,24000,"1","seconds","Interpolated from MAP.","NAD83",1103.99,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135000","MOOSE RIVER AT ST. JOHNSBURY, VT","Stream",NA,"01080102",128,"sq mi",NA,NA,44.4228359,-72.0000945,25000,"1","seconds","Interpolated from MAP.","NAD83",585,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135070","POPE BROOK TRIBUTARY (W-9A), NR NORTH DANVILLE, VT","Stream",NA,"01080102",0.0652,"sq mi",NA,NA,44.4918889,-72.1611944,25000,".5","seconds","Interpolated from Digital MAP.","NAD83",1737.5,"feet",1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135080","POPE BROOK TRIBUTARY (W-9B), NR NORTH DANVILLE,VVT","Stream",NA,"01080102",0.0498,"sq mi",NA,NA,44.492,-72.1610556,25000,".5","seconds","Interpolated from Digital MAP.","NAD83",1737,"feet",1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135090","POPE BROOK TRIBUTARY (W-9C), NR NORTH DANVILLE, VT","Stream",NA,"01080102",0.0313,"sq mi",NA,NA,44.4919167,-72.1604444,25000,".5","seconds","Interpolated from Digital MAP.","NAD83",1743,"feet",1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135100","POPE BROOK TRIBUTARY (W-9), NR NORTH DANVILLE, VT","Stream",NA,"01080102",0.18,"sq mi",NA,NA,44.4906109,-72.1617667,25000,"1","seconds","Interpolated from MAP.","NAD83",1695,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135150","POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT","Stream",NA,"01080102",3.25,"sq mi",NA,NA,44.4761671,-72.1245431,25000,"1","seconds","Interpolated from MAP.","NAD83",1141.2,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135200","SLEEPERS RIVER TRIB (W-2), NR NORTH DANVILLE, VT","Stream",NA,"01080102",0.23,"sq mi",NA,NA,44.4594444,-72.0919444,25000,".5","seconds","Interpolated from Digital MAP.","NAD83",935,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135300","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT","Stream",NA,"01080102",42.9,"sq mi",NA,NA,44.4353353,-72.038429,25000,"1","seconds","Interpolated from MAP.","NAD83",641.68,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135500","PASSUMPSIC RIVER AT PASSUMPSIC, VT","Stream",NA,"01080102",436,"sq mi",NA,NA,44.3656147,-72.0392613,25000,"1","seconds","Interpolated from MAP.","NAD83",500,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"005",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-NH","USGS New Hampshire Water Science Center","USGS-01138500","CONNECTICUT RIVER AT WELLS RIVER, VT","Stream",NA,"01080103",2644,"sq mi",NA,NA,44.1533969,-72.0417577,24000,"1","seconds","Interpolated from MAP.","NAD83",399.75,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139000","WELLS RIVER AT WELLS RIVER, VT","Stream",NA,"01080103",98.4,"sq mi",NA,NA,44.1503413,-72.0650915,24000,"1","seconds","Interpolated from MAP.","NAD83",505.53,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139826","WAITS R @ VT 25, DST OF WAITS R, NR BRADFORD, VT","Stream",NA,"01080104",42.7,"sq mi",NA,NA,44.0772871,-72.2595396,24000,"1","seconds","Interpolated from MAP.","NAD83",810,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-NH","USGS New Hampshire Water Science Center","USGS-011398299","PIKE HILL BR BLW EUREKA-UNION MINES NR BRADFORD VT","Stream",NA,"01080104",0.05,"sq mi",NA,NA,44.0639538,-72.3045408,24000,"1","seconds","Interpolated from MAP.","NAD83",1620,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139830","PIKE HILL BR AB RICHARDSON RD, NR BRADFORD, VT","Stream",NA,"01080104",0.11,"sq mi",NA,NA,44.0639538,-72.3014852,24000,"1","seconds","Interpolated from MAP.","NAD83",1400,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"22","USGS-NH","USGS New Hampshire Water Science Center","USGS-011398302","PIKE HILL BR TRIB @ RICHARDSON RD, NR BRADFORD, VT","Stream",NA,"01080104",0.06,"sq mi",NA,NA,44.0647872,-72.3012074,24000,"1","seconds","Interpolated from MAP.","NAD83",1400,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"23","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139831","PIKE HILL BROOK @ RICHARDSON RD, NR BRADFORD, VT","Stream",NA,"01080104",0.36,"sq mi",NA,NA,44.0636761,-72.2928738,24000,"1","seconds","Interpolated from MAP.","NAD83",1350,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"24","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139832","PIKE HILL BROOK @ CARPENTER PL, NEAR BRADFORD, VT","Stream",NA,"01080104",0.45,"sq mi",NA,NA,44.062565,-72.2881514,24000,"1","seconds","Interpolated from MAP.","NAD83",1270,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,"017",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
