OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IL,USGS Illinois Water Science Center,USGS-04087280,"WETLAND AT STATE LINE, WI",Wetland,,04040002,0.19,sq mi,,,42.4927778,-87.8105556,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,586.84,feet,.05,feet,Level or other surveyed method.,NAVD88,US,55,059,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423007088305501,1N17E-32.6E,Well,,07120006,,,,,42.5033056,-88.5155556,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1010,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined multiple aquifers,19940805,163,ft,163,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423048088105001,1N20E-30.6C,Well,,07120006,,,,,42.5142778,-88.1783611,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,745,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,059,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19951004,48,ft,48,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423149088151101,1N19E-21.4D,Well,,07120006,,,,,42.5307222,-88.2529444,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,806,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,059,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined multiple aquifer,19910528,67,ft,67,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423423088233201,1N18E-5.4D,Well,,07120006,,,,,42.56725,-88.3951389,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,870,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19910220,40,ft,40,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423454088303101,1N17E-5.3G,Well,,07120006,,,,,42.5808611,-88.509,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,950,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined multiple aquifer,19950421,136,ft,136,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423508088162701,2N19E-32.3C,Well,,07120006,,,,,42.5878889,-88.2713056,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,860,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,059,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19970212,100,ft,100,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423523088244901,2N18E-31.8a,Well,,07120006,,,,,42.5898056,-88.4138611,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,890,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,20000309,17.9,ft,17.9,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423741088252201,2N18E-18.7B,Well,,07120006,,,,,42.6275833,-88.4226389,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,930,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19901229,75,ft,75,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423808088203801,2N18E-14.6F,Well,,07120006,,,,,42.6340833,-88.3443889,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,825,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19950622,78,ft,78,ft,NWIS
