MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-NETN_WEFA_11,Weir Pond,Lake,12,53.00065690000001,1.9381578500000003,33.3926499654762,2012,2017,41.25952,-73.4515,CT
CT_DEP01_WQX-14214,Furnace Brook,Stream,1,15,15,15,1999,1999,41.984,-72.2947,CT
NARS_WQX-NEWS04-3504,MILL BROOK,Stream,1,6.6504200000000004,6.6504200000000004,6.6504200000000004,2004,2004,41.8804,-73.3305,CT
NARS_WQX-NEWS04-3603,WILLAMANTIC RIVER,Stream,1,17.799445000000002,17.799445000000002,17.799445000000002,2004,2004,41.9508,-72.3036,CT
NARS_WQX-NEWS04-3901,SAUGATUCK,Stream,1,23.967745,23.967745,23.967745,2004,2004,41.324,-73.4411,CT
NARS_WQX-NEWS04-4003,STEELE BROOK,Stream,1,39.026905000000006,39.026905000000006,39.026905000000006,2004,2004,41.6369,-72.8683,CT
NARS_WQX-NEWS04-4104,PEASE BROOK,Stream,1,12.91089,12.91089,12.91089,2004,2004,41.5979,-72.1953,CT
USGS-01119375,"WILLIMANTIC R AT MERROW, CT",Stream,137,128,10.6,25.817518248175183,2000,2017,41.8353757,-72.3100804,CT
USGS-01120800,NATCHAUG R AT CHAPLIN CT,Stream,134,29,7.22,14.090223880597016,2000,2017,41.8009316,-72.118132,CT
USGS-01122610,"SHETUCKET R AT SOUTH WINDHAM, CT",Stream,99,30.4,9.9,18.418181818181818,2000,2011,41.6823208,-72.1659111,CT
USGS-011230695,"SHETUCKET RIVER AT TAFTVILLE, CT",Stream,29,26.3,10.6,18.686206896551724,2007,2011,41.5700028,-72.0462444,CT
USGS-01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT",Stream,134,132,23.9,50.005223880597015,2000,2016,42.0223189,-71.9556289,CT
USGS-01124120,Quinebaug R at Red Bridge Rd nr N. Grosvenordale,Stream,34,57.5,24.7,42.56764705882353,2003,2004,41.9828752,-71.920906,CT
USGS-01124151,"QUINEBAUG RIVER AT WEST THOMPSON, CT",Stream,38,52.9,23.7,41.12105263157895,2003,2006,41.9435667,-71.8995972,CT
USGS-01125100,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",Stream,134,85.7,27,48.938059701492534,2000,2017,41.9784639,-71.900513900000007,CT
USGS-01125500,"QUINEBAUG RIVER AT PUTNAM, CT",Stream,15,57.6,21.9,37.693333333333335,2000,2007,41.909475,-71.9138639,CT
USGS-01125520,QUINEBAUG RIVER AT COTTON BRIDGE ROAD NR POMFRET,Stream,135,107,16.8,47.54074074074074,2000,2017,41.8584315,-71.9239617,CT
USGS-01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT",Stream,134,49.8,12.6,27.330597014925374,2000,2017,41.5974917,-71.9840944,CT
USGS-01127500,"YANTIC RIVER AT YANTIC, CT",Stream,29,22.3,6.68,15.710344827586207,2007,2011,41.5587094,-72.1214666,CT
USGS-011277695,Jordan Brook abv Waterford Pky North nr Waterford,Stream,17,50.7,29.8,40.576470588235296,2008,2010,41.3683333,-72.1508333,CT
USGS-011277696,Jordan Brk blw Waterford Pky South nr Waterford,Stream,17,52.4,32.9,40.72941176470588,2008,2010,41.3641667,-72.1486111,CT
USGS-011277905,"LATIMER BROOK NR I-95N EXIT 75 NR FLANDERS, CT",Stream,3,17.1,16.6,16.8,2009,2010,41.3686111,-72.2022222,CT
USGS-0112779135,Oil Mill Brook nr Oil Mill Rd nr Flanders CT,Stream,19,33.1,12.9,16.46842105263158,2008,2010,41.3763889,-72.1905556,CT
USGS-011277914,"Oil Mill Brook at Gurley Rd nr East Lyme, CT",Stream,43,98.5,13.1,25.490697674418605,2008,2011,41.3733333,-72.1913889,CT
USGS-0112779155,Stony Brook abv Waterford Pky North at Oswegatchie,Stream,18,46.9,12.8,27.28333333333333,2008,2010,41.3705556,-72.1733333,CT
