MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21DELAWQ_WQX-101021,Naaman Creek @ State Line near Hickman Rd.,Stream,145,405,1,69.06896551724138,1999,2018,39.817339,-75.445957,DE
21DELAWQ_WQX-101031,Naaman Creek S. Branch @ Darley Rd. (Rd. 207),Stream,128,612,14,68.0390625,1999,2018,39.808664,-75.457397,DE
21DELAWQ_WQX-101041,Naaman Creek @ RR Crossing in Steel Plant,Stream,69,652,1,73.55072463768116,1999,2009,39.810671,-75.444099,DE
21DELAWQ_WQX-101051,Naaman CreeK  S. Branch @ GlenrocK  Rd.,Stream,11,51,21,36.54545454545455,2004,2011,39.804162,-75.470617,DE
21DELAWQ_WQX-101061,Naaman Creek South Branch @ Marsh Rd. (Rt. 3),Stream,93,350,6,62.903225806451616,2004,2018,39.815128,-75.489766,DE
21DELAWQ_WQX-101071,South Branch at Decatur Rd.,Stream,9,46,25,38.666666666666664,2004,2004,39.821887,-75.496893,DE
21DELAWQ_WQX-101091,Trib. S. Br. Naaman Creek @ Foulk Rd. (Rt. 261),Stream,1,21,21,21,2006,2006,39.823004,-75.502204,DE
21DELAWQ_WQX-101101,Naaman Creek South Branch @ Rt. 495 W,Stream,1,103,103,103,2003,2003,39.809032,-75.453693,DE
21DELAWQ_WQX-101102,Naaman CreeK  South Branch @ Harvey Mill Park,Stream,1,47,47,47,2011,2011,39.819,-75.495433,DE
21DELAWQ_WQX-102011,Shellpot CreeK @ Lea Blvd.,Stream,74,557,30,100.27027027027027,1999,2011,39.753732,-75.51589,DE
21DELAWQ_WQX-102051,Shellpot Creek @ Market St. (Rt. 13 Bus.),Stream,160,1310,5,122.26875,2000,2018,39.763006,-75.516873,DE
21DELAWQ_WQX-102061,Matson Run at Miller Road Bridge,Stream,7,303,68,175.14285714285714,2000,2002,39.771902,-75.529152,DE
21DELAWQ_WQX-102071,Turkey Run at Weldin Road (Rd. 215) Bridge,Stream,6,83,14,37,2000,2002,39.780415,-75.526526,DE
21DELAWQ_WQX-102081,Shellpot Creek @ Carr Rd.,Stream,97,514,17,105.85567010309278,2000,2018,39.778276,-75.507523,DE
21DELAWQ_WQX-102091,Foulk Road (Rt. 261) Bridge,Stream,7,134,17,48.857142857142854,2000,2002,39.795169,-75.527328,DE
21DELAWQ_WQX-102101,Stoney Creek @ Governor Printz Blvd. (Rt. 13),Stream,34,339,45,90.97058823529412,2006,2008,39.77495,-75.48161,DE
21DELAWQ_WQX-102102,Stoney Creek @ Driveway,Stream,1,47,47,47,2006,2006,39.7829,-75.493,DE
21DELAWQ_WQX-102103,Trib Stoney Creek @ Holly Hill Rd.,Stream,1,54,54,54,2003,2003,39.78065,-75.48519,DE
21DELAWQ_WQX-102104,Matson Run @ Lea Blvd.,Stream,1,141,141,141,2006,2006,39.762833,-75.521841,DE
21DELAWQ_WQX-102105,Shellpot  Creek @ 150 m S of Wilson Road,Stream,2,33,30,31.5,2003,2006,39.789203,-75.51696,DE
21DELAWQ_WQX-102106,Trib Shellpot @ Shipley Rd. (Rd. 214),Stream,1,42,42,42,2006,2006,39.798099,-75.533344,DE
21DELAWQ_WQX-102107,Turkey Run N of Rt. 95 @ RR crossing,Stream,1,34,34,34,2011,2011,39.775852,-75.522696,DE
21DELAWQ_WQX-103011,Red Clay Creek @ W. Newport Pike (Rt. 4) (USGS gage 01480015),Stream,181,197,1,51.60220994475138,1999,2018,39.716317,-75.64038,DE
21DELAWQ_WQX-103031,Red Clay Creek @ Lancaster Pike (Rt. 48) (USGS gage 01480000),Stream,351,191,9,52.800569800569804,1999,2018,39.762878,-75.636578,DE
21DELAWQ_WQX-103041,Red Clay Creek @ Barley Mill Rd. (Rd. 258A),Stream,220,172,20,56.90909090909091,1999,2018,39.798165,-75.658087,DE
21DELAWQ_WQX-103051,Red Clay CreeK @ Benge Rd. (Rd. 253) Yorklyn,Stream,1,39,39,39,2006,2006,39.806249,-75.680332,DE
21DELAWQ_WQX-103061,Burroughs Run @ Creek Rd. (Rt. 82),Stream,201,115,13,32.149253731343286,1999,2018,39.798869,-75.648414,DE
21DELAWQ_WQX-103071,Red Clay CreeK @ Snuff Mill Rd. (Rd. 247),Stream,1,33,33,33,2003,2003,39.808327,-75.666843,DE
21DELAWQ_WQX-103081,Burroughs Run @ Old Kennett Rd (Rd. 243),Stream,2,25,23,24,2006,2006,39.818006,-75.642928,DE
21DELAWQ_WQX-103091,Hyde Run @ McKennans Church Rd. (Rd. 276),Stream,1,70,70,70,2006,2006,39.7603,-75.6622,DE
21DELAWQ_WQX-103101,"Red Clay Creek @ S of Rt. 82, S of Ashland",Stream,1,31,31,31,2003,2003,39.80062,-75.6548,DE
21DELAWQ_WQX-103102,Hyde Run @ Brandywine Spring Park,Stream,1,63,63,63,2011,2011,39.744097,-75.638205,DE
21DELAWQ_WQX-103103,Red Clay CreeK  S of Burrows Run Confl.,Stream,1,45,45,45,2011,2011,39.797866,-75.647652,DE
21DELAWQ_WQX-103104,Calf Run off Weer Circle,Stream,1,52,52,52,2011,2011,39.724531,-75.650359,DE
21DELAWQ_WQX-103105,Red Clay CreeK  below falls @ Hoopes Reservoir,Stream,1,43,43,43,2011,2011,39.770861,-75.636929,DE
21DELAWQ_WQX-103106,Trib Red Clay CreeK  50m N of Does Lane,Stream,1,48,48,48,2011,2011,39.803494,-75.637432,DE
21DELAWQ_WQX-104011,Brandywine Creek @ Foot Bridge in Brandywine Park,Stream,181,196,14,48.73480662983425,1999,2018,39.76004,-75.556093,DE
21DELAWQ_WQX-104021,Brandywine Creek @ New Bridge Rd. (Rd. 279) (USGS gage 01481500),Stream,272,711,11,53.23529411764706,1999,2018,39.769832,-75.578844,DE
21DELAWQ_WQX-104051,Brandywine Creek @ Smith Bridge Rd. (Rd. 221),Stream,204,257,17,54.838235294117645,1999,2018,39.837734,-75.578859,DE
21DELAWQ_WQX-104101,Husband's Run @ Rockland Rd. (Rd. 232),Stream,2,52,12,32,2003,2006,39.785715,-75.561799,DE
21DELAWQ_WQX-104103,Trib Wilson Run @ Montchanin Rd. (Rt. 100),Stream,2,15,13,14,2003,2006,39.809188,-75.587622,DE
21DELAWQ_WQX-104104,Wilson Run @ BCSP Driveway,Stream,3,62,25,38.333333333333336,2003,2006,39.80108,-75.58286,DE
21DELAWQ_WQX-104105,Wilson Run @ Winterthur,Stream,1,24,24,24,2006,2006,39.806054,-75.604049,DE
21DELAWQ_WQX-104106,Wilson Run @ E. Barn Rd.,Stream,1,32,32,32,2011,2011,39.803766,-75.593601,DE
21DELAWQ_WQX-104107,Rocky Run 200m E of Rt. 202,Stream,1,131,131,131,2011,2011,39.815317,-75.547283,DE
21DELAWQ_WQX-105011,White Clay Creek @ Stanton Christiana Rd. (Old Rt. 7),Stream,56,76,18,33.05357142857143,1999,2008,39.707247,-75.652492,DE
21DELAWQ_WQX-105031,White Clay Creek @ Chambers Rock Rd. (Rd. 329),Stream,223,133,17,38.33183856502242,1999,2018,39.73272,-75.759953,DE
21DELAWQ_WQX-105051,Mill CreeK @ Evanson Rd. (Rd. 285),Stream,1,28,28,28,2006,2006,39.782853,-75.701594,DE
21DELAWQ_WQX-105071,Mill CreeK @ Delaware ParK  Blvd. (Race Track),Stream,68,121,15,42.779411764705884,1999,2009,39.709316,-75.655089,DE
21DELAWQ_WQX-105101,Pike Creek @ Upper Pike Creek Rd. (Rd. 322),Stream,68,73,10,32.0735294117647,1999,2009,39.706934,-75.695371,DE
21DELAWQ_WQX-105131,Middle Run @ Old Possum Park Rd. (Rd. 303),Stream,71,54,14,25.154929577464788,1999,2009,39.696166,-75.719858,DE
21DELAWQ_WQX-105151,White Clay Creek @ Delaware Park Blvd. (USGS gage 014790000),Stream,278,219,2,46.17625899280576,1999,2018,39.698957,-75.675438,DE
21DELAWQ_WQX-105171,White Clay Creek @ McKees Lane,Stream,167,118,18,38.538922155688624,2003,2018,39.68997,-75.73759,DE
21DELAWQ_WQX-105181,Pike CreeK @ Paper Mill Rd. (Rt. 72),Stream,48,71,12,27.833333333333332,2004,2011,39.745895,-75.71724,DE
21DELAWQ_WQX-105191,Hershey Run @ 500 m N of Newport Pike (Rt. 4),Stream,1,56,56,56,2003,2003,39.71923,-75.62604,DE
21DELAWQ_WQX-105201,Hershey Run @ Newport Pike (Rt. 4),Stream,1,15,15,15,2006,2006,39.715366,-75.625906,DE
21DELAWQ_WQX-105202,Middle Run @ Smith Mill Rd. (Rd. 326),Stream,1,16,16,16,2006,2006,39.723809,-75.718724,DE
21DELAWQ_WQX-105203,Mill Creek 180 m N of Park Blvd.,Stream,1,44,44,44,2003,2003,39.71069,-75.65515,DE
21DELAWQ_WQX-105204,Mill Creek @ 400 m SE of Old Capital Trail,Stream,2,35,25,30,2003,2006,39.71233,-75.66255,DE
21DELAWQ_WQX-105205,Mill Creek @ Mill Creek Rd. (Rd. 282) near Woodbridge,Stream,1,34,34,34,2006,2006,39.763158,-75.684001,DE
21DELAWQ_WQX-105206,Mill Creek @ Kirkwood Hwy (Rt. 2),Stream,1,24,24,24,2006,2006,39.720065,-75.665596,DE
21DELAWQ_WQX-105207,Pike Creek @ 175 m N of Old Coach Rd. (Rd. 316),Stream,2,29,25,27,2003,2006,39.71489,-75.69591,DE
21DELAWQ_WQX-105208,Pike Creek @ North Star Rd. (Rd. 295),Stream,1,27,27,27,2006,2006,39.751194,-75.722326,DE
21DELAWQ_WQX-105209,Trib Mill Creek @ Middleton Dr.,Stream,1,36,36,36,2003,2003,39.74478,-75.68458,DE
21DELAWQ_WQX-105210,Trib Mill Creek @ Mill Creek Rd. (Rd. 282) near Stoneridge,Stream,1,16,16,16,2006,2006,39.777518,-75.695037,DE
21DELAWQ_WQX-105211,Trib White Clay @ 400 m NE of Rt. 273,Stream,3,372,77,175.33333333333334,2003,2006,39.68559,-75.70956,DE
21DELAWQ_WQX-105212,Trib White Clay @ Thompson Station Rd. (Rd. 307),Stream,4,82,26,50,2003,2011,39.74567,-75.74869,DE
21DELAWQ_WQX-105213,Trib White Clay @ Thompson Station Rd. (Rd. 53),Stream,3,21,18,20,2003,2011,39.729949,-75.755866,DE
21DELAWQ_WQX-105214,White Clay Creek @ 400 m N of Chambers Rock Rd. (Rd. 329),Stream,1,24,24,24,2003,2003,39.73559,-75.76135,DE
21DELAWQ_WQX-105215,Trib Mill CreeK @ Kirkwood Hgwy. (Rt. 2),Stream,1,61,61,61,2011,2011,39.715355,-75.67358,DE
21DELAWQ_WQX-105216,Middle Run @ Middle Run Natural Area,Stream,1,28,28,28,2011,2011,39.709188,-75.721841,DE
21DELAWQ_WQX-105217,Pike CreeK  175m NW of Granville Rd.,Stream,1,33,33,33,2011,2011,39.741486,-75.713254,DE
21DELAWQ_WQX-105218,Trib White Clay Crk. 300m E of Marrows Rd.,Stream,1,108,108,108,2011,2011,39.670553,-75.724272,DE
21DELAWQ_WQX-105219,Pike CreeK @ W. Green Valley Rd.,Stream,1,43,43,43,2011,2011,39.701709,-75.692839,DE
21DELAWQ_WQX-105220,White Clay CreeK @ Deerfield Golf Club,Stream,1,41,41,41,2011,2011,39.718722,-75.761403,DE
21DELAWQ_WQX-105221,"Trib Mill CreeK @ RR crossing, Hockesin",Stream,1,53,53,53,2011,2011,39.786569,-75.699704,DE
21DELAWQ_WQX-105222,Hershey Run 380m N of Newport Pike (Rt. 4),Stream,1,81,81,81,2011,2011,39.718074,-75.625777,DE
21DELAWQ_WQX-105223,Mill CreeK @ Delcastle Recreation Area,Stream,1,48,48,48,2011,2011,39.746394,-75.677573,DE
21DELAWQ_WQX-105224,Middle Run 230m N of Old Possum ParK  Rd. (Rd. 303),Stream,1,27,27,27,2011,2011,39.69794,-75.719417000000007,DE
21DELAWQ_WQX-106031,Smalleys Dam Spillway @ Smalleys Dam Rd.,Stream,271,640,14,76.49557195571956,1999,2018,39.655652,-75.669098,DE
21DELAWQ_WQX-106141,Christina River @ Sunset Lake Rd. (Rt. 72) (USGS gage 01478000),Stream,290,406,11,65.84137931034483,1999,2018,39.637456,-75.72848,DE
