MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21IOWA_WQX-10030001,Upper Iowa River near Dorchester,Stream,162,22,7.7,15.414197530864197,2001,2017,43.421498,-91.508917,IA
21IOWA_WQX-10030002,Yellow River near Volney,Stream,176,84,7,23.324431818181818,2001,2017,43.111779,-91.264921,IA
21IOWA_WQX-10040001,Chariton River near Centerville,Stream,125,20,3.1,7.5232,2001,2012,40.790417,-92.857996,IA
21IOWA_WQX-10040002,Chariton River at 461st St.,Stream,35,33,3.9,7.702857142857143,2015,2017,40.810511,-92.882312,IA
21IOWA_WQX-10070001,Beaver Creek near Cedar Falls,Stream,160,29,12,18.61875,2001,2017,42.57317,-92.506701,IA
21IOWA_WQX-10070002,Wolf Creek at La Porte City,Stream,159,64,8.6,20.450314465408805,2001,2017,42.315748,-92.193798,IA
21IOWA_WQX-10070003,West Fork Cedar River at Finchford,Stream,162,29,9,17.831481481481482,2001,2017,42.628973,-92.543666,IA
21IOWA_WQX-10070004,Black Hawk Creek at Waterloo,Stream,163,47,15,24.26564417177914,2001,2017,42.469475,-92.413605,IA
21IOWA_WQX-10070005,Cedar River Upstream of Waterloo/Cedar Falls (US1),Stream,128,39,11,22.9796875,2001,2012,42.539173,-92.449694,IA
21IOWA_WQX-10070006,Cedar River Downstream of Waterloo (DS1),Stream,128,170,12,28.29296875,2001,2012,42.415717,-92.218906,IA
21IOWA_WQX-10090001,Cedar River near Janesville,Stream,163,57,5.1,25.241717791411045,2001,2017,42.649586,-92.46655,IA
21IOWA_WQX-10100001,Wapsipinicon River near Independence (US1),Stream,163,51,5.3,22.123312883435585,2001,2017,42.512157,-91.974035,IA
21IOWA_WQX-10100002,Wapsipinicon River Downstream of Independence (DS1),Stream,41,48,18,26.609756097560975,2003,2006,42.450701,-91.861145,IA
21IOWA_WQX-10120001,Shell Rock River at Shell Rock,Stream,163,54,8.2,25.220245398773006,2001,2017,42.711543,-92.581429,IA
21IOWA_WQX-10160001,Cedar River at Cedar Bluff,Stream,65,94,18,39.36923076923077,2001,2006,41.788029,-91.31257,IA
21IOWA_WQX-10170002,Winnebago River Upstream of Mason City (US1),Stream,128,46,6.9,22.1984375,2001,2012,43.192887,-93.210464,IA
21IOWA_WQX-10170003,Winnebago River Downstream of Mason City (DS1),Stream,128,110,7.4,38.85234375,2001,2012,43.125635,-93.123303,IA
21IOWA_WQX-10180001,Little Sioux River near Larrabee,Stream,159,59,12,24.59748427672956,2001,2017,42.864743,-95.463593,IA
21IOWA_WQX-10210001,Ocheyedan River near Spencer (US2),Stream,126,95,11.2,29.565079365079367,2001,2012,43.128082,-95.210559,IA
21IOWA_WQX-10210002,Little Sioux Upstream of Spencer (US1),Stream,127,51,9.8,27.283464566929133,2001,2012,43.184319,-95.191569,IA
21IOWA_WQX-10210003,Little Sioux River Downstream of Spencer (DS1),Stream,127,89,12,31.31968503937008,2001,2012,43.133732,-95.112239,IA
21IOWA_WQX-10220001,Turkey River near Garber,Stream,159,27,4.8,17.437735849056605,2001,2017,42.739547,-91.261976,IA
21IOWA_WQX-10220002,Volga River near Elkport,Stream,159,22,2.2,13.062893081761006,2001,2017,42.749729,-91.27678,IA
21IOWA_WQX-10220003,Bloody Run Creek Site #1 (BR01),Stream,517,31,2,11.484139264990329,1994,2017,43.040499,-91.20555,IA
21IOWA_WQX-10250001,South Raccoon River near Redfield,Stream,163,32,4.9,16.60122699386503,2001,2017,41.57974,-94.182917,IA
21IOWA_WQX-10250002,Raccoon River Upstream of Des Moines (US2),Stream,128,49,7.7,23.58671875,2001,2012,41.534349,-93.95012,IA
21IOWA_WQX-10270001,Thompson Fork - Grand River at Davis City,Stream,163,25,3,10.391411042944785,2001,2017,40.640671,-93.80787,IA
21IOWA_WQX-10300001,Little Sioux River near Milford,Stream,159,61,8.2,23.59874213836478,2001,2017,43.318912,-95.181331,IA
21IOWA_WQX-10340001,Cedar River near Charles City (DS1),Stream,162,51,5.7,27.803703703703704,2001,2017,43.006027,-92.602611,IA
21IOWA_WQX-10340002,Flood Creek at Greene,Stream,35,22,3.6,14.868571428571428,2001,2006,42.907319,-92.720791,IA
21IOWA_WQX-10340003,Cedar River Upstream of Charles City (US1),Stream,41,39,3.7,26.23658536585366,2003,2006,43.131703,-92.73542,IA
21IOWA_WQX-10360001,East Nishnabotna River near Shenandoah (US1),Stream,162,51,7.4,14.198148148148148,2001,2017,40.785673,-95.384891,IA
21IOWA_WQX-10360002,East Nishnabotna River Downstream of Shenandoah (DS1),Stream,41,24,8.8,15.702439024390245,2003,2006,40.743533,-95.479774,IA
21IOWA_WQX-10360003,Nishnabotna River near Hamburg,Stream,56,18,9.8,12.692857142857143,2010,2017,40.601744,-95.645621,IA
21IOWA_WQX-10370001,North Raccoon River near Jefferson,Stream,70,57,6.8,31.197142857142858,2001,2006,42.011914,-94.428801000000007,IA
21IOWA_WQX-10400001,Boone River near Stratford,Stream,163,57,7,25.45889570552147,2001,2017,42.341042,-93.89227,IA
21IOWA_WQX-10420001,Iowa River near Gifford,Stream,159,42,6.3,20.7062893081761,2001,2017,42.310213,-93.075681,IA
21IOWA_WQX-10430001,Boyer River near Missouri Valley,Stream,162,56,7.8,21.92962962962963,2001,2017,41.573127,-95.845229,IA
21IOWA_WQX-10430002,Soldier River near Pisgah,Stream,162,30,7.4,14.817283950617284,2001,2017,41.830583,-95.931564,IA
21IOWA_WQX-10440001,Cedar Creek near Oakland Mills,Stream,162,81,3.2,28.7179012345679,2001,2017,40.925394,-91.673702,IA
21IOWA_WQX-10460001,West Fork Des Moines River near Humboldt,Stream,162,72,12,31.36604938271605,2001,2017,42.674371,-94.207142,IA
21IOWA_WQX-10490001,North Fork Maquoketa River near Hurstville,Stream,158,35,12,18.727848101265824,2001,2017,42.090178,-90.672122,IA
21IOWA_WQX-10490002,Maquoketa River at Maquoketa,Stream,102,24,8.5,15.612745098039216,2001,2012,42.07572,-90.682461,IA
21IOWA_WQX-10490003,Maquoketa River near Maquoketa,Stream,21,24,15,16.523809523809526,2010,2012,42.083865,-90.632534,IA
21IOWA_WQX-10490004,Maquoketa River west of Maquoketa,Stream,35,28,14,18.82857142857143,2015,2017,42.070737,-90.695404,IA
21IOWA_WQX-10490005,Maquoketa River at Spragueville,Stream,33,25,16,19.242424242424242,2015,2017,42.1014,-90.51782,IA
21IOWA_WQX-10500001,Indian Creek near Colfax,Stream,162,80,2.2,24.830864197530865,2001,2017,41.746157,-93.226094,IA
21IOWA_WQX-10520001,Old Mans Creek nr Iowa City,Stream,162,82,7.8,26.68395061728395,2001,2017,41.606526,-91.615628,IA
21IOWA_WQX-10520002,Iowa River Upstream of Iowa City (US1),Stream,128,34,8.2,18.1234375,2001,2012,41.693666,-91.546747,IA
21IOWA_WQX-10520003,Iowa River Downstream of Iowa City (DS1),Stream,128,76,8.8,25.90703125,2001,2012,41.554759,-91.518767,IA
21IOWA_WQX-10530001,Wapsipinicon River near Olin,Stream,69,34,9.9,22.27391304347826,2001,2006,42.008786,-91.139223,IA
21IOWA_WQX-10540001,North Skunk River,Stream,163,82,4.1,22.37239263803681,2001,2017,41.283753,-92.257395,IA
21IOWA_WQX-10550001,East Fork of The Des Moines River near St. Joseph,Stream,162,100,12,34.03950617283951,2001,2017,42.951386,-94.233404,IA
21IOWA_WQX-10560002,Skunk River near Augusta,Stream,56,38,8.7,21.133928571428573,2010,2017,40.7534,-91.27559,IA
21IOWA_WQX-10570001,Cedar River Downstream of Cedar Rapids (DS1),Stream,163,96,12,32.538650306748465,2001,2017,41.925742,-91.550586,IA
21IOWA_WQX-10570002,Cedar River Upstream of Cedar Rapids (US1),Stream,128,47,4,24.871875,2001,2012,42.069178,-91.784904,IA
21IOWA_WQX-10580001,Iowa River at Columbus Junction,Stream,67,63,10,28.83582089552239,2001,2006,41.278765,-91.345506,IA
21IOWA_WQX-10580002,Iowa River near Lone Tree,Stream,96,60,8.3,23.2,2006,2017,41.423865,-91.47909,IA
21IOWA_WQX-10580003,Iowa River near Wapello,Stream,56,43,15,27.25,2010,2017,41.180331,-91.182147,IA
21IOWA_WQX-10620001,South Skunk River near Oskaloosa,Stream,163,54,3.4,24.948466257668713,2001,2017,41.355257,-92.657145,IA
21IOWA_WQX-10630001,Whitebreast Creek near Knoxville,Stream,92,120,2.4,29.17717391304348,2001,2010,41.302575,-93.171485,IA
21IOWA_WQX-10630002,Cedar Creek near Bussey,Stream,163,27,2,9.294478527607362,2001,2017,41.21907,-92.907905,IA
21IOWA_WQX-10630003,Whitebreast Creek near Dallas,Stream,67,92,6.1,25.274626865671642,2010,2017,41.246687,-93.290114,IA
21IOWA_WQX-10640002,Iowa River Downstream of Marshalltown (DS1),Stream,162,51,8,20.714197530864197,2001,2017,42.050799,-92.846577,IA
21IOWA_WQX-10640003,Iowa River Upstream of Marshalltown (US1),Stream,128,31,7.9,18.42109375,2001,2012,42.091729,-93.000413,IA
21IOWA_WQX-10650001,West Nishnabotna River near Malvern,Stream,161,35,5.9,16.70062111801242,2001,2017,40.987277,-95.527908,IA
21IOWA_WQX-10670002,Maple River near Mapleton,Stream,162,60,8.9,19.038888888888888,2001,2017,42.171425,-95.796137,IA
21IOWA_WQX-10670003,Little Sioux River near Turin,Stream,56,28,11,19.839285714285715,2010,2017,41.965082,-95.972877,IA
