MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
EMAP_GRE-GRE06604-1004,Mississippi: Lower Impounded,Stream,1,25.5209,25.5209,25.5209,2006,2006,41.20779,-91.07296,IL
EMAP_GRE-GRE06604-1007,Mississippi: Upper Impounded,Stream,1,20.722,20.722,20.722,2006,2006,42.20411,-90.34471,IL
EMAP_GRE-GRE06604-1011,Mississippi: Upper Impounded,Stream,1,19.9458,19.9458,19.9458,2006,2006,42.00646,-90.1381,IL
EMAP_GRE-GRE06604-1012,Mississippi: Unimpounded,Stream,1,30.0134,30.0134,30.0134,2006,2006,37.02626,-89.34697,IL
EMAP_GRE-GRE06604-1014,Mississippi: Lower Impounded,Stream,1,29.3063,29.3063,29.3063,2006,2006,39.01562,-90.69183,IL
EMAP_GRE-GRE06604-1015,Mississippi: Lower Impounded,Stream,1,24.7076,24.7076,24.7076,2006,2006,40.16893,-91.51139,IL
EMAP_GRE-GRE06604-1019,Mississippi: Lower Impounded,Stream,1,28.4542,28.4542,28.4542,2006,2006,39.13656,-90.6989,IL
EMAP_GRE-GRE06604-1023,Mississippi: Upper Impounded,Stream,1,20.1955,20.1955,20.1955,2006,2006,42.20959,-90.36218,IL
EMAP_GRE-GRE06604-1028,Mississippi: Unimpounded,Stream,1,33.2247,33.2247,33.2247,2006,2006,37.17176,-89.44502,IL
EMAP_GRE-GRE06604-1031,Mississippi: Lower Impounded,Stream,1,32.1139,32.1139,32.1139,2006,2006,40.21992,-91.49775,IL
EMAP_GRE-GRE06604-1032,Mississippi: Unimpounded,Stream,1,31.9035,31.9035,31.9035,2006,2006,37.70864,-89.56935,IL
EMAP_GRE-GRE06604-1035,Mississippi: Upper Impounded,Stream,1,19.1296,19.1296,19.1296,2006,2006,42.40498,-90.52095,IL
EMAP_GRE-GRE06604-1043,Mississippi: Lower Impounded,Stream,1,28.9711,28.9711,28.9711,2006,2006,39.55095,-91.13418,IL
EMAP_GRE-GRE06604-1044,Mississippi: Unimpounded,Stream,1,31.7884,31.7884,31.7884,2006,2006,37.00889,-89.26047,IL
