MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-INDU_01,Long Lake,Lake,15,97.5,19.2,36.25333333333333,2006,2012,41.61528,-87.21214,IN
11NPSWRD_WQX-INDU_02,Lake George,Lake,4,81.4,32.6,63.625,2006,2006,41.52592,-87.27861,IN
11NPSWRD_WQX-INDU_04,Little Calumet River (East Arm),Stream,2,49.9,48.2,49.05,2008,2009,41.62246049,-87.09460448,IN
11NPSWRD_WQX-INDU_05,Middle Lagoon,Lake,17,100,70,87.25882352941177,2008,2017,41.61525602,-87.2727514,IN
21IND_WQX-10892,WLV030-0040,Stream,1,26,26,26,2005,2005,40.3191666666,-86.9752777777,IN
21IND_WQX-10907,WMI040-0023,Stream,2,192,110,151,2005,2005,40.4220694444,-85.35105,IN
21IND_WQX-10908,WMI040-0024,Stream,2,60.7,47,53.85,2005,2005,40.4357722222,-85.3837194444,IN
21IND_WQX-10911,WMI040-0026,Stream,2,130,120,125,2005,2005,40.43595,-85.3807138888,IN
21IND_WQX-10912,WMI040-0027,Stream,2,210,84,147,2005,2005,40.40715,-85.4014138888,IN
21IND_WQX-10913,WMI040-0028,Stream,2,120,120,120,2005,2005,40.4504194444,-85.3547527777,IN
21IND_WQX-10942,WWU130-0047,Stream,1,40,40,40,2006,2006,39.76559015,-86.17323808,IN
21IND_WQX-10943,WWL100-0021,Stream,1,19,19,19,2006,2006,38.44770635,-87.66822426,IN
21IND_WQX-10947,WWL090-0030,Stream,1,27,27,27,2006,2006,38.5595569,-87.23887313,IN
21IND_WQX-10952,WWL050-0036,Stream,1,34,34,34,2006,2006,38.9213891,-87.08305013,IN
21IND_WQX-10956,WWE090-0043,Stream,1,16,16,16,2006,2006,39.20793697,-87.147341,IN
21IND_WQX-10961,WWU160-0039,Stream,2,48,48,48,2006,2006,39.42391466,-86.46323139,IN
21IND_WQX-10975,WWL100-0023,Stream,1,24,24,24,2006,2006,38.53959992,-87.38963061,IN
21IND_WQX-10977,WWU140-0038,Stream,1,54,54,54,2006,2006,39.50245165,-86.34842039,IN
21IND_WQX-10985,WWL020-0057,Stream,1,40,40,40,2006,2006,39.33839328,-86.70875859,IN
21IND_WQX-10991,WWL070-0007,Stream,1,28,28,28,2006,2006,38.69542138,-87.27502685,IN
21IND_WQX-11034,WPA040-0038,Stream,1,17.8,17.8,17.8,2006,2006,38.41784511,-87.00215186,IN
21IND_WQX-11037,WPA040-0039,Stream,1,7.78,7.78,7.78,2006,2006,38.34418477,-86.99659561,IN
21IND_WQX-11048,WPA080-0042,Stream,1,13.3,13.3,13.3,2006,2006,38.39878553,-87.71170489,IN
21IND_WQX-11062,WPA020-0051,Stream,1,7.56,7.56,7.56,2006,2006,38.43846651,-86.80668874,IN
21IND_WQX-11064,WPA080-0045,Stream,1,9.67,9.67,9.67,2006,2006,38.39746613,-87.60202326,IN
21IND_WQX-11074,WPA020-0052,Stream,1,3.5,3.5,3.5,2006,2006,38.42824846,-86.8703491,IN
21IND_WQX-11077,WPA050-0014,Stream,1,16.5,16.5,16.5,2006,2006,38.40404053,-87.07656974,IN
21IND_WQX-11080,WPA080-0047,Stream,1,8.08,8.08,8.08,2006,2006,38.39267635,-87.54823388,IN
21IND_WQX-11081,WPA040-0047,Stream,1,9.2,9.2,9.2,2006,2006,38.36619678,-87.04024663,IN
21IND_WQX-11085,WPA040-0049,Stream,1,7.85,7.85,7.85,2006,2006,38.3354826,-86.9901383,IN
21IND_WQX-11088,WPA060-0044,Stream,2,8.85,8.8,8.825,2006,2006,38.38345608,-87.26894068,IN
21IND_WQX-11094,WPA020-0056,Stream,1,2.89,2.89,2.89,2006,2006,38.47055028,-86.76182094,IN
21IND_WQX-11106,WPA020-0057,Stream,1,3.57,3.57,3.57,2006,2006,38.43968543,-86.87936188,IN
21IND_WQX-11110,WPA020-0058,Stream,1,2.68,2.68,2.68,2006,2006,38.4722046,-86.77734737,IN
21IND_WQX-11111,WPA010-0049,Stream,1,3.33,3.33,3.33,2006,2006,38.42658974,-86.44613383,IN
21IND_WQX-11343,GMW080-0038,Stream,1,18,18,18,2007,2007,39.37881319,-84.8373356,IN
21IND_WQX-11423,WEL170-0021,Stream,1,13,13,13,2007,2007,38.52217625,-86.97444882,IN
21IND_WQX-11458,WEL110-0017,Stream,1,8,8,8,2007,2007,38.79741974,-86.70419597,IN
21IND_WQX-11845,WEM020-0018,Stream,1,25,25,25,2007,2007,39.0603527777,-85.3441083333,IN
21IND_WQX-11994,LMJ110-0086,Stream,6,1870,499,1246,2007,2007,41.6279194444,-84.9844527777,IN
21IND_WQX-11995,LMJ110-0087,Stream,5,139,22.4,76.74,2007,2007,41.6312694444,-84.9828333333,IN
21IND_WQX-11997,LMJ110-0088,Stream,5,51.8,18,42.86,2007,2007,41.6282111111,-84.9785194444,IN
21IND_WQX-12019,LMJ110-0089,Lake,4,663,417,557.5,2007,2007,41.6010472222,-84.9780611111,IN
21IND_WQX-12708,LMJ110-0099,Stream,4,41.6,8.38,22.895,2007,2007,41.6044472222,-84.9423,IN
21IND_WQX-12709,LMJ110-0100,Stream,4,23.2,20.3,21.3,2007,2007,41.6208527777,-84.9304416666,IN
21IND_WQX-12710,LMJ110-0101,Stream,5,19.7,18.9,19.22,2007,2007,41.6318972222,-84.9375,IN
21IND_WQX-12712,LMJ110-0102,Stream,4,16.4,16,16.175,2007,2007,41.6364027777,-84.9253,IN
21IND_WQX-12713,LMJ110-0103,Stream,4,20,18.8,19.25,2007,2007,41.6470861111,-84.9276722222,IN
21IND_WQX-13510,WWU040-0038,Stream,6,71,45,55.666666666666664,2009,2010,40.1421111111,-85.8549166666,IN
21IND_WQX-13614,WTI050-0036,Stream,5,35,14,26.6,2009,2010,41.1047222222,-86.2802777777,IN
21IND_WQX-13665,LMG020-0055,Stream,1,52,52,52,2009,2009,41.6075555555,-87.3219388888,IN
21IND_WQX-13666,LMG020-0056,Stream,1,38,38,38,2009,2009,41.6075999999,-87.3297416666,IN
21IND_WQX-1904,LMG020-0014,Stream,6,90,48,78.83333333333333,2008,2010,41.6619444444,-87.5247222222,IN
21IND_WQX-1907,UMC030-0004,Stream,6,205,63,125.33333333333333,2008,2010,41.5777777777,-87.5222222222,IN
21IND_WQX-1910,UMC050-0002,Stream,6,335,152,216,2008,2010,41.6244444444,-87.5177777777,IN
21IND_WQX-1911,LMG020-0011,Stream,7,65,43,54.285714285714285,2008,2010,41.6141666666,-87.4616666666,IN
21IND_WQX-1912,LMG020-0012,Stream,7,35,27,30.857142857142858,2008,2010,41.6088888888,-87.3719444444,IN
21IND_WQX-1914,LMM010-0002,Lake,3,25,10,20,2009,2010,41.6630555555,-87.0636111111,IN
21IND_WQX-1915,LMG060-0005,Stream,7,136,56,75.14285714285714,2008,2010,41.6125,-87.1738888888,IN
21IND_WQX-1916,LMG040-0003,Stream,7,198,99,144.57142857142858,2008,2010,41.6025,-87.1930555555,IN
21IND_WQX-1918,LMG060-0007,Stream,7,160,57,92.85714285714286,2008,2010,41.6183333333,-87.1763888888,IN
21IND_WQX-1920,LMG050-0006,Stream,7,180,72,99,2008,2010,41.5997222222,-87.1463888888,IN
21IND_WQX-1921,LMG050-0007,Stream,7,171,77,106.71428571428571,2008,2010,41.4986111111,-87.1416666666,IN
21IND_WQX-1922,LMG060-0008,Stream,7,148,44,74.42857142857143,2008,2010,41.6169444444,-87.1261111111,IN
21IND_WQX-1924,LMG070-0005,Stream,10,145,54,74.6,2008,2010,41.7225,-86.8758333333,IN
21IND_WQX-1926,LMG070-0007,Stream,8,161,55,85.25,2008,2010,41.7227777777,-86.9044444444,IN
21IND_WQX-1927,LMG070-0008,Stream,9,153,66,100.77777777777777,2008,2010,41.7216666666,-86.8969444444,IN
21IND_WQX-1928,LEJ050-0006,Stream,6,29,15,20.666666666666668,2008,2010,41.5586111111,-84.8355555555,IN
21IND_WQX-1935,LMJ150-0004,Stream,8,31,14,24.75,2009,2010,41.7227777777,-85.8147222222,IN
21IND_WQX-1936,LMJ190-0006,Stream,7,32,17,25.142857142857142,2008,2010,41.5077777777,-85.7594444444,IN
21IND_WQX-1937,LMJ210-0008,Stream,6,40,20,31.5,2009,2010,41.6877777777,-85.9722222222,IN
21IND_WQX-1938,LMJ120-0009,Stream,6,28,18,22.833333333333332,2008,2010,41.74,-85.5569444444,IN
21IND_WQX-1951,UMK080-0001,Stream,6,28,19,24.5,2008,2010,41.2200109108,-86.9690799708,IN
21IND_WQX-1952,UMK090-0001,Stream,8,29,19,25,2008,2010,41.2820416902,-87.0257339772,IN
21IND_WQX-1953,UMK130-0001,Stream,9,70,35,56.111111111111114,2008,2010,41.2120653722,-87.4484690694,IN
21IND_WQX-1986,UMK110-0002,Stream,9,33,20,26,2008,2010,41.1826965713,-87.3405823316,IN
21IND_WQX-1987,UMI050-0006,Stream,5,32,27,29.4,2008,2010,40.8201435994,-87.4640272541,IN
21IND_WQX-1991,UMK060-0001,Stream,7,35,14,27,2008,2010,41.3022884202,-86.6015363049,IN
21IND_WQX-2002,LEM010-0012,Stream,7,66,16,39.285714285714285,2008,2010,41.0819444444,-85.1147222222,IN
21IND_WQX-2003,LEM010-0013,Stream,6,85,18,44.333333333333336,2008,2010,41.1697222222,-84.8491666666,IN
21IND_WQX-2004,LEM010-0014,Stream,7,112,18,51.285714285714285,2008,2010,41.0844444444,-85.0205555555,IN
21IND_WQX-2005,LEJ050-0007,Stream,4,21,13,17.25,2008,2010,41.465,-84.8141666666,IN
21IND_WQX-2006,LEJ060-0006,Stream,9,28,18,25,2008,2010,41.3475,-84.8438888888,IN
21IND_WQX-2007,LEJ100-0002,Stream,5,34,14,24.8,2009,2010,41.1675,-85.0747222222,IN
21IND_WQX-2008,LES060-0004,Stream,3,34,26,28.666666666666668,2009,2010,41.0838888888,-85.1358333333,IN
21IND_WQX-2009,LEJ100-0003,Stream,3,21,12,17.333333333333332,2009,2010,41.0891666666,-85.1291666666,IN
21IND_WQX-2010,LES060-0005,Stream,4,58,24,36,2008,2010,40.9911111111,-85.1169444444,IN
21IND_WQX-2011,LES040-0007,Stream,5,67,28,48.6,2008,2010,40.7791666666,-84.8422222222,IN
21IND_WQX-2012,WLV040-0003,Stream,6,32,14,23.166666666666668,2008,2010,40.4523536822,-87.2544473805,IN
21IND_WQX-2046,WAW040-0001,Stream,7,57,22,40.857142857142854,2008,2010,40.3150497861,-86.5437254133,IN
21IND_WQX-2078,WAW010-0063,Stream,4,39,25,31.75,2009,2010,40.4861111111,-86.1075,IN
21IND_WQX-2080,WAW020-0004,Stream,6,161,41,81.66666666666667,2009,2010,40.4736111111,-86.1841666666,IN
21IND_WQX-2116,WAW020-0039,Stream,8,91,32,45.5,2008,2010,40.4817865727,-86.5300983027,IN
21IND_WQX-2145,WAW040-0021,Stream,3,50,35,42,2009,2009,40.3179114913,-86.5992063799,IN
21IND_WQX-2167,WAW040-0043,Stream,2,30,30,30,2009,2009,40.4180638522,-86.7680618472,IN
21IND_WQX-2220,WMI060-0004,Stream,5,52,31,43.8,2009,2010,40.6280555555,-85.7358333333,IN
21IND_WQX-2221,WMI060-0005,Stream,5,63,31,46.6,2009,2010,40.5761111111,-85.6597222222,IN
21IND_WQX-2230,WPA040-0003,Stream,4,23,5,10.55,2009,2010,38.3297222222,-86.9663888888,IN
21IND_WQX-2231,WTI110-0001,Stream,4,18,11,14.75,2008,2010,40.8690763588,-86.7790767197,IN
21IND_WQX-2233,WTI080-0001,Stream,5,26,12,21.8,2008,2010,41.0065219897,-86.6029071616,IN
21IND_WQX-2235,WTI150-0011,Stream,7,26,13,21.142857142857142,2008,2010,40.5938228391,-86.7707085644,IN
21IND_WQX-2238,WTI050-0009,Stream,1,23,23,23,2008,2008,41.0941666666,-86.2402777777,IN
21IND_WQX-2240,WTI030-0001,Stream,9,41,27,33.77777777777778,2008,2010,41.2438888888,-85.9775,IN
21IND_WQX-2243,WAE070-0011,Stream,7,30,16,22.714285714285715,2008,2010,40.7823259597,-86.2644972749,IN
21IND_WQX-2244,WAE050-0001,Stream,6,30,17,23.5,2008,2010,40.9479223938,-85.8907552372,IN
21IND_WQX-2246,WMI060-0006,Stream,7,36,18,28,2008,2010,40.7493680355,-86.0120577955,IN
21IND_WQX-2250,WSA040-0001,Stream,7,30,16,21.571428571428573,2008,2010,40.8296611755,-85.7187343608,IN
21IND_WQX-2253,WUW160-0006,Stream,7,55,20,31.142857142857142,2008,2010,40.7427615905,-86.0962171,IN
21IND_WQX-2254,WUW140-0001,Stream,7,64,29,47.714285714285715,2008,2010,40.8688888888,-85.6019444444,IN
21IND_WQX-2255,WUW090-0001,Stream,7,58,26,43.857142857142854,2008,2010,40.8583333333,-85.5075,IN
21IND_WQX-2257,WAE040-0002,Stream,8,50,30,38.25,2008,2010,41.0827777777,-85.6275,IN
21IND_WQX-2259,WUW120-0002,Stream,7,75,45,60.57142857142857,2008,2010,40.8986111111,-85.4133333333,IN
21IND_WQX-2263,WUW070-0002,Stream,7,74,42,57.714285714285715,2008,2010,40.8194444444,-85.3425,IN
21IND_WQX-2267,WSA010-0002,Stream,3,86,33,66,2008,2010,40.4275,-85.0388888888,IN
21IND_WQX-2270,WSA020-0002,Stream,6,64,33,50.833333333333336,2008,2010,40.5591666666,-85.2786111111,IN
21IND_WQX-2274,WSA040-0005,Stream,3,54,31,40.333333333333336,2009,2010,40.7416666666,-85.5088888888,IN
21IND_WQX-2276,WMI030-0001,Stream,7,46,32,37.857142857142854,2008,2010,40.3438888888,-85.3883333333,IN
21IND_WQX-2277,WTI010-0001,Stream,7,19,17,18.142857142857142,2008,2010,41.3163888888,-85.6922222222,IN
21IND_WQX-2278,WMI020-0002,Stream,7,53,30,43.142857142857146,2008,2010,40.28,-84.9952777777,IN
21IND_WQX-2282,WDE010-0007,Stream,7,42,19,30,2008,2010,40.7363652788,-86.5049115466,IN
21IND_WQX-2284,WDE050-0002,Stream,7,36,20,29,2008,2010,40.5905028649,-86.6213996205,IN
21IND_WQX-2308,WAW030-0022,Stream,8,32,19,27.625,2008,2010,40.4171443722,-86.6636434119,IN
21IND_WQX-2316,WAW050-0005,Stream,7,45,28,34.57142857142857,2008,2010,40.4537797222,-86.8513922222,IN
21IND_WQX-2321,WLV030-0003,Stream,8,54,17,39,2008,2010,40.4118190499,-87.0362366405,IN
21IND_WQX-2323,WLV080-0003,Stream,9,46,26,36,2008,2010,40.2550918186,-87.2996654855,IN
21IND_WQX-2326,WVE100-0001,Stream,7,46,22,33.714285714285715,2008,2010,39.961778573,-87.4508455213,IN
21IND_WQX-2327,WLV140-0001,Stream,7,44,17,32.42857142857143,2008,2010,39.9517925286,-87.4196428863,IN
21IND_WQX-2328,WSU050-0002,Stream,7,53,25,38.714285714285715,2008,2010,40.0500579675,-86.9226862533,IN
21IND_WQX-2331,WSU050-0005,Stream,2,51,36,43.5,2008,2010,39.9464557375,-87.059118163,IN
21IND_WQX-2333,WSU060-0004,Stream,7,43,24,30.714285714285715,2008,2010,39.8549218905,-87.3363604608,IN
21IND_WQX-2334,WSU020-0003,Stream,6,74,26,39.5,2008,2010,40.1433708575,-86.6957987852,IN
21IND_WQX-2336,WLV200-0001,Stream,5,39,24,33.2,2008,2010,39.6576735569,-87.3958208399,IN
21IND_WQX-2337,WLV150-0001,Stream,7,40,19,32,2008,2010,39.7924325766,-87.3741472713,IN
21IND_WQX-2338,WLV160-0001,Stream,7,25,18,22.142857142857142,2008,2010,39.7901002697,-86.95879902,IN
21IND_WQX-2343,WBU160-0002,Stream,9,23,14,18.444444444444443,2008,2010,38.9738888888,-87.4258333333,IN
21IND_WQX-2349,WBU200-0003,Stream,6,37,23,28.5,2008,2010,38.68125,-87.5347222222,IN
21IND_WQX-2362,WPA060-0002,Stream,6,48,7.5,16.516666666666666,2008,2010,38.3825,-87.3333333333,IN
21IND_WQX-2369,WWU150-0007,Stream,7,135,26,83.57142857142857,2008,2010,39.5136111111,-86.3802777777,IN
21IND_WQX-2370,WWU120-0001,Stream,8,127,47,84.375,2008,2010,39.7352794126,-86.1965755118,IN
21IND_WQX-2371,WWU120-0002,Stream,8,72,35,55.75,2008,2010,39.7782507052,-86.2506669798,IN
21IND_WQX-2376,WWU120-0007,Stream,7,113,45,65.71428571428571,2008,2010,39.9102653947,-86.2856747494,IN
21IND_WQX-2378,WWU080-0002,Stream,4,49,31,41.5,2009,2010,40.1744444444,-86.0005555555,IN
21IND_WQX-2384,WUW170-0002,Stream,6,36,21,26,2008,2010,40.7218445686,-86.1987492411,IN
21IND_WQX-2398,WWU030-0003,Stream,5,72,26,44,2009,2010,40.1066666666,-85.6727777777,IN
21IND_WQX-2399,WWU040-0004,Stream,1,77,77,77,2010,2010,40.1422222222,-85.8627777777,IN
21IND_WQX-2401,WWU020-0005,Stream,7,88,27,56.142857142857146,2008,2010,40.1788888888,-85.495,IN
21IND_WQX-2402,WWU010-0001,Stream,5,35,20,28,2009,2010,40.1783333333,-85.3422222222,IN
