MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11113300-01-CNT,RTE 10 BRIDGE,Stream,20,22,5.4,10.2,1990,2015,42.683597,-72.471419,MA
11113300-01-MER,"RTE 113 BRIDGE, MASS",Stream,17,44,9,27.41176470588235,1991,2015,42.675953,-71.421325,MA
11NPSWRD_WQX-NETN_MIMA_29,Elm Brook (Stream B),Stream,11,352.1488800357144,119.25380000000001,209.15716843506493,2012,2017,42.4529333,-71.3042167,MA
11NPSWRD_WQX-NETN_MIMA_30,Mill Brook (Stream A),Stream,11,278.9479420785716,124.14590000000001,202.18218987337664,2012,2017,42.4628,-71.3514167,MA
11NPSWRD_WQX-NETN_MIMA_31,Concord River,Stream,11,270.9946130357144,76.1466,154.04372238116883,2012,2017,42.4690166,-71.3506333,MA
11NPSWRD_WQX-NETN_SAIR_19,Saugus River,Stream,12,361.02620826428426,41.334700000000005,204.53139787797608,2012,2017,42.4693861,-71.0071722,MA
11NPSWRD_WQX-NETN_SAIR_20,Turning Basin,Stream,13,16617.744571428564,64.05815,1692.9550827505489,2012,2017,42.4688833,-71.0077,MA
MA_DEP-W0170,Ten Mile_Ten Mile River_5233625_13.921,Stream,4,65,52,58.5,2002,2002,41.96096,-71.3076,MA
MA_DEP-W0173,Ten Mile_Ten Mile River_5233625_8.737,Stream,2,100,67,83.5,2002,2002,41.91783,-71.3058,MA
MA_DEP-W0175,Ten Mile_Ten Mile River_5233625_6.137,Stream,2,91,64,77.5,2002,2002,41.89609,-71.3258,MA
MA_DEP-W0183,Ten Mile_Sevenmile River_5233675_.417,Stream,2,91,83,87,2002,2002,41.90143,-71.3435,MA
MA_DEP-W0234,Westfield_Powdermill Brook_3208575_5.4,Stream,4,35,19,28,2001,2001,42.16253,-72.7631,MA
MA_DEP-W0337,South Coastal_Green Harbor River_9457275_.7,Stream,5,2500,1100,1900,2001,2001,42.08648,-70.6513,MA
MA_DEP-W0804,Westfield_Great Brook_3208375_.3,Stream,4,25,23,23.75,2001,2001,42.09799,-72.7134,MA
MA_DEP-W0805,Westfield_Powdermill Brook_3208575_.3,Stream,4,51,43,46.75,2001,2001,42.1144,-72.7142,MA
MA_DEP-W0806,Westfield_Block Brook_3208275_1,Stream,8,110,82,94.75,2001,2001,42.11016,-72.6582,MA
MA_DEP-W0807,Westfield_Westfield River_3208250_13.031,Stream,4,25,15,20.25,2001,2001,42.12924,-72.7477,MA
MA_DEP-W0808,Westfield_Little River_3208725_.04,Stream,4,22,19,21.25,2001,2001,42.11665,-72.7337,MA
MA_DEP-W0809,Westfield_Moose Meadow Brook_3209700_2.5,Stream,4,8,7,7.25,2001,2001,42.16062,-72.8064,MA
MA_DEP-W0810,Westfield_Westfield River_3208250_22.111,Stream,8,20,13,16.5,2001,2001,42.19005,-72.8506,MA
MA_DEP-W0812,Westfield_Moose Meadow Brook_3209700_.4,Stream,4,78,31,47.75,2001,2001,42.14153,-72.7889,MA
MA_DEP-W0857,Westfield_Westfield River_3208250_.368,Stream,4,39,18,32,2001,2001,42.08377,-72.5926,MA
MA_DEP-W0876,South Coastal_Aaron River_9456175_2,Stream,4,29,27,28,2001,2001,42.21718,-70.8112,MA
MA_DEP-W0893,South Coastal_Bluefish River_9457600_.8,Stream,4,18000,14000,16875,2001,2001,42.04641,-70.6721,MA
MA_DEP-W0894,South Coastal_Unnamed Tributary_9400000_.3,Stream,4,9200,1200,3625,2001,2001,42.03981,-70.6761,MA
MA_DEP-W0895,South Coastal_Drinkwater River_9456900_1.3,Stream,4,98,73,84.25,2001,2001,42.11233,-70.8793,MA
MA_DEP-W0897,South Coastal_French Stream_9456950_1.1,Stream,4,110,73,98.25,2001,2001,42.10555,-70.8954,MA
MA_DEP-W0898,South Coastal_French Stream_9456950_1.9,Stream,4,61,45,53.25,2001,2001,42.10913,-70.9093,MA
MA_DEP-W0899,South Coastal_French Stream_9456950_4.4,Stream,8,70,41,48.375,2001,2001,42.12848,-70.9341,MA
MA_DEP-W0901,Ten Mile_Bungay River_5233750_.264,Stream,2,78,59,68.5,2002,2002,41.95002,-71.2913,MA
MA_DEP-W0903,Ten Mile_Ten Mile River_5233625_13.661,Stream,2,110,76,93,2002,2002,41.95766,-71.3086,MA
MA_DEP-W0908,South Coastal_Indian Head River_9456800_.6,Stream,4,110,78,89.5,2001,2001,42.09974,-70.8188,MA
MA_DEP-W0910,South Coastal_Iron Mine Brook_9456825_.5,Stream,4,190,110,137.5,2001,2001,42.10541,-70.8201,MA
