MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21DELAWQ_WQX-112031,Gravelly Run @ Stilltown Blanco Rd. (Rd. 93),Stream,78,22,5,15.635897435897435,1998,2008,39.218502,-75.761458,MD
21DELAWQ_WQX-207031,Choptank River @ Sandtown Rd. (MD Rt. 287),Stream,9,25,13,15.777777777777779,2005,2005,39.030882,-75.757904,MD
21DELAWQ_WQX-207171,Tidy Island CreeK @ River Bridge Road (MD),Stream,10,27,8,17.4,2001,2003,39.077236,-75.745702,MD
21DELAWQ_WQX-302061,"Marshyhope Creek @ Bloomery Rd., Md.",Stream,18,20,11,14.833333333333334,2004,2005,38.762544,-75.723009,MD
21DELAWQ_WQX-313061,Pcocomoke River @ Rd. 346,Stream,1,14,14,14,2005,2005,38.388723,-75.323598,MD
21PA_WQX-WQN0263,Octoraro Creek,Stream,170,36.9,0.112,21.246254705882354,2008,2018,39.693600000000004,-76.1247,MD
21PA_WQX-WQN0501,CONOCOCHEAGUE CREEK,Stream,105,36.161,0.08,20.18429523809524,2009,2014,39.7081,-77.8331,MD
21PA_WQX-WQN0509,LICKING CREEK,Stream,100,44.606,0.063,9.16824,2009,2014,39.6775,-78.0364,MD
21PA_WQX-WQN0511,ANTIETAM CREEK,Stream,94,87,0.059,16.4238085106383,2009,2014,39.7164,-77.6078,MD
21PA_WQX-WQN0512,SIDELING HILL CREEK,Stream,87,80.8,0.094,14.272137931034482,2010,2014,39.6494,-78.3439,MD
21PA_WQX-WQN0513,Town Creek,Stream,78,24.469,0.153,7.760089743589743,2008,2014,39.5531,-78.555,MD
42SRBCWQ_WQX-BBDC004.1-3976,BBDC 4.1,Stream,4,14.3,11,13.377500000000001,1998,2011,39.71623,-76.48653,MD
42SRBCWQ_WQX-BROD004.7-3976,BROD 4.7,Stream,1,15,15,15,1985,1985,39.69944444,-76.23805556,MD
42SRBCWQ_WQX-CABB000.1-3976,CABB 0.1,Stream,1,23.9,23.9,23.9,2011,2011,39.620582,-76.333214,MD
42SRBCWQ_WQX-CNWG001.8-3976,CNWG 1.8,Stream,4,21.3,16,18.575,1985,2011,39.7,-76.18972222,MD
42SRBCWQ_WQX-CNWG004.4-3976,CNWG 4.4,Stream,31,23.5,13,18.06838709677419,1986,2013,39.70052,-76.18901,MD
42SRBCWQ_WQX-DEER001.2-3976,DEER 1.2,Stream,4,21,10,15.9,1985,2011,39.6225,-76.165,MD
42SRBCWQ_WQX-DEER030.1-3976,DEER 30.1,Stream,5,24.2,15,19.6,1985,2011,39.675,-76.45166667,MD
42SRBCWQ_WQX-DEER044.2-3976,DEER 44.2,Stream,32,122,12,29.2259375,1986,2013,39.71782,-76.60272,MD
42SRBCWQ_WQX-FBDC004.1-3976,FBDC 4.1,Stream,5,15.5,9,12.77,1994,2013,39.71977,-76.44027778,MD
42SRBCWQ_WQX-OCTO001.0-3976,OCTO 1.0,Stream,6,21.2,11.4,15.683333333333334,1985,2011,39.66111111,-76.14833333,MD
42SRBCWQ_WQX-OCTO006.6-3976,OCTO 6.6,Stream,32,24.3,11,17.06,1986,2013,39.70682,-76.11503,MD
42SRBCWQ_WQX-SUSQ004.8-3976,SUSQ 4.8,Stream,17,21,10,14.058823529411764,1985,1987,39.57111111,-76.09222222,MD
42SRBCWQ_WQX-SUSQ007.0-3976,SUSQ 7A,Stream,3,27.2,22.4,25.5,2012,2012,39.61638889,-76.14944444,MD
42SRBCWQ_WQX-SUSQ007.1-3976,SUSQ 7B,Stream,4,28.6,23,26.675,2012,2012,39.61722222,-76.14722222,MD
42SRBCWQ_WQX-SUSQ007.2-3976,SUSQ 7C,Stream,3,27.7,22.6,25.733333333333334,2012,2012,39.61333333,-76.13194444,MD
42SRBCWQ_WQX-SUSQ010.0-3976,SUSQ 10,Stream,16,31,9.7,19.684375,1996,2011,39.65247,-76.16986,MD
42SRBCWQ_WQX-UNTD000.5-3976,UNTD 0.5,Stream,2,14.6,14.4,14.5,2011,2011,39.620582,-76.333214,MD
CBP_WQX-01493112,Upper Chester River,Stream,9,15.4,4.7,11.311111111111112,2014,2014,39.25706,-75.94014,MD
CBP_WQX-01578310,Rock Run-Susquehanna River,Stream,12,38.1,12.3,22.058333333333334,2014,2014,39.65872,-76.17412,MD
