MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-ISRO_01,Lake Ahmik,Lake,7,1.1,0.7,0.9285714285714286,2008,2013,48.14788,-88.541588,MI
11NPSWRD_WQX-ISRO_02,Sargent Lake,Lake,8,1,0.57,0.87125,2008,2017,48.0912831,-88.6617404,MI
11NPSWRD_WQX-ISRO_03,Lake Richie,Lake,12,1.3,0.68,1.0791666666666666,2007,2017,48.041045,-88.70054,MI
11NPSWRD_WQX-ISRO_04,Beaver Lake,Lake,6,1.1,0.5,0.7166666666666667,2009,2013,48.079967,-88.757348,MI
11NPSWRD_WQX-ISRO_05,Lake Harvey,Lake,4,0.6,0.5,0.525,2009,2013,48.0504249,-88.7961173,MI
11NPSWRD_WQX-ISRO_06,Lake George,Lake,6,2.1,0.5,0.85,2007,2013,48.007795,-88.685202,MI
11NPSWRD_WQX-ISRO_07,Siskiwit Lake,Lake,4,0.6,0.4,0.5,2009,2013,48.0037629,-88.7951845,MI
11NPSWRD_WQX-ISRO_08,Lake Desor,Lake,6,0.8,0.5,0.6216666666666667,2009,2017,47.973154,-88.980581,MI
11NPSWRD_WQX-ISRO_09,Feldtmann Lake,Lake,7,1.3,0.58,0.9971428571428572,2008,2017,47.855124000000004,-89.177375,MI
11NPSWRD_WQX-PIRO_01,Grand Sable Lake,Lake,6,1.1,0.5,0.6666666666666666,2009,2016,46.6492,-86.0326,MI
11NPSWRD_WQX-PIRO_02,Trapper's Lake,Lake,1,0.5,0.5,0.5,2013,2013,46.587293,-86.31504,MI
11NPSWRD_WQX-PIRO_03,Legion Lake,Lake,5,0.4,0.2,0.3,2009,2013,46.5263,-86.361,MI
11NPSWRD_WQX-PIRO_04,Beaver Lake,Lake,7,0.7,0.5,0.5428571428571428,2009,2013,46.5722,-86.3348,MI
11NPSWRD_WQX-PIRO_06,Chapel Lake,Lake,7,1.1,0.6,0.8,2008,2013,46.5283,-86.4514,MI
11NPSWRD_WQX-PIRO_08,Miners Lake,Lake,10,2.5,1.6,2.02,2008,2017,46.4808,-86.5383,MI
11NPSWRD_WQX-SLBE_01,Manitou Lake,Lake,8,1.2,0.6,0.8125,2007,2017,45.1259,-86.024695,MI
11NPSWRD_WQX-SLBE_02,Florence Lake,Lake,6,0.9,0.7,0.7833333333333333,2009,2017,45.01069,-86.120299,MI
11NPSWRD_WQX-SLBE_03,Narada Lake,Lake,4,10.4,9.1,9.825,2008,2011,44.9360581,-85.90557924,MI
11NPSWRD_WQX-SLBE_04,Shell Lake,Lake,10,1.3,0.55,1.058,2007,2017,44.9476,-85.90044143,MI
11NPSWRD_WQX-SLBE_05,Bass Lake,Lake,12,7.6,5.6,6.516666666666667,2008,2017,44.92221,-85.88327555,MI
11NPSWRD_WQX-SLBE_07,Otter Lake,Lake,6,8.4,6.9,7.783333333333333,2007,2011,44.73989,-86.060529,MI
11NPSWRD_WQX-SLBE_08,Tucker Lake,Lake,5,1.6,1,1.2,2007,2011,44.9042,-85.95320947,MI
11NPSWRD_WQX-SLBE_09,North Bar,Lake,12,7,4.2,5.208333333333333,2008,2017,44.84354,-86.06660833,MI
11NPSWRD_WQX-SLBE_10,Loon Lake,Lake,14,16,7.8,9.07857142857143,2007,2017,44.70747,-86.129251,MI
11NPSWRD_WQX-SLBE_11,Round Lake,Lake,8,24.2,18,20.8875,2007,2011,44.69306,-86.18465829,MI
21MICH_WQX-010088,SOUTH BRANCH PINE RIVER AT AN UNNAMED ROAD; SECTION 06,Stream,3,5.3,4.1,4.733333333333333,2015,2015,44.5771,-83.4937,MI
21MICH_WQX-010130,"VINCENT CREEK; HUBBARD LAKE ROAD; HAWES TOWNSHIP, SECTION 13",Stream,4,1.2,0.7,0.975,2014,2014,44.7411,-83.5268,MI
21MICH_WQX-020081,"DEXTER CREEK, AT M-67 CROSSING, SECTION 9",Stream,4,7.7,3.8,5.65,2015,2015,46.220344,-86.928539,MI
21MICH_WQX-020164,"WEST BRANCH WHITEFISH CREEK; TWO-TRACK JUST OFF US 41; LIMESTONE TOWNSHIP, SECTION 5",Stream,4,19.65529,8.358677,13.505749250000001,2013,2013,46.2431,-87.0838,MI
21MICH_WQX-030077,KALAMAZOO RIVER AT 57TH STREET; MANLIUS TOWNSHIP SECTION 17,Stream,46,60,21,39.87932391304348,2010,2013,42.651115,-86.106115,MI
21MICH_WQX-030147,"RABBIT RIVER AT 18TH STREET BRIDGE; HOPKINS TOWNSHIP, SECTION 16",Stream,4,35,29,32.75,2016,2016,42.642503,-85.721671,MI
21MICH_WQX-030653,"UNNAMED TRIBUTARY TO KALAMAZOO RIVER; DOWNSTREAM 30TH STREET; TROWBRIDGE TOWNSHIP, SECTION 10",Stream,4,20,18,19,2016,2016,42.480481,-85.836746,MI
21MICH_WQX-030654,"RABBIT RIVER; UPSTREAM 26TH STREET; SALEM TOWNSHIP, SECTION 36",Stream,4,32,28,30.75,2016,2016,42.6929,-85.79937,MI
21MICH_WQX-030663,BARBER CREEK DOWNSTREAM BASELINE ROAD,Stream,4,26,20,22.75,2012,2012,42.42057,-86.06133,MI
