MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-MISS_UM814,"King's Cove Marina, Conley Lake",Stream,4,43.1,26.3,33.175,2008,2008,44.75386441,-92.8408792,MN
11NPSWRD_WQX-MISS_UM822,Mississippi River next to Spring Lake,Stream,14,62.8,0.84,30.71,2006,2012,44.766503,-92.9586,MN
11NPSWRD_WQX-MISS_UM852,Mississippi River near East River Flats Park in Minneapolis,Stream,15,24.6,0.37,17.138,2006,2012,44.97022212,-93.2379115,MN
11NPSWRD_WQX-MISS_UM862,Mississippi River near St. Paul Water Works Pumping Station,Stream,14,21.2,0.36,14.732857142857144,2006,2012,45.103228,-93.278046,MN
11NPSWRD_WQX-MISS_UM868,Mississippi River upstream of the Coon Rapids Dam,Stream,13,20.7,0.41,13.916923076923077,2006,2012,45.151309,-93.327838,MN
11NPSWRD_WQX-MISS_UM880,Mississippi River just above the Crow River Confluence,Stream,14,18.4,0.66,12.947142857142858,2006,2012,45.247595,-93.524096,MN
11NPSWRD_WQX-SACN_02,St. Croix River Just Upstream from Norway Point Boat Landing,Stream,37,4.6,0.13,3.1954054054054053,2007,2016,45.92586098,-92.63865,MN
11NPSWRD_WQX-SACN_03,Snake River Approx. 1/2 Mile Upstream of the St. Croix River,Stream,13,17.5,2.9,6.7615384615384615,2007,2011,45.82339525,-92.77832874,MN
11NPSWRD_WQX-SACN_07,"Pool #1 of Lake St. Croix near Bayport, MN",Lake,32,8.7,0.31,6.1284375,2007,2016,45.01838386,-92.76500353,MN
11NPSWRD_WQX-SACN_09,Pool #2 on Lake St. Croix Downstream of I94 Bridge in Hudson,Lake,31,9.5,0.39,6.448064516129032,2007,2016,44.95902658,-92.76014336,MN
11NPSWRD_WQX-SACN_11,"Pool #4 on Lake St. Croix near Prescott, WI",Lake,36,11.7,0.7,7.2444444444444445,2007,2016,44.76971626,-92.80502745,MN
11NPSWRD_WQX-VOYA_01,Locator Lake,Lake,7,0.7,0.4,0.6285714285714286,2009,2013,48.54091482,-93.0038694,MN
11NPSWRD_WQX-VOYA_05,Shoepack Lake,Lake,6,1.1,0.8,0.9500000000000001,2008,2013,48.49837683,-92.88758918,MN
11NPSWRD_WQX-VOYA_08,Quarter Line Lake,Lake,1,1,1,1,2006,2006,48.47683446,-92.84521021,MN
11NPSWRD_WQX-VOYA_09,Ek Lake,Lake,7,0.8,0.5,0.6428571428571428,2009,2013,48.47005256,-92.83550273,MN
11NPSWRD_WQX-VOYA_12,Brown Lake,Lake,6,1,0.4,0.5833333333333334,2009,2013,48.51635071,-92.79640501,MN
11NPSWRD_WQX-VOYA_14,Peary Lake,Lake,5,0.6,0.5,0.54,2009,2013,48.52479679,-92.77154631,MN
11NPSWRD_WQX-VOYA_16,Cruiser Lake,Lake,5,0.4,0.3,0.34,2009,2013,48.49950752,-92.81200765,MN
11NPSWRD_WQX-VOYA_17,Ryan Lake,Lake,5,0.8,0.4,0.58,2009,2013,48.51881597,-92.70735632,MN
11NPSWRD_WQX-VOYA_18,Net Lake,Lake,2,1.1,1,1.05,2006,2006,48.39550795,-92.65660492,MN
11NPSWRD_WQX-VOYA_21,Little Trout Lake,Lake,5,0.5,0.4,0.44,2009,2013,48.39794469,-92.5252564,MN
21IOWA_WQX-13000001,Waterloo Creek near Bangs Rd (Site Bee 2),Stream,1,35,35,35,2010,2010,43.520478,-91.583672000000007,MN
21NDHDWQ_WQX-380001,Bois De Sioux River At Wahpeton,Stream,17,37.6,10.5,17.005882352941178,1993,1996,46.26377,-96.59897,MN
21NDHDWQ_WQX-380003,Red River  Near Grand Forks,Stream,9,30.8,12.3,19.988888888888887,1993,1993,47.76031,-96.93788,MN
21NDHDWQ_WQX-380082,Red River - Wahpeton,Stream,4,16.7,11.8,14.45,1993,1996,46.28984,-96.59588,MN
21NDHDWQ_WQX-380084,Red River - NR Fargo,Stream,26,33.7,13.4,19.28846153846154,1993,1996,46.97122,-96.82312,MN
21NDHDWQ_WQX-384156,Red River at Grand Forks,Stream,47,32.4,4.22,15.868297872340426,1997,2006,47.92686,-97.02821,MN
21NDHDWQ_WQX-385055,Bois De Sioux,Stream,108,70.1,1.94,20.525277777777777,2000,2017,46.15211,-96.57953,MN
21NDHDWQ_WQX-386014,Red River on Cass 16,Stream,57,35.4,10.6,16.7,2013,2017,46.731,-96.784,MN
21NDHDWQ_WQX-551425,Bois de Sioux River,Stream,2,19.7,16.5,18.1,2007,2007,45.949705,-96.56361,MN
21NDHDWQ_WQX-551483,Red River,Stream,1,8.07,8.07,8.07,2010,2010,46.32687,-96.60198,MN
21NDHDWQ_WQX-551485,Red River,Stream,1,7.57,7.57,7.57,2010,2010,46.33784,-96.61483,MN
21NDHDWQ_WQX-551486,Red River,Stream,1,8.42,8.42,8.42,2010,2010,46.35041,-96.64482,MN
21NDHDWQ_WQX-551489,Red River,Stream,1,10.6,10.6,10.6,2010,2010,46.45533,-96.71481,MN
21NDHDWQ_WQX-551491,Red River,Stream,1,10.2,10.2,10.2,2010,2010,46.59385,-96.75513,MN
21NDHDWQ_WQX-551493,Red River,Stream,1,10.4,10.4,10.4,2010,2010,46.70173,-96.78423,MN
21NDHDWQ_WQX-551494,Red River,Stream,1,12,12,12,2010,2010,46.75774,-96.78708,MN
21NDHDWQ_WQX-551496,Red River,Stream,1,11.9,11.9,11.9,2010,2010,46.85537,-96.77604,MN
21NDHDWQ_WQX-551497,Red River,Stream,1,12.1,12.1,12.1,2010,2010,46.88323,-96.76733,MN
21NDHDWQ_WQX-551499,Red River,Stream,1,12.9,12.9,12.9,2010,2010,46.92823,-96.78476,MN
21NDHDWQ_WQX-551501,Red River,Stream,1,12.4,12.4,12.4,2010,2010,46.89381,-96.77094,MN
21NDHDWQ_WQX-551502,Red River,Stream,1,12.3,12.3,12.3,2010,2010,46.90996,-96.76339,MN
21NDHDWQ_WQX-551503,Red River,Stream,1,15.6,15.6,15.6,2010,2010,46.95812,-96.80368,MN
21NDHDWQ_WQX-551504,Red River,Stream,1,17.3,17.3,17.3,2010,2010,47.02348,-96.82391,MN
21NDHDWQ_WQX-551505,Red River,Stream,1,17.3,17.3,17.3,2010,2010,47.07489,-96.82531,MN
21NDHDWQ_WQX-551508,Red River,Stream,1,15.5,15.5,15.5,2010,2010,47.35611,-96.83797,MN
21NDHDWQ_WQX-551510,Red River,Stream,1,15,15,15,2010,2010,47.62661,-96.8775,MN
21NDHDWQ_WQX-551511,Red River,Stream,1,15.1,15.1,15.1,2010,2010,47.75672,-96.93047,MN
21NDHDWQ_WQX-551516,Red River,Stream,1,12,12,12,2010,2010,47.99392,-97.05679,MN
21NDHDWQ_WQX-551519,Red River,Stream,1,13.1,13.1,13.1,2010,2010,48.17756,-97.13565,MN
21NDHDWQ_WQX-551520,Red River,Stream,1,13.2,13.2,13.2,2010,2010,48.197,-97.13578,MN
21NDHDWQ_WQX-551522,Red River,Stream,1,15.7,15.7,15.7,2010,2010,48.41651,-97.1382,MN
21NDHDWQ_WQX-551523,Red River,Stream,1,14.7,14.7,14.7,2010,2010,48.55902,-97.17149,MN
21NDHDWQ_WQX-551524,Red River,Stream,1,15.8,15.8,15.8,2010,2010,48.59402,-97.14372,MN
21NDHDWQ_WQX-551525,Red River,Stream,1,15.1,15.1,15.1,2010,2010,48.60109,-97.14071,MN
21NDHDWQ_WQX-551531,Red River,Stream,1,15.3,15.3,15.3,2010,2010,46.60683,-96.76934,MN
EMAP_GRE-GRE06604-1001,Mississippi: Upper Impounded,Stream,1,28.3214,28.3214,28.3214,2006,2006,44.35861,-91.95885,MN
EMAP_GRE-GRE06604-1021,Mississippi: Upper Impounded,Stream,1,28.1485,28.1485,28.1485,2006,2006,44.42522,-92.14661,MN
EMAP_GRE-GRE06604-1029,Mississippi: Upper Impounded,Stream,1,25.1304,25.1304,25.1304,2006,2006,44.24703,-91.88846,MN
EMAP_GRE-GRW04449-279,Mississippi: Upper Impounded,Stream,3,16.8718,9.06158,14.01266,2004,2005,44.74593,-92.802622,MN
EMAP_GRE-GRW04449-295,Mississippi: Upper Impounded,Stream,1,37.7846,37.7846,37.7846,2004,2004,44.90517,-93.042341,MN
EMAP_GRE-GRW04449-297,Mississippi: Upper Impounded,Stream,1,21.6687,21.6687,21.6687,2004,2004,43.888981,-91.322061,MN
EMAP_GRE-GRW04449-301,Mississippi: Upper Impounded,Stream,1,20.4761,20.4761,20.4761,2004,2004,44.33442,-91.936548,MN
EMAP_GRE-GRW04449-303,Mississippi: Upper Impounded,Stream,1,16.5951,16.5951,16.5951,2004,2004,44.781634,-92.999447,MN
EMAP_GRE-GRW04449-304,Mississippi: Upper Impounded,Stream,1,20.7641,20.7641,20.7641,2004,2004,44.057492,-91.639499,MN
EMAP_GRE-GRW04449-305,Mississippi: Upper Impounded,Stream,1,27.0562,27.0562,27.0562,2004,2004,44.431613,-92.185254,MN
EMAP_GRE-GRW04449-307,Mississippi: Upper Impounded,Stream,1,41.2085,41.2085,41.2085,2004,2004,44.868845,-93.013441,MN
EMAP_GRE-GRW04449-318,Mississippi: Upper Impounded,Stream,1,12.0645,12.0645,12.0645,2005,2005,44.917777,-93.201284,MN
EMAP_GRE-GRW04449-320,Mississippi: Upper Impounded,Stream,1,29.1275,29.1275,29.1275,2005,2005,44.493018,-92.298988,MN
EMAP_GRE-GRW04449-322,Mississippi: Upper Impounded,Stream,1,21.0565,21.0565,21.0565,2005,2005,44.943185,-93.088752,MN
EMAP_GRE-GRW04449-334,Mississippi: Upper Impounded,Stream,1,35.0078,35.0078,35.0078,2005,2005,44.766195,-92.88419,MN
EMAP_GRE-GRW04449-358,Mississippi: Upper Impounded,Stream,1,19.388,19.388,19.388,2005,2005,44.675199,-92.679289,MN
EMAP_GRE-GRW04449-362,Mississippi: Upper Impounded,Stream,1,15.9615,15.9615,15.9615,2005,2005,44.661244,-92.662645,MN
EMAP_GRE-GRW04449-364,Mississippi: Upper Impounded,Stream,1,22.1595,22.1595,22.1595,2005,2005,44.371431,-91.993333,MN
EMAP_GRE-GRW04449-367,Mississippi: Upper Impounded,Stream,1,20.5345,20.5345,20.5345,2005,2005,44.284561,-91.916124,MN
