MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21IOWA_WQX-10560001,Des Moines River near Keokuk,Stream,70,56,12,32.785714285714285,2001,2006,40.462049,-91.567078,MO
21IOWA_WQX-16560003,Des Moines River - Site 202,Stream,2,42,32,37,2006,2006,40.597417,-91.715468,MO
21KAN001_WQX-SC202,"Missouri River At Kansas City, Missouri",Stream,116,50,10,26.525862068965516,1980,1989,39.111914,-94.588008,MO
21KAN001_WQX-SC204,"Indian Creek At Kansas City, Missouri",Stream,284,1200,10,123.30281690140845,1980,2016,38.94189,-94.60449,MO
21KAN001_WQX-SC209,"Spring River Near Waco, Missouri",Stream,121,33,4,11.821487603305785,1980,2003,37.245652,-94.566466,MO
21KAN001_WQX-SC210,"Center Creek Near Smithfield, Missouri",Stream,152,21,3.5,10.185526315789474,1980,2014,37.15589,-94.6034,MO
21KAN001_WQX-SC211,"Turkey Creek Near Joplin, Missouri",Stream,151,73,5.6,28.393377483443707,1980,2014,37.12113,-94.58212,MO
21KAN001_WQX-SC235,"Missouri River At Rulo, Nebraska",Stream,112,36,9.1,19.84017857142857,1980,1989,40.054226,-95.420565,MO
ARDEQH2O_WQX-ARK0001,Little Sugar Cr @ Caverna MO,Stream,152,30.9,4.75,12.327565789473685,2004,2018,36.502998,-94.274101,MO
ARDEQH2O_WQX-WHI0006A,"Warm Fork of Spring River near Thayer, Missouri",Stream,316,27.1,1.241,4.89273417721519,1990,2018,36.5028,-91.5253,MO
CC-3230/7.3,Shoal Cr. At Hwy 97,Stream,28,16,6,8.928571428571429,1992,1993,36.8193719635,-94.04867825097,MO
CC-3234/0.6,Capps Cr. Near Mouth,Stream,28,14,3,8.285714285714286,1992,1993,36.8872097518,-94.08715381005,MO
CC-3246/1.9,Elk R. @ Tiff City,Stream,46,14,2,6.826086956521739,1990,1993,36.6305977602,-94.58680500054,MO
CC-3246/10.9,Elk R. 0.1 mi.bl. Tyson Foods WWTP,Stream,46,14,1,6.782608695652174,1990,1993,36.5583999851,-94.49569702753,MO
CC-3246/14.7,Elk R. just below Indian Cr.,Stream,46,16,1,6.695652173913044,1990,1993,36.5821324589,-94.46329057931,MO
CC-3246/22.4,Elk R. @ Pineville,Stream,46,15,1,6.565217391304348,1990,1993,36.5884024294,-94.38749915924,MO
CC-3249/0.7,L. Sugar Cr. @ Hwy K,Stream,46,22,0,7.8478260869565215,1990,1993,36.583999983,-94.3733978439,MO
