MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11113300-00E-CGB,COLLEGE BROOK - MILL POND ROAD BRIDGE,Stream,4,183.69,154.19,172.0925,2007,2008,43.129989,-70.923442,NH
11113300-00J-PRB,"FROM END OF SAUER TERR, OFF OF COWELL",Stream,24,270,69.92,159.46458333333334,2001,2012,43.135368,-70.923065,NH
11113300-00K-UAM,DOWNSTREAM OF GROVETON WWTF,Stream,3,3.6,3.2,3.3666666666666667,2014,2014,44.591595,-71.52515,NH
11113300-00M-HOB,FOOT BRIDGE OFF MORNING STREET,Stream,9,570,210,315.6666666666667,2005,2008,43.070903,-70.774192,NH
11113300-01-ASH,147 RIVER ST,Stream,33,50,6.3,24.472727272727273,2001,2018,42.779742,-72.490036,NH
11113300-01-BAT,BORTHWICK AVE TRIBUTARY-LOWER STATION,Stream,8,695,300,529.375,2005,2012,43.070939,-70.783131,NH
11113300-01-BEA,MERRIMACK RD BRIDGE,Stream,11,48,24,43.45454545454545,1990,1990,42.835803,-71.609397,NH
11113300-01-BEE,RTE 16 BRIDGE,Stream,3,4,4,4,1990,1990,43.753272,-71.136867,NH
11113300-01-BFB,BOIRE FIELD BROOK - TINKER ROAD,Stream,2,258,99,178.5,2004,2005,42.791294,-71.498739,NH
11113300-01-BKB,MAXWELL POND-OUTLET,Stream,1,18,18,18,2011,2011,43.010396,-71.478466,NH
11113300-01-BKR,GREEN BRIDGE,Stream,12,20,5.1,13.525,1991,2016,43.7682,-71.685939,NH
11113300-01-BKW,PENACOOK RD BRIDGE,Stream,3,10,7,8.666666666666666,1991,1991,43.245756,-71.688686,NH
11113300-01-BMW,2ND STREET BRIDGE,Stream,10,19,9,13.67,2015,2016,43.256765,-71.559349,NH
11113300-01-BOB,BOWERS BROOK - ROUTE 123A BRIDGE,Stream,3,4,3,3.6666666666666665,2005,2005,43.190458,-72.283428,NH
11113300-01-BRA,"APPLEBEE RD BRIDGE, MILTON",Stream,4,21,18,18.75,2014,2014,43.480406,-70.998683,NH
11113300-01-BRR,BERRY BROOK_STATION DRIVE,Stream,1,160,160,160,2012,2012,43.201818,-70.881373,NH
11113300-01-CBK,CHASE BROOK,Stream,1,9.49,9.49,9.49,2007,2007,43.119933,-70.89045,NH
11113300-01-CDR,CEDAR BROOK AT FOURTH STREET,Stream,3,100,68,83,2008,2008,43.198259,-70.889726,NH
11113300-01-CHO,RTE 16/25 BRIDGE,Stream,3,8,7,7.666666666666667,1990,1990,43.816639,-71.195778,NH
