MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-NETN_MORR_01,Passaic River (Stream E),Stream,12,87.8813096428572,1.916820495,43.6988443364881,2012,2017,40.7518667,-74.5514333,NJ
11NPSWRD_WQX-NETN_MORR_02,Indian Grove Brook (Stream D),Stream,11,122.32512216428562,2.40615457,52.935148154415565,2012,2017,40.74465,-74.5654167,NJ
11NPSWRD_WQX-NETN_MORR_03,Primrose Brook Confluence (Stream B),Stream,12,10.743547900000001,0.26346440000000004,5.326769330952381,2012,2017,40.7643333,-74.5293667,NJ
11NPSWRD_WQX-NETN_MORR_32,West Primrose Brook (Stream C),Stream,4,2.9778000000000002,2.6587500000000004,2.8094125000000005,2012,2013,40.7696667,-74.5362,NJ
11NPSWRD_WQX-NETN_MORR_33,East Primrose Brook (Stream A),Stream,4,12.4784,8.47255,10.0234875,2012,2013,40.7701333,-74.5241167,NJ
31DELRBC_WQX-332052,Paulsboro (RM 87.9),Stream,121,268,15,45.760330578512395,2005,2017,39.849487,-75.26173,NJ
31DELRBC_WQX-892065,Navy Yard (RM 93.2),Stream,124,116,14,37.79838709677419,2005,2017,39.880737,-75.172034,NJ
31DELRBC_WQX-Big Timber Creek near mouth,Big Timber Creek near mouth,Stream,14,44,1,29.142857142857142,2004,2008,39.879933,-75.13055,NJ
31DELRBC_WQX-Cooper River at Cuthbert Blvd,Cooper River at Cuthbert Blvd,Stream,9,54,19,37.333333333333336,2009,2009,39.924013,-75.055116,NJ
31DELRBC_WQX-Cooper River near mouth,Cooper River near mouth,Stream,20,45,20,30.2,2004,2009,39.951315,-75.110541,NJ
31DELRBC_WQX-Crosswicks Creek near mouth,Crosswicks Creek near mouth,Stream,14,30,11,22.928571428571427,2004,2008,40.149916,-74.7177,NJ
31DELRBC_WQX-Mantua Creek near mouth,Mantua Creek near mouth,Stream,12,59,21,40.166666666666664,2004,2008,39.842403,-75.230833,NJ
31DELRBC_WQX-Newton Creek at Route 130,Newton Creek at Route 130,Stream,8,38,21,30.375,2009,2009,39.899313,-75.099418,NJ
31DELRBC_WQX-Newton Creek near mouth,Newton Creek near mouth,Stream,16,46,19,34.125,2007,2009,39.908551,-75.120036,NJ
31DELRBC_WQX-Oldmans Creek at Route 130,Oldmans Creek at Route 130,Stream,12,675,29,215.75,2005,2008,39.784908,-75.406775,NJ
31DELRBC_WQX-Pennsauken Creek near mouth,Pennsauken Creek near mouth,Stream,13,49,20,34.53846153846154,2004,2008,39.991916,-75.0529,NJ
31DELRBC_WQX-Raccoon Creek at I295,Raccoon Creek at I295,Stream,13,38,23,30,2009,2009,39.77545,-75.355434,NJ
31DELRBC_WQX-Raccoon Creek at Route 130,Raccoon Creek at Route 130,Stream,22,253,1,61.68181818181818,2004,2009,39.801021,-75.355663,NJ
31DELRBC_WQX-Rancocas Creek near mouth,Rancocas Creek near mouth,Stream,14,42,12,26.214285714285715,2004,2008,40.044366,-74.961616,NJ
31DELRBC_WQX-Salem River at Route 49,Salem River at Route 49,Stream,21,3790,1,1621.7619047619048,2004,2008,39.577596,-75.477076,NJ
BTMUA-CB-1,Lanes Mill Rd,Stream,34,83.165,9.18,41.004416209411765,2009,2018,40.08299,-74.157586,NJ
BTMUA-HS-1,Lakewood-Allenwood Rd,Stream,35,185.063,29,59.44700622257143,2009,2018,40.11568,-74.175029,NJ
BTMUA-INTAKE,Route 88 West,Stream,410,256.84,18.4,56.254558291195124,2007,2018,40.07405,-74.143662,NJ
BTMUA-MF-1,Ramtown-Greenville Road (Ridge Road),Stream,35,162.444,22.4,49.331752381142856,2009,2018,40.10958,-74.161636,NJ
BTMUA-NA,Route 88 West,Stream,168,311.997,0.5,62.73110581869047,2009,2018,40.081648,-74.151811,NJ
BTMUA-NC,Ramtown-Greenville Road (Ridge Road),Stream,1,17.5,17.5,17.5,2007,2007,40.106961,-74.164246,NJ
BTMUA-ND,Brook Road,Stream,36,216.507,15.8,60.91868165527778,2007,2018,40.110503,-74.180612,NJ
BTMUA-NE,Route 547 (Squankum Rd),Stream,1,16.3,16.3,16.3,2007,2007,40.111756,-74.199413,NJ
BTMUA-NF,Route 9,Stream,4,572.003,205.571,359.57275000000004,2016,2018,40.110032,-74.21893,NJ
BTMUA-NF14,Storm Outfall (former Jamesway),Stream,16,159.92,29.244,113.6907216125,2015,2018,40.082477,-74.216875,NJ
BTMUA-NG,Kent Road,Stream,20,232.24,16.1,48.736,2009,2014,40.111508,-74.234882,NJ
BTMUA-NK,Farmingdale Road,Stream,34,37.42,9.89,17.740619463529413,2009,2018,40.157278,-74.259702,NJ
BTMUA-NM,Pittenger Pond Road,Stream,23,25.57,9.862,18.35543544652174,2012,2018,40.181817,-74.303788,NJ
BTMUA-NO,Route 527,Stream,1,33.44,33.44,33.44,2012,2012,40.194256,-74.347152,NJ
BTMUA-SA,Chambersbridge Road,Stream,167,131.72,17.6,49.59779327491018,2007,2018,40.078763,-74.156729,NJ
BTMUA-SB1,Lake Shenandoah Park (spillway),Stream,33,137.2,16.7,43.99664417969697,2009,2018,40.085838,-74.184943,NJ
BTMUA-SC,South Clover Street,Stream,1,66.461,66.461,66.461,2018,2018,40.08733,-74.200438,NJ
