MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-NETN_ROVA_05,Lower Crum Elbow Creek (Stream D),Stream,12,163.2659169571428,2.8286724850000002,66.19429023386904,2012,2017,41.7888333,-73.9455833,NY
11NPSWRD_WQX-NETN_ROVA_06,Lower FDR Brook (Stream A),Stream,12,190.8069763785716,4.443058395,94.36427257875003,2012,2017,41.7642,-73.93975,NY
11NPSWRD_WQX-NETN_ROVA_46,Upper Crum Elbow Creek (Stream C),Stream,4,46.687650000000005,35.520900000000005,39.50902500000001,2012,2013,41.7955,-73.9391,NY
11NPSWRD_WQX-NETN_ROVA_47,Maritje Kill (Stream E),Stream,12,138.6500953142856,3.62800263,81.03227164892857,2012,2017,41.7628667,-73.9204667,NY
11NPSWRD_WQX-NETN_ROVA_48,Upper FDR Brook (Stream B),Stream,12,242.01992016428562,5.206389065000001,117.28701834291665,2012,2017,41.77,-73.9383,NY
11NPSWRD_WQX-NETN_ROVA_49,Fall Kill (Stream F),Stream,12,182.26304527142844,0.5575682350000001,83.75452327613094,2012,2017,41.7622833,-73.8996333,NY
11NPSWRD_WQX-NETN_SARA_07,American's Creek (Stream B),Stream,4,2.9423500000000002,1.0635000000000001,1.9763375,2012,2013,42.977167,-73.631,NY
11NPSWRD_WQX-NETN_SARA_08,Upper Mill Creek (Stream C),Stream,10,176.54100000000003,24.283250000000002,64.63808262714288,2012,2017,42.997383,-73.64855,NY
11NPSWRD_WQX-NETN_SARA_09,Mill Creek Confluence (Stream D),Stream,12,20.73825,9.217,16.337341401785718,2012,2017,42.98895,-73.62555,NY
11NPSWRD_WQX-NETN_SARA_10,Kroma Kill (Stream A),Stream,12,54.42590389285719,13.5419,30.141407656547614,2012,2017,43.005833,-73.6173,NY
1VTDECWQ-500456,Main Section - Lake Champlain,Lake,24,13.3,10.3,11.066666666666666,1990,1996,44.41,-73.32,NY
1VTDECWQ-500457,Main Section - Lake Champlain,Lake,29,13.3,10.2,11.006896551724138,1990,1996,44.42,-73.4,NY
1VTDECWQ-500462,Main Section - Lake Champlain,Lake,24,13.3,10.2,10.895833333333334,1990,1996,44.52,-73.36,NY
1VTDECWQ-500464,Main Section - Lake Champlain,Lake,25,13.5,10.1,10.824,1990,1996,44.58,-73.39,NY
1VTDECWQ-500468,Main Section - Lake Champlain,Lake,471,15.8,8.1,12.827352441613588,1990,2017,44.7011,-73.4181,NY
1VTDECWQ-500470,Isle La Motte - Lake Champlain,Lake,914,15.5,6.2,12.50509409190372,1990,2017,44.756100000000004,-73.355,NY
1VTDECWQ-500490,Little Chazy River,Stream,386,42.2,5.97,18.087163212435232,1990,2017,44.902,-73.4151,NY
1VTDECWQ-500491,Saranac River,Stream,375,39.9,2.9,8.874136,1990,2017,44.6994,-73.4499,NY
1VTDECWQ-500492,Great Chazy River,Stream,343,42.26,4.2,15.092734693877551,1990,2017,44.9425,-73.4088,NY
1VTDECWQ-500493,Hope River,Stream,36,1.2,0.4,0.8472222222222222,1990,1992,43.51,-73.5,NY
1VTDECWQ-500494,Mill Brook,Stream,36,20.7,3.4,7.958333333333333,1990,1992,43.73,-73.38,NY
1VTDECWQ-500495,Putnam Creek,Stream,339,23,1.6,9.271722713864307,1990,2014,43.9506,-73.4325,NY
1VTDECWQ-500496,Mill Brook,Stream,38,18.5,5.1,11.197368421052632,1990,1992,44.05,-73.47,NY
1VTDECWQ-500497,Hoisington Brook,Stream,66,38,5.6,10.40090909090909,1990,1992,44.18,-73.44,NY
1VTDECWQ-500498,Bouquet River,Stream,364,37.7,3.24,13.486093406593406,1990,2017,44.3638,-73.3908,NY
1VTDECWQ-500499,Highlands Forge Outlet,Stream,66,10.8,4.4,7.670909090909091,1990,1992,44.41,-73.42,NY
1VTDECWQ-500500,Ausable River,Stream,352,25.1,1.3,9.25362215909091,1990,2017,44.5588,-73.4486,NY
1VTDECWQ-500501,Little Ausable River,Stream,466,32,3.49,13.5125,1990,2017,44.5942,-73.4962,NY
1VTDECWQ-500502,Salmon River,Stream,377,21.5,1,8.151175066312998,1990,2017,44.6401,-73.4949,NY
1VTDECWQ-500507,Mettawee River,Stream,105,15,4.8,8.67047619047619,1990,1992,43.51,-73.38,NY
1VTDECWQ-500508,Mettawee River,Stream,400,42.53,5.8,17.2120375,1990,2017,43.5552,-73.4016,NY
1VTDECWQ-500578,Poultney River,Stream,397,34.74,3.1,13.497987405541561,1990,2017,43.5702,-73.3918,NY
1VTDECWQ-500669,Jewett Brook,Stream,2,35.4,27.502,31.451,2012,2013,44.8363,-73.4399,NY
1VTDECWQ-502331,Poultney River,Stream,3,23.1,14.6,19.666666666666668,2003,2007,43.5978,-73.2928,NY
1VTDECWQ-502333,Poultney River,Stream,4,23.1,13.7,19.725,2007,2010,43.5246,-73.2471,NY
1VTDECWQ-502334,Poultney River,Stream,4,21.4,9.29,14.997499999999999,2010,2015,43.5233,-73.2479,NY
1VTDECWQ-503288,Southern Section - Lake Champlain,Lake,719,31.8,9.4,16.541559109874825,1990,2017,43.9517,-73.4078,NY
1VTDECWQ-503310,Southern Section - Lake Champlain,Lake,35,23.5,7.2,12.945714285714285,1990,1996,43.85,-73.38,NY
1VTDECWQ-503387,Southern Section - Lake Champlain,Lake,587,30.3,6.3,17.55433730834753,1990,2017,43.7314,-73.3831,NY
1VTDECWQ-503529,Main Section - Lake Champlain,Lake,28,14.1,10.2,11.064285714285715,1990,1996,44.46,-73.37,NY
1VTDECWQ-503535,Isle La Motte - Lake Champlain,Lake,500,15.2,5,12.514112,1990,2017,44.9483,-73.34,NY
