MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21OHIO_WQX-200013,200013-CUYAHOGA R. AT CLEVELAND @ NAV. CHANNEL STATION 815.5,Stream,6,233,129,171,2014,2015,41.465,-81.6744,OH
21OHIO_WQX-200038,200038-CUYAHOGA R. AT CUYAHOGA FALLS @ WATERWORKS PARK,Stream,34,199,50.5,90.54705882352941,2007,2016,41.1461,-81.4625,OH
21OHIO_WQX-200122,200122-CAMP BROOK AT AKRON @ RR ON NE END OF QUARRY,Stream,1,78,78,78,2013,2013,41.0911,-81.475,OH
21OHIO_WQX-200127,200127-WINGFOOT LAKE OUTLET @ ROAD DST. MARTIN RD.,Stream,3,62.6,60.5,61.233333333333334,2012,2012,41.0422,-81.3856,OH
21OHIO_WQX-200137,200137-DOAN BROOK AT CLEVELAND @ WADE PARK,Stream,5,259,121,193.4,2015,2015,41.5092,-81.6136,OH
21OHIO_WQX-200149,200149-BLANCHARD R. AT CUBA @ ST. RT. 115,Stream,16,75.9,19.6,48.40625,2005,2006,41.0514,-84.1983,OH
21OHIO_WQX-200242,200242-LESLEY RUN SE OF WEST ALEXANDRIA @ EAST FACTORY RD.,Stream,5,38.5,34.8,36.24,2005,2005,39.7225,-84.505,OH
21OHIO_WQX-200282,200282-SCIOTO BRUSH CREEK @ POPLAR GROVE RD,Stream,2,33.8,11.4,22.599999999999998,2006,2006,38.9883,-83.3328,OH
21OHIO_WQX-200338,200338-JESSIE RUN @ LANE JUST UPST. TOWN OF RARDEN,Stream,3,28.7,8.9,18.733333333333334,2006,2006,38.9253,-83.2403,OH
21OHIO_WQX-200340,200340-RARDEN CREEK AT RARDEN @ ST. RT. 73,Stream,1,5,5,5,2006,2006,38.9242,-83.2483,OH
21OHIO_WQX-200345,200345-CEDAR FORK SE OF PEEBLES @ DAVIS MEMORIAL RD.,Stream,1,7.1,7.1,7.1,2006,2006,38.9403,-83.3558,OH
21OHIO_WQX-200405,200405-MAHONING R. AT WARREN @ 3RD ISLAND DST. SUMMIT ST.,Stream,8,58.6,46.4,52,2013,2013,41.2414,-80.8286,OH
21OHIO_WQX-200419,"200419-MAHONING R. NEAR LEAVITTSBURG, 1.0 MI. UPST U.S. RT. 422",Stream,2,49.4,45.6,47.5,2013,2013,41.2439,-80.865,OH
21OHIO_WQX-200429,"200429-RATTLESNAKE CREEK W OF NEW MARTINSBURG, UPST. ZIMMERMAN RD.",Stream,4,54.4,33.6,44.725,2006,2006,39.4006,-83.4897,OH
21OHIO_WQX-200460,200460-SALT RUN E OF LOVELAND PARK @ BUTTERWORTH RD.,Stream,2,67.1,57,62.05,2008,2008,39.2967,-84.2458,OH
21OHIO_WQX-200462,200462-BEAR RUN AT FOSTER @ FOSTER-MAINEVILLE RD.,Stream,4,60.5,46,51.725,2008,2008,39.3219102,-84.2511086,OH
21OHIO_WQX-200466,200466-LICK FORK NEAR MOUTH @ CO. RD. 116,Stream,5,43.1,23.9,31.1,2012,2012,39.1467,-84.1789,OH
