MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
21NYDECA_WQX-14010053,DELAWARE RIVER IN CALLICOON,Stream,10,11,5.8,8.92,2010,2010,41.7647222,-75.0611111,PA
21OHIO_WQX-301182,301182-MAHONING R. DST. EDINBURG WWTP @ U.S. RT. 224/PA-551 (PA),Stream,7,102,57.9,75.78571428571429,2013,2013,41.018485,-80.440505,PA
21OHIO_WQX-301183,301183-MAHONING R. UPST. NEW CASTLE WWTP @ PA-108 (PA),Stream,7,99.9,58.8,75.28571428571429,2013,2013,40.970782,-80.384155,PA
21OHIO_WQX-301184,301184-MAHONING R. DST. NEW CASTLE WWTP @ PA-18 (PA),Stream,7,104,59.3,77.65714285714286,2013,2013,40.963595,-80.382324,PA
21OHIO_WQX-A01P03,A01P03-TURKEY CREEK E OF CONNEAUT @ STATE LINE RD.,Stream,5,132,68.8,103.52,2015,2015,41.9617,-80.5194,PA
21OHIO_WQX-N03S51,N03S51-MAHONING R. @ OHIO/PA STATE LINE,Stream,9,103,55.3,72.61111111111111,2013,2015,41.03,-80.5192,PA
21PA_WQX-DRBC422088,Darby Creek,Stream,5,52.6,33,40.86,2007,2009,39.8661,-75.3133,PA
21PA_WQX-DRBC422091,Frankford Creek,Stream,6,118,72,99.16666666666667,2007,2009,39.9986,-75.0861,PA
21PA_WQX-DRBC422094,Chester Creek,Stream,6,261.8,49.7,105.51666666666667,2007,2009,39.8447,-75.36,PA
21PA_WQX-DRBC422097,Pennypack Creek,Stream,6,147.7,77.5,98.2,2007,2009,40.0333,-75.0181,PA
21PA_WQX-DRBC422100,Poquessing Creek,Stream,6,163.6,72.3,109.23333333333333,2007,2009,40.0536,-74.9819,PA
21PA_WQX-DRBC422103,Neshaminy Creek,Stream,6,131.7,37.5,74.78333333333333,2007,2009,40.0936,-74.9133,PA
21PA_WQX-DRBC422110,Schuylkill River,Stream,6,56.5,36.9,47.983333333333334,2007,2009,40.0083,-75.1972,PA
21PA_WQX-DRBC422111,Schuylkill River,Stream,6,52,36.6,44.516666666666666,2007,2009,39.9528,-75.1808,PA
21PA_WQX-DRBC422115,Crum Creek,Stream,6,114.5,47.3,79.11666666666666,2007,2009,39.8631,-75.3242,PA
21PA_WQX-DRBC422120,Ridley Creek,Stream,6,66.7,40.5,54.06666666666667,2007,2009,39.8533,-75.3461,PA
21PA_WQX-WQN0001,GENESEE RIVER,Stream,54,26.36,4.52,8.092407407407407,2009,2018,41.9942,-77.87,PA
21PA_WQX-WQN0100,UNT Sixpenny,Stream,32,15.23,8.33,11.7271875,2015,2018,40.2406,-75.7772,PA
21PA_WQX-WQN0101,DELAWARE RIVER,Stream,79,49.3,10.5,25.173544303797467,2009,2018,40.2192,-74.7783,PA
21PA_WQX-WQN0103,DELAWARE RIVER,Stream,52,38.07,6.45,13.77948076923077,2009,2018,41.3711,-74.6978,PA
21PA_WQX-WQN0104,W BR DELAWARE RIVER,Stream,44,33.58,6.85,13.625681818181818,2010,2018,41.9522,-75.2919,PA
21PA_WQX-WQN0105,BRANDYWINE CREEK,Stream,123,178,11.76,46.40130081300813,1998,2018,39.8694,-75.5931,PA
21PA_WQX-WQN0110,SCHUYLKILL RIVER,Stream,67,233,12.9,64.77029850746268,2010,2018,40.0083,-75.1972,PA
21PA_WQX-WQN0111,SCHUYLKILL RIVER,Stream,70,96.34,16.16,35.25371428571429,2010,2018,40.2419,-75.6511,PA
21PA_WQX-WQN0113,SCHUYLKILL RIVER,Stream,50,51.1,8.91,22.089,2001,2018,40.5219,-75.9978,PA
21PA_WQX-WQN0115,WISSAHICKON CREEK,Stream,53,514,46.71,169.11377358490566,2009,2018,40.0147,-75.2067,PA
21PA_WQX-WQN0116,PERKIOMEN CREEK,Stream,54,169,16.97,54.82555555555555,2009,2018,40.1531,-75.4556,PA
21PA_WQX-WQN0117,TULPEHOCKEN CREEK,Stream,51,42.26,3.5,28.04921568627451,1998,2018,40.3628,-75.9678,PA
21PA_WQX-WQN0121,NESHAMINY CREEK,Stream,51,278,25.57,101.47941176470589,2010,2018,40.1742,-74.9572,PA
21PA_WQX-WQN0123,LEHIGH RIVER,Stream,53,85,13.04,32.17754716981132,2009,2018,40.6667,-75.2383,PA
21PA_WQX-WQN0125,LEHIGH RIVER,Stream,50,40.81,6.98,18.842200000000002,2009,2018,40.7531,-75.6025,PA
21PA_WQX-WQN0126,LEHIGH RIVER,Stream,53,30.5,6.55,15.161509433962264,2009,2018,41.1303,-75.6258,PA
21PA_WQX-WQN0130,JORDAN CREEK,Stream,49,539,18.25,48.91734693877551,2010,2018,40.6019,-75.4622,PA
21PA_WQX-WQN0137,BRODHEAD CREEK,Stream,48,62.8,16.17,33.821875,2010,2018,40.9933,-75.1375,PA
21PA_WQX-WQN0138,BRODHEAD CREEK,Stream,49,38.58,11.12,23.968979591836735,2010,2018,41.035,-75.2108,PA
21PA_WQX-WQN0139,BUSHKILL CREEK,Stream,51,8.35,3.04,5.175098039215686,2009,2018,41.0883,-75.0375,PA
21PA_WQX-WQN0141,WALLENPAUPACK CREEK,Stream,51,24.01,4.23,9.902549019607843,2009,2018,41.3361,-75.34,PA
21PA_WQX-WQN0142,TOBYHANNA CREEK,Stream,52,43.56,10.18,22.752692307692307,2009,2018,41.0844,-75.6053,PA
21PA_WQX-WQN0147,LACKAWAXEN RIVER,Stream,55,32.84,4.87,13.227636363636364,2009,2018,41.4867,-74.9914,PA
21PA_WQX-WQN0149,WHITE CLAY CREEK,Stream,117,82.5,7.3,39.24094017094017,1998,2018,39.7444,-75.7731,PA
21PA_WQX-WQN0150,RED CLAY CREEK,Stream,123,165,3.86,56.649268292682926,1998,2018,39.8161,-75.6914,PA
21PA_WQX-WQN0154,VALLEY CREEK,Stream,80,900,0.67,125.5935,1998,2018,40.0811,-75.4564,PA
21PA_WQX-WQN0156,FRENCH CREEK,Stream,65,18.9,1.32,11.686769230769231,2000,2005,40.1714,-75.6906,PA
21PA_WQX-WQN0178,PINE CREEK,Stream,97,24.58,8.37,13.701237113402062,2010,2018,40.4094,-75.735,PA
21PA_WQX-WQN0181,Little Bushkill,Stream,93,47.45,3.24,7.178387096774194,2010,2018,41.0975,-75.0039,PA
21PA_WQX-WQN0182,DELAWARE RIVER,Stream,65,838,17.36,97.49676923076923,2008,2018,39.8069,-75.4064,PA
21PA_WQX-WQN0183,East Branch Dyberry Creek,Stream,90,8.82,1.83,3.7064444444444447,2010,2018,41.6614,-75.2881,PA
21PA_WQX-WQN0185,DELAWARE RIVER,Stream,43,26.32,5.42,11.200232558139534,2010,2018,41.7644,-75.0619,PA
21PA_WQX-WQN0186,TINICUM CREEK,Stream,78,32.9,3.43,13.066025641025641,1998,2005,40.4742,-75.1358,PA
21PA_WQX-WQN0187,COOKS CREEK,Stream,81,25.8,5.92,10.93846913580247,1998,2005,40.5814,-75.2053,PA
21PA_WQX-WQN0188,BALDWIN RUN,Stream,14,64,11.1,42.753571428571426,1998,1999,39.8561,-75.4058,PA
21PA_WQX-WQN0189,JOHNSON CREEK,Stream,20,7,3.31,5.1855,1998,2000,41.73,-75.3831,PA
21PA_WQX-WQN0190,CHOKE CREEK,Stream,67,6.35,1.14,2.5271641791044774,1998,2005,41.1617,-75.6028,PA
21PA_WQX-WQN0191,WILD CREEK,Stream,107,35.78,6.83,16.720747663551403,1998,2018,40.9419,-75.5828,PA
21PA_WQX-WQN0192,ADAMS CREEK,Stream,49,17.7,7.87,12.242448979591837,2000,2005,41.2394,-74.8672,PA
21PA_WQX-WQN0193,WISSAHICKON CREEK,Stream,53,703,44.08,163.29358490566037,2009,2018,40.1239,-75.2203,PA
21PA_WQX-WQN0194,DELAWARE RIVER,Stream,52,46.34,8.15,18.02846153846154,2009,2018,40.8289,-75.0847,PA
21PA_WQX-WQN0195,Rock Run,Stream,71,16,5.66,9.657605633802817,2005,2010,40.1736,-75.6958,PA
21PA_WQX-WQN0196,WEST BR PERKIOMEN CRK,Stream,69,19.2,8.26,11.427826086956522,2005,2010,40.405,-75.6136,PA
21PA_WQX-WQN0197,BLOOMING GROVE CRK,Stream,67,23.6,6.36,11.41910447761194,2005,2010,41.4361,-75.105,PA
21PA_WQX-WQN0198,TUNKHANNOCK CREEK,Stream,67,18.3,1.59,8.778805970149254,2005,2010,40.1919,-75.3767,PA
21PA_WQX-WQN0199,KINTZ CREEK,Stream,63,7.66,2.11,4.263174603174603,2005,2010,41.2806,-75.2422,PA
21PA_WQX-WQN0201,SUSQUEHANNA RIVER,Stream,205,47.457,0.156,19.82430780487805,1998,2018,40.0286,-76.5167,PA
21PA_WQX-WQN0202,Susquehanna River at Harrisburg,Stream,117,35.979,0.16,18.426881196581196,2012,2018,40.2564,-76.8844,PA
21PA_WQX-WQN0203,SUSQUEHANNA RIVER,Stream,134,41.977,0.322,20.10685970149254,2010,2018,40.8514,-76.8069,PA
21PA_WQX-WQN0204,PEQUEA CREEK,Stream,175,85.6,0.077,24.82251257142857,2008,2018,39.9056,-76.3281,PA
21PA_WQX-WQN0206,CHICKIES CREEK,Stream,52,71.4,19.57,40.16211538461538,2009,2018,40.0628,-76.5153,PA
21PA_WQX-WQN0207,CODORUS CREEK,Stream,2,46.9,32.33,39.614999999999995,2012,2012,40.0103,-76.7103,PA
21PA_WQX-WQN0210,W CONEWAGO CREEK,Stream,179,91.9,0.094,23.55376033519553,2008,2018,40.0814,-76.7181,PA
21PA_WQX-WQN0212,YELLOW BREECHES CREEK,Stream,169,100,0.1035,24.613562130177513,2009,2018,40.2242,-76.8606,PA
21PA_WQX-WQN0214,JUNIATA RIVER,Stream,195,41.852,0.116,17.13655846153846,2008,2018,40.4789,-77.1283,PA
21PA_WQX-WQN0217,LITTLE JUNIATA RIVER,Stream,161,124,0.08,25.72005403726708,2009,2018,40.6089,-78.1361,PA
21PA_WQX-WQN0223,RAYSTOWN BRANCH JUNIATA RIVER,Stream,174,94.9,0.083,20.943988505747125,2008,2018,40.215,-78.2647,PA
21PA_WQX-WQN0224,FRANKSTOWN BRANCH JUNIATA RIVER,Stream,160,194,0.062,37.60659625,2009,2018,40.4717,-78.1867,PA
21PA_WQX-WQN0226,MAHANTANGO CREEK,Stream,118,22.683,5.72,11.632325423728814,2012,2018,40.6108,-76.9114,PA
21PA_WQX-WQN0228,MIDDLE CREEK,Stream,53,27.87,4.6,9.841698113207547,2009,2018,40.775,-76.8697,PA
21PA_WQX-WQN0229,PENNS CREEK,Stream,160,17.075,0.114,6.992739375,2008,2018,40.8672,-77.0489,PA
21PA_WQX-WQN0243,SHERMAN CREEK,Stream,170,20.165,0.112,7.168215882352941,2008,2018,40.3442,-77.1942,PA
21PA_WQX-WQN0249,AUGHWICK CREEK,Stream,122,38.08,4.13,13.84844262295082,1998,2018,40.3344,-77.86,PA
21PA_WQX-WQN0252,BEAVERDAM BR JUNIATA RIVER,Stream,57,307,17.11,61.889649122807015,2009,2018,40.4306,-78.3642,PA
21PA_WQX-WQN0256,BIG ELK CREEK,Stream,48,114,8.68,34.510416666666664,2010,2018,39.73,-75.8478,PA
21PA_WQX-WQN0259,Muddy Creek,Stream,139,26.0199,0.053,15.442240287769785,2010,2018,39.7728,-76.3161,PA
21PA_WQX-WQN0265,RAMBO RUN,Stream,61,15.2,8.98,10.70704918032787,1998,2003,39.8219,-76.5331,PA
21PA_WQX-WQN0266,LITTLE CONESTOGA CREEK,Stream,36,175,9.17,34.45,1998,2001,39.9711,-76.3756,PA
21PA_WQX-WQN0267,CONEWAGO CREEK,Stream,80,10.5,2.7,4.617375,1998,2005,39.9367,-77.3658,PA
21PA_WQX-WQN0268,PENNS CREEK,Stream,65,16.5,5.66,9.81553846153846,1998,2003,40.8656,-77.6094,PA
21PA_WQX-WQN0269,CONEWAGO CREEK,Stream,155,198,0.12,33.51566774193548,2011,2018,40.1508,-76.6897,PA
21PA_WQX-WQN0270,LETORT SPRING RUN,Stream,122,16.1,3.7,12.175245901639345,2000,2010,40.1758,-77.1858,PA
21PA_WQX-WQN0271,CONODOGUINET CREEK,Stream,172,69.9,0.086,29.204812209302325,2008,2018,40.255,-77.0189,PA
21PA_WQX-WQN0272,SWATARA CREEK,Stream,190,51.5,0.107,23.88701842105263,2008,2018,40.2869,-76.6778,PA
21PA_WQX-WQN0273,CONESTOGA RIVER,Stream,190,176,0.06,49.19608842105263,2008,2018,39.9389,-76.3869,PA
21PA_WQX-WQN0274,SINKING RUN,Stream,66,9.36,1.73,4.455,2005,2010,40.6083,-78.1961,PA
21PA_WQX-WQN0275,CONODOGUINET CREEK,Stream,67,6.93,1.13,1.7823880597014925,2005,2010,40.0694,-77.7564,PA
21PA_WQX-WQN0276,EAST LICKING CREEK,Stream,66,1.41,0.65,0.9083333333333333,2005,2010,40.5511,-77.5167,PA
21PA_WQX-WQN0277,ELK CREEK,Stream,66,12.9,4.8,7.503636363636364,2005,2010,40.9244,-77.4756,PA
21PA_WQX-WQN0278,CONEWAGO CREEK,Stream,147,143,0.065,29.224650340136055,2011,2018,40.195,-76.5675,PA
21PA_WQX-WQN0279,BOB'S CREEK,Stream,144,21.52,3.73,7.793263888888889,2006,2018,40.2631,-78.5908,PA
21PA_WQX-WQN0280,BIG SPRING RUN,Stream,145,603,0.131,66.16318068965518,2011,2018,39.9956,-76.2636,PA
21PA_WQX-WQN0281,PAXTON CREEK,Stream,122,299,0.146,93.26659180327869,2012,2018,40.3058,-76.8556,PA
