MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
MA_DEP-W0176,Ten Mile_Ten Mile River_5233625_4.602,Stream,2,120,78,99,2002,2002,41.89027,-71.3401,RI
MA_DEP-W0902,Ten Mile_Ten Mile River_5233625_-1.364,Stream,2,130,62,96,2002,2002,41.83082,-71.3512,RI
MA_DEP-W0984,Ten Mile_Ten Mile River_5233625_2.229,Stream,2,130,85,107.5,2002,2002,41.86119,-71.3382,RI
NARS_WQX-NEWS04-4201,GREAT SWAMP BROOK,Stream,1,31.100285,31.100285,31.100285,2004,2004,41.5589,-71.1295,RI
USGS-01111500,"BRANCH RIVER AT FORESTDALE, RI",Stream,123,53.1,13.4,30.691056910569106,2001,2017,41.9964872,-71.5620076,RI
USGS-01112900,"BLACKSTONE RIVER AT MANVILLE, RI",Stream,122,175,37.4,94.1811475409836,2001,2017,41.9712098,-71.4700599,RI
USGS-01113895,BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI,Stream,118,188,42,93.02881355932203,2007,2017,41.8884331,-71.3814447,RI
USGS-01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",Stream,29,75,21.2,40.05172413793103,2001,2018,41.8525992,-71.6061754,RI
USGS-01115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",Stream,34,19.4,7.86,13.64029411764706,2001,2018,41.8467659,-71.6117311,RI
USGS-01115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI",Stream,37,183,20.7,62.486486486486484,2009,2018,41.8375993,-71.6120089,RI
USGS-01115120,"UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI",Stream,21,137,32.2,59.523809523809526,2009,2018,41.8314882,-71.6089532,RI
USGS-01115170,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",Stream,31,84.3,31.8,47.76451612903226,2005,2018,41.8409327,-71.584508,RI
USGS-01115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",Stream,36,352,19.9,73.10277777777777,2005,2018,41.7975997,-71.5847857,RI
USGS-01115184,"SPRUCE BROOK NR NORTH SCITUATE, RI",Stream,25,42.5,13.2,22.54,2009,2018,41.7887107,-71.6200647,RI
USGS-01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",Stream,28,34.2,11.5,21.814285714285713,2001,2018,41.8187102,-71.7050677,RI
USGS-01115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",Stream,27,38.6,18.3,28.22962962962963,2005,2018,41.8223213,-71.7003453,RI
USGS-01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",Stream,28,42,14.7,25.307142857142857,2001,2018,41.7906548,-71.6986785,RI
USGS-01115275,"BEAR TREE BROOK NR CLAYVILLE, RI",Stream,27,85.4,34.3,58.67777777777778,2005,2018,41.7825994,-71.6747888,RI
USGS-01115276,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI",Stream,25,37.8,14.1,23.816,2009,2018,41.7853772,-71.6672885,RI
USGS-01115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",Stream,27,66.6,20.7,37.28148148148148,2005,2018,41.8039883,-71.6497879,RI
USGS-01115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,Stream,28,15.8,7.09,10.683928571428572,2001,2018,41.7648219,-71.6356207,RI
USGS-01116500,"PAWTUXET RIVER AT CRANSTON, RI",Stream,5,79.5,38.1,54.36,2001,2002,41.750934,-71.4450575,RI
USGS-01116617,"PAWTUXET RIVER AT PAWTUXET, RI",Stream,122,203,23.1,66.56311475409836,2001,2017,41.7676007,-71.4053335,RI
USGS-01118500,"PAWCATUCK RIVER AT WESTERLY, RI",Stream,102,32.5,10.5,19.886274509803922,2000,2016,41.3837107,-71.8331247,RI
