MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11113300-53-CNT,BRIDGE D.S. OF GILMAN DAM,Stream,7,5,2,3.6142857142857143,1990,2008,44.410964,-71.722714,VT
11113300-58-CNT,RTE 2 BRIDGE,Stream,12,4.6,3,3.7583333333333333,1990,2015,44.496114,-71.594419,VT
11NPSWRD_WQX-NETN_MABI_27,The Pogue,Lake,11,0.7799,0.26942,0.46348941363636365,2012,2017,43.6333611,-72.542633,VT
11NPSWRD_WQX-NETN_MABI_28,Pogue Brook (Stream A),Stream,11,0.7799,0.32968500000000006,0.4984896129870131,2012,2017,43.6349333,-72.5293667,VT
1VTDECWQ-500040,Lake Elligo (Eligo Pond),Lake,11,8.31,7.02,7.685,2006,2017,44.5938,-72.3556,VT
1VTDECWQ-500115,Austin Pond,Lake,1,8.45,8.45,8.45,2010,2010,43.71,-73.19,VT
1VTDECWQ-500117,Athens Pond,Lake,4,12.5,8.23,10.32,2006,2011,43.1225,-72.6056,VT
1VTDECWQ-500129,Berlin Pond,Lake,4,31,17.4,26.35,2008,2017,44.1839,-72.5872,VT
1VTDECWQ-500132,Black Pond,Lake,1,2.9,2.9,2.9,2006,2006,43.7028,-73.2233,VT
1VTDECWQ-500135,Bliss Pond,Lake,6,11.15,9.3,9.940000000000001,2006,2010,44.35,-72.5,VT
1VTDECWQ-500136,Buck Lake,Lake,1,2,2,2,2006,2006,44.4611,-72.4,VT
1VTDECWQ-500155,Danby Pond,Lake,4,11.4,7.34,8.692499999999999,2008,2016,43.3656,-73.0522,VT
1VTDECWQ-500159,Echo Lake (Keeler Pond),Lake,1,2.47,2.47,2.47,2010,2010,43.7475,-73.1828,VT
1VTDECWQ-500161,Emerald Lake,Lake,2,11.5,3.38,7.4399999999999995,2011,2011,43.27,-73,VT
1VTDECWQ-500167,Fosters Pond,Lake,1,2,2,2,2006,2006,44.328,-72.2094,VT
1VTDECWQ-500170,Gates Pond,Lake,2,2.7,2.62,2.66,2006,2011,42.81,-72.8,VT
1VTDECWQ-500173,Gillett Pond,Lake,5,2.783,2.2,2.4846,2009,2015,44.3525,-72.9661,VT
1VTDECWQ-500176,Grout Pond,Lake,4,0.5,0.33,0.375,2017,2017,43.0448,-72.944,VT
1VTDECWQ-500181,Hidden Lake,Lake,1,10.8,10.8,10.8,2017,2017,42.883,-72.7203,VT
1VTDECWQ-500242,Pensioner Pond,Lake,3,5.23,2.96,3.851,2006,2013,44.8783,-72.0567,VT
1VTDECWQ-500285,Rood Pond,Lake,1,2,2,2,2006,2006,44.0767,-72.5886,VT
1VTDECWQ-500287,Roach Pond,Lake,1,24.9,24.9,24.9,2011,2011,43.71,-73.2,VT
1VTDECWQ-500296,Sodom Pond,Lake,2,13.9,8.82,11.36,2010,2015,44.3256,-72.5003,VT
1VTDECWQ-500299,Spring Lake (Shrewsbury Pond),Lake,1,2,2,2,2006,2006,43.495,-72.92,VT
1VTDECWQ-500304,Sunset Lake,Lake,3,40.45,18,32.75,2006,2011,44.0436,-72.6039,VT
1VTDECWQ-500319,Zack Woods Pond,Lake,2,0.976,0.902,0.9390000000000001,2011,2011,44.6107,-72.502,VT
1VTDECWQ-500322,Shelburne Pond,Lake,57,23.4,10.1,20.705263157894738,2006,2007,44.3853,-73.1608,VT
1VTDECWQ-500366,Nulhegan Pond,Lake,3,3.2,2.07,2.82,2010,2011,44.79,-71.81,VT
1VTDECWQ-500392,Lamson Pond,Lake,1,53,53,53,2008,2008,44.06,-72.61,VT
1VTDECWQ-500395,Pine Pond,Lake,1,3.463,3.463,3.463,2012,2012,43.6378,-73.1953,VT
1VTDECWQ-500398,Wallingford Pond,Lake,1,0.35,0.35,0.35,2015,2015,43.4114,-72.9086,VT
1VTDECWQ-500400,Colchester Pond,Lake,1,2,2,2,2006,2006,44.5589,-73.1194,VT
1VTDECWQ-500406,Hinkum Pond,Lake,1,2,2,2,2006,2006,43.7661,-73.1675,VT
