MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
11NPSWRD_WQX-APIS_01,Michigan Island Lagoon,Lake,6,1.3,0.9,1.0333333333333334,2007,2012,46.8772,-90.5121393,WI
11NPSWRD_WQX-APIS_02,Outer Island Lagoon,Lake,12,1.9,0.5,1.1666666666666667,2008,2015,47.00798,-90.45908875,WI
11NPSWRD_WQX-APIS_03,"Stockton Island, Julian Bay Lagoon",Lake,6,4,1.3,2.183333333333333,2007,2012,46.92522,-90.54802339,WI
11NPSWRD_WQX-APIS_04,Little Sand Bay Lagoon,Lake,10,2.4,1.7,2.15,2007,2012,46.94781895,-90.88479083,WI
11NPSWRD_WQX-SACN_01,"Namekagon River at North Road Just West of Earl, WI",Stream,31,6.1,0.17,4.7700000000000005,2007,2016,45.91588113,-91.76418,WI
11NPSWRD_WQX-SACN_04,St. Croix River About 1 Mile Above Nevers Dam Boat Landing,Stream,35,5.9,0.17,4.1334285714285715,2007,2016,45.55576,-92.75213,WI
11NPSWRD_WQX-SACN_06,Apple River Approx. 1/2 Mile Upstream of the St. Croix River,Stream,14,10.2,6.1,8.892857142857142,2007,2013,45.14681338,-92.73285457,WI
11NPSWRD_WQX-SACN_10,Kinnickinnic River at County Highway F Bridge,Stream,17,23.1,18.4,21.711764705882352,2007,2013,44.83102,-92.73316571,WI
11NPSWRD_WQX-SACN_A,Upper St. Croix River at CCC Bridge,Stream,23,2.9,1.4,2.252173913043478,2007,2016,46.11655,-92.13181,WI
11NPSWRD_WQX-SACN_B,Namekagon River at Phipps Landing,Stream,26,3.4,1.9,2.953846153846154,2007,2016,46.07199833,-91.41685554,WI
11NPSWRD_WQX-SACN_NAKA_4.8,Namekagon River at Namekagon Trail,Stream,12,4.8,3,4.075,2013,2016,46.08369,-92.11379,WI
11NPSWRD_WQX-SACN_STCR_89.7,St. Croix River at US Hwy 70 Bridge,Stream,13,4.6,2.3,3.669230769230769,2013,2016,45.77404,-92.78062,WI
BADRIVER_WQX-BadRvr_Elm,Bad River at Elmhoist Bridge,Stream,1,3.6,3.6,3.6,2014,2014,46.48711,-90.6954,WI
BADRIVER_WQX-BearTrapUS2,Bear Trap at US2,Stream,1,5.6,5.6,5.6,2014,2014,46.61011,-90.7602,WI
BADRIVER_WQX-Bruns_Adler,Brunsweiler at Adler Road,Stream,1,1.1,1.1,1.1,2012,2012,46.42471,-90.79032,WI
BADRIVER_WQX-Den @ Hwy 2,Denomie Creek at US2,Stream,1,4.1,4.1,4.1,2014,2014,46.59414,-90.65537,WI
BADRIVER_WQX-Graveyard,Graveyard Creek at Birch Hill Road,Stream,1,0.62,0.62,0.62,2012,2012,46.55832,-90.5068,WI
BADRIVER_WQX-Kakagon_Hat,Kakagon at Hatchery,Stream,1,7.7,7.7,7.7,2014,2014,46.61789,-90.7046,WI
BADRIVER_WQX-PotRvr_PRR,Potato River at Potato River Road,Stream,1,3.7,3.7,3.7,2014,2014,46.46748,-90.5871,WI
BADRIVER_WQX-WC_Reykdal,Wood Creek at Reykdal Road,Stream,1,8,8,8,2014,2014,46.61148,-90.78029,WI
BADRIVER_WQX-WhtRvr_HS,White River at Hanson Swamp,Stream,1,2.2,2.2,2.2,2012,2012,46.6047,-90.7026,WI
